date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,HANG SENG BANK LTD
2024-03-01,67.8519878429085,4.789660160797221,12.558176848411144,3.842170412950876,6.822348037852478,2.252749860099569,1.3637766246933831,0.5191302122868235,0.0,0.0
2024-03-04,67.47648845591912,4.80825116868947,12.354375416028027,3.814842465766683,6.55388622858109,2.2343729409664084,1.352856764798803,0.5139748358590707,0.8909517233913213,0.0
2024-03-05,67.29435135039195,4.761233010997903,12.532913996454017,3.809360830659974,6.530983258889362,2.2234110604723405,1.359844226666182,0.5966545035596506,0.8912477619086275,0.0
2024-03-06,66.92204432656781,4.791925481935882,12.839089829355352,3.8680717604578403,6.533507350870566,2.227817901652066,1.3590336501377327,0.5663728013781203,0.8921368976446326,0.0
2024-03-07,66.6233898555797,4.8754433522043765,13.158117996121337,3.7928308552675434,6.442709664055629,2.2277670141127963,1.400076444502072,0.5891693608556364,0.8904954573008984,0.0
2024-03-08,66.09502728644495,4.922305163055068,13.563366959998401,4.224740821547947,6.372981557628631,2.2319341019458956,1.1701590946934075,0.5263978245687055,0.8930871901169881,0.0
2024-03-11,65.88219533663991,4.983220524129124,13.589448429147613,4.214296016257869,6.211933755374786,2.482252014170422,1.206332588107615,0.5390750661855225,0.8912462699871306,0.0
2024-03-12,65.70106266368879,5.045967717627281,13.691695589701553,4.230598679938783,6.168979786673886,2.4949499550748815,1.1807330956274775,0.5695660321971201,0.9164464794702408,0.0
2024-03-13,65.6591976913456,5.197956919329595,13.514602925595334,4.176634789552821,6.18536231940514,2.502283513332171,1.2312772629831186,0.5662788559761956,0.9664057224800238,0.0
2024-03-14,65.47457175031768,5.3314577871743785,13.814464506790081,3.971978988085887,6.182619828674286,2.4926155857765266,1.2347916127578848,0.526296888505605,0.9712030519176768,0.0
2024-03-15,65.4661871335941,5.491997965262986,13.794272915741049,4.034290546349477,5.967735921991636,2.499788479490782,1.2337095363526982,0.5417792761790207,0.9702382250382366,0.0
2024-03-18,64.96479704495148,5.861126545879499,13.218115651269713,3.9299485008031163,6.021737786564025,2.855200904401735,1.233160564912621,0.5524504269488959,0.9873501527595564,0.3761124215093493
2024-03-19,65.03409582667904,6.015172145907144,13.051398069181431,3.905352043414456,6.007283708630058,2.855517169670571,1.2196510356601085,0.5486201928058185,0.9869498676181643,0.3759599404332059
2024-03-20,65.00375829719933,6.1130201312497405,13.023320150924219,3.8865822952742617,5.995588396600052,2.852013308992075,1.2163728125799915,0.547436698999365,0.9862243427605255,0.37568356542044157
