date,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CMB WING LUNG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,48.002189607091296,4.399074203881342,0.0,0.0,0.0,0.0,0.0,0.23993355106542566,52.64119736203806
2024-03-04,47.9989512401444,4.399074203881342,0.0,0.0,0.0,0.0,0.0,0.23993355106542566,52.63795899509116
2024-03-06,47.9989512401444,4.384354354122727,0.0,0.0,0.0,0.6651075794331668,0.0,0.23993355106542566,53.288346724765724
2024-03-07,47.9989512401444,4.375522444267558,3.369974179617141,0.0,0.0,0.6651075794331668,0.0,0.2531814158481792,56.66273685931045
2024-03-08,47.9989512401444,4.369634504364112,3.369974179617141,0.0,0.0,0.6651075794331668,0.0,0.25906935575162526,56.66273685931045
2024-03-12,47.9989512401444,4.369634504364112,3.369974179617141,0.0,0.7036088184618005,0.6651075794331668,0.0,0.25906935575162526,57.366345677772244
2024-03-14,47.9989512401444,4.369634504364112,3.369974179617141,1.1777646188863091,0.7036088184618005,0.6651075794331668,0.0,0.26790126560679434,58.55294220651373
2024-03-15,47.9989512401444,4.369634504364112,3.369974179617141,1.1762926339104476,0.6933049236307698,0.6651075794331668,0.0,0.2796771454136864,58.55294220651373
2024-03-19,48.00189521009612,4.369634504364112,3.369974179617141,1.1762926339104476,0.6933049236307698,0.6636355944573054,0.0,0.2796771454136864,58.55441419148958
2024-04-02,47.9989512401444,4.369634504364112,3.369974179617141,1.1762926339104476,0.6933049236307698,0.6636355944573054,0.0,0.2796771454136864,58.55147022153786
2024-04-03,47.9989512401444,4.365218549436527,3.369974179617141,1.1762926339104476,0.6933049236307698,0.6636355944573054,0.0,0.2796771454136864,58.547054266610274
2024-04-24,47.9989512401444,4.365218549436527,3.369974179617141,1.1762926339104476,0.6933049236307698,0.6636355944573054,0.0,0.21196583652405704,58.47934295772065
2024-04-30,47.9989512401444,4.365218549436527,3.369974179617141,1.1733486639587245,0.6933049236307698,0.6636355944573054,0.0,0.21490980647578006,58.47934295772065
2024-05-09,47.9989512401444,4.365218549436527,3.369974179617141,1.1645167541035557,0.6933049236307698,0.6592196395297208,0.0,0.22079774637922608,58.47198303284134
2024-05-10,47.9989512401444,4.365218549436527,3.369974179617141,1.1645167541035557,0.6933049236307698,0.6533316996262748,0.6375225809855222,0.22079774637922608,59.10361767392342
2024-05-13,47.9989512401444,4.365218549436527,3.369974179617141,1.2496445892275783,0.6933049236307698,0.6533316996262748,0.6375225809855222,0.22079774637922608,59.188745509047436
2024-05-14,47.9989512401444,4.365218549436527,3.369974179617141,1.2496445892275783,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.22374171633094908,59.18903990604261
2024-05-16,48.00631116502371,4.365218549436527,3.369974179617141,1.2378687094206862,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.23257362618611813,59.19345586097019
2024-05-17,48.01072711995129,4.365218549436527,3.369974179617141,1.2378687094206862,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.23257362618611813,59.197871815897784
2024-05-20,48.01072711995129,4.365218549436527,3.369974179617141,1.2378687094206862,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.2414055360412872,59.20670372575295
2024-05-22,48.01072711995129,4.365218549436527,3.369974179617141,1.2378687094206862,0.6933049236307698,0.6521541116455856,0.6375225809855222,0.2414055360412872,59.2081757107288
2024-05-30,48.01072711995129,4.365218549436527,3.369974179617141,1.2378687094206862,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.2414055360412872,59.20670372575295
2024-07-04,48.01072711995129,4.365218549436527,3.369974179617141,1.2349247394689633,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.2531814158481792,59.21553563560812
