date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,MATRIX SECURITIES LTD,REALORD ASIA PACIFIC SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,0.0,36.91093042179852,18.630561510068784,18.114776505717533,15.991622655062661,0.0,4.577842822702275,5.774266084650227
2024-03-04,0.0,0.0,36.90662084345605,18.628386277326765,18.077634647314504,16.04229580477969,0.0,4.571470523583289,5.773591903539707
2024-03-05,0.0,0.0,36.90015836249868,18.625124380441264,18.074469189003977,16.12120173951619,0.0,4.506465401537168,5.7725809270027195
2024-03-06,0.0,0.0,34.05934657429131,17.26127899882373,16.645268145001058,14.880087826351248,7.666319299402796,4.1595286781206635,5.328170478009191
2024-03-07,0.0,0.0,34.081379909249726,17.245490907290538,16.67220888916567,14.88971390530651,7.6712787187109,4.16221951919227,5.277708151084385
2024-03-08,0.0,0.0,34.0850549035724,17.247350488133353,16.652440658145856,14.896710961494867,7.67210591249865,4.16805982993574,5.278277246219136
2024-03-11,0.0,0.0,34.081379909249726,17.27244549437473,16.65064521949832,14.895104822723345,7.655105966460386,4.167610436609108,5.277708151084385
2024-03-12,0.0,0.0,34.063016818186206,17.246975040310954,16.65783786891939,14.9517354746072,7.6402053600123585,4.165364922778139,5.274864515185747
2024-03-13,0.0,0.0,34.00438767403017,17.233425824694073,16.736741236356075,14.920621861398246,7.627055065550047,4.2119829009458325,5.265785437025553
2024-03-14,0.0,0.0,34.0979236273822,17.313191057364854,16.820533771765824,14.977844655684972,7.2704874262045855,4.239749415535052,5.280270046062509
2024-03-15,0.0,0.0,34.09056888132634,17.27710246600455,16.843867524027758,15.001575866474198,7.225780252343977,4.238834923478805,5.322270086344369
2024-03-18,0.0,0.0,34.12000691855731,17.297418692487657,16.836824504818424,15.084691448492196,7.210431780322161,4.123760659021079,5.32686599630118
2024-03-19,0.0,0.0,34.179035779665654,17.327343860087097,16.84973373439042,14.991848500002034,7.206686998056909,4.109269458305642,5.336081669492249
2024-03-20,0.0,0.0,34.203074636757066,17.33412038997521,16.82371334979871,15.002392592174527,7.20093528367106,4.095929096171472,5.33983465145195
2024-03-21,0.0,0.0,34.186428751329494,17.33649932180874,16.83715575315309,14.995091257107987,7.197430746579691,4.110158298846967,5.3372358711740295
2024-03-22,0.0,0.0,34.23085383120033,17.364442570091924,16.880693789775904,14.87921327556762,7.206783769035105,4.083012062168861,5.355000702160254
2024-03-25,0.0,0.0,34.21788459386781,17.37951364316096,16.90677316233614,14.873575903819795,7.204053294079217,4.065227580000353,5.352971822735726
2024-03-26,46.480884335120464,0.0,18.313109233867106,9.321639098938945,9.036768575228283,7.9602062914689675,3.8845128868208367,2.1380163972370507,2.8648631813183436
2024-03-27,46.4728071924961,0.0,18.309926902091508,9.325811693366916,9.032302001165533,7.958823019131203,3.9070076521476724,2.128956195379536,2.8643653442215284
2024-03-28,46.392189893624206,0.0,18.278164309328943,9.329872420841728,9.019524687699551,7.9450166912426345,4.050572471412281,2.1252630529107117,2.859396472939944
2024-04-02,46.381462048205364,0.0,18.273937621136376,9.33927708233398,9.020329521470495,7.943179465815053,4.052526338056908,2.1247716017945155,2.864516321187306
2024-04-03,46.43515094740441,0.0,18.295090632524662,9.36166327828392,9.059709781637762,7.958161853755586,3.8806908439212187,2.141700518082703,2.86783214438974
2024-04-05,46.41231798538584,0.0,18.300556892280706,9.385984528193768,9.052362512517963,7.9600335968952916,3.878782641517712,2.137754953049917,2.8722068901588025
2024-04-08,46.410975569234694,0.0,18.30002757238863,9.400174902795529,9.04342357343895,7.956910992830901,3.878670452756392,2.137693121258256,2.8721238152966504
2024-04-09,46.409633230736596,0.0,18.299498283115444,9.399903022782103,9.054731158706993,7.950896282643331,3.8756659837322056,2.1376312930433006,2.872040745240025
2024-04-10,46.392189893624206,0.0,18.292620307675456,9.402152412574285,9.100478278440013,7.95079909058124,3.8713180919155397,2.1194806535721074,2.870961271617153
2024-04-11,46.37228893040204,0.0,18.283633829541582,9.368635694489571,9.096007554854138,7.970011395902589,3.9358811831857006,2.1155496529051367,2.8579917587192387
2024-04-12,46.381671226042464,0.0,18.2873330745417,9.382092664237652,9.089176816931372,7.971623932287974,3.9366775122373387,2.121758410519926,2.829666363201569
2024-04-15,46.36023155489703,0.0,18.36555069448996,9.377755843763957,9.044529003852993,7.967939093189133,3.946413916627923,2.10922152761259,2.8283583655664106
2024-04-16,46.364249983323084,0.0,18.367142590140514,9.378568692177161,9.085762865875676,7.985965411223593,3.874524026060089,2.1094043514566287,2.834382079743251
2024-04-17,46.34874864332297,0.0,18.372450902637905,9.395729771899765,9.094168981185085,7.973822878775835,3.869863580635944,2.1100139932354702,2.8352012483070297
2024-04-18,46.36616909660049,0.0,18.379356297754523,9.405043612243588,9.09469587910141,7.942125491573332,3.856862093569028,2.1108070545642,2.8449404745934324
2024-04-19,46.39165332782484,0.0,18.38945814086067,9.407320116328062,9.096801806803459,7.8973133120260535,3.858981940157782,2.1119672171589676,2.84650413884016
2024-04-22,46.39299537918013,0.0,18.389990124427765,9.40180651321205,9.11442220033822,7.897541771226649,3.8590935755829343,2.0975639514582487,2.8465864845740008
2024-04-23,46.370191061032315,0.0,18.38095058770234,9.402967988312433,9.141747992373418,7.893659761589963,3.8571966513395117,2.096532901074597,2.8567530565754153
2024-04-24,46.35008821343471,0.0,18.372981902650398,9.416232705523985,9.134894577639106,7.910469005435605,3.8555244426497994,2.0956239921305255,2.864185160535873
2024-04-25,46.33535719963559,0.0,18.367142590140514,9.424797146077154,9.137769876513167,7.913733452004856,3.8542990774788426,2.1036257947191297,2.8632748634307457
2024-04-26,46.33000278864034,0.0,18.36502012392509,9.438152759896495,9.13960288060584,7.92726368098953,3.853853683235511,2.1033827043931694,2.8427213783140295
2024-04-29,46.317959887289284,0.0,18.36024636799264,9.435699430827164,9.1372271558216,7.925203088527892,3.8528519224555615,2.1288296984300796,2.8419824486557745
2024-04-30,10.023125,0.0,3.9731250000000005,2.04561875,1.981654875,1.718125,0.8287503749999999,0.45505,0.61375
