date,CITIBANK N.A.,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,TOTAL_CCASS_PCT
2024-03-01,22.966403754910463,76.0278561297893,9.919919800010204,14.16213540125504,6.05666037447069,9.429658894954338,3.2310535176776694,3.342761083618183,2.580072445283404,3.068210805571144,150.78473220754043
2024-03-04,23.932877914392122,76.47904025304831,9.950384980358146,12.64432671802459,6.50548543441661,9.428842610070914,3.255133921738687,3.342761083618183,2.4774246211927964,3.109229120963216,151.1255066578236
2024-03-05,18.848469159736748,76.510671292281,9.915961634610479,12.612491607571041,11.650299270445386,9.428842610070914,3.2712555481863173,3.342761083618183,2.4672210601499924,3.1780011223917146,151.22597438906178
2024-03-06,18.614807611856538,76.45495984898729,9.907853068720984,12.529584408958726,11.650299270445386,9.429658894954338,3.3441089740319367,3.342761083618183,2.4686495586959847,3.274118667414928,151.0168013876843
2024-03-07,18.290130299474516,76.51312014693129,9.907853068720984,12.29265772154482,11.650299270445386,9.429454823733483,3.3759440844854853,3.342761083618183,2.590071935105352,3.4210499464313044,150.8133423804908
2024-03-08,18.244010203561043,76.239868782205,9.907853068720984,12.419385949696444,11.650299270445386,9.428842610070914,3.3806377225651754,3.342761083618183,2.4749757665425234,3.424315085965002,150.51294954339065
2024-03-11,18.06157053211571,76.20987031273914,9.907853068720984,12.439589000561197,11.650299270445386,9.428842610070914,3.3769644405897656,3.342761083618183,2.4915055354318656,3.441457068516912,150.35071292281006
2024-03-12,18.057897250140297,76.25354155400234,9.908669353604408,12.422038875567573,11.650299270445386,9.428842610070914,3.442267231263711,3.342761083618183,2.478853119738789,3.452885056884853,150.43805540533646
2024-03-13,18.050142543747768,76.2941517269527,9.908669353604408,12.395917759297994,11.650299270445386,9.428842610070914,3.4516545074230907,3.342761083618183,2.458037855211469,3.493291158614356,150.47376786898627
2024-03-14,18.035245344625274,76.41537003214121,9.913300749961737,12.506932503443702,11.650299270445386,9.428842610070914,3.4087995510433142,3.342761083618183,2.4549767868986274,3.5153308504668126,150.67185878271516
