date,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,GLORY SUN SECURITIES LTD,ORIENT SECURITIES LTD,CMB WING LUNG BANK LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-12,0.0,0.0,0.0,0.0,3.0110290811240845,0.0,0.0,0.0,0.0,0.0,3.0110290811240845
2024-03-18,0.0,9.494034433151572,0.0,0.0,3.0110290811240845,0.0,0.0,0.0,0.0,0.0,12.505063514275658
2024-04-03,0.0,9.494034433151572,9.621541871800222,0.0,3.0110290811240845,0.0,0.0,0.0,0.0,0.0,22.12660538607588
2024-04-24,0.0,9.494034433151572,9.518231837111966,0.0,3.0110290811240845,0.0,0.0,0.0,0.0,0.0,22.023295351387624
2024-05-02,0.0,9.494034433151572,9.518231837111966,0.0,3.011117228245248,0.0,0.0,0.0,0.0,0.0,22.023383498508785
2024-05-13,0.0,9.494034433151572,9.518231837111966,0.0,3.011117228245248,5.832218985370011,0.0,0.0,0.0,0.0,27.8556024838788
2024-05-17,13.16162755010012,9.494034433151572,9.518231837111966,0.0,3.011117228245248,5.832218985370011,0.0,0.0,0.0,0.0,41.01723003397892
2024-05-23,13.16162755010012,9.491830755122493,9.518231837111966,0.0,3.011117228245248,5.832218985370011,0.0,0.0,0.0,0.0,41.015026355949836
2024-05-29,13.16162755010012,9.491830755122493,9.518231837111966,0.0,3.011117228245248,5.832218985370011,0.0,0.0,0.0,3.1730423053451426,44.18806866129498
2024-06-07,13.16162755010012,9.492040104535256,9.518231837111966,0.0,3.011117228245248,5.832218985370011,0.0,0.0,0.0,3.1730423053451426,44.18827801070774
2024-06-27,13.16162755010012,9.492040104535256,9.518231837111966,0.0,3.0116130558017913,5.832218985370011,0.0,0.0,0.0,3.1730423053451426,44.18877383826428
2024-07-03,13.16162755010012,9.492040104535256,9.518231837111966,0.0,3.1768889079828284,5.832218985370011,0.0,0.0,0.0,3.1730423053451426,44.35404969044532
2024-07-22,13.16162755010012,9.492040104535256,12.953465214618177,0.0,3.1768889079828284,5.832218985370011,0.0,0.0,0.0,3.1730423053451426,47.78928306795153
2024-07-25,13.16162755010012,9.492040104535256,12.953465214618177,0.0,3.1768889079828284,5.967910460010643,0.0,0.0,0.0,3.1730423053451426,47.92497454259217
2024-08-20,13.16162755010012,9.492040104535256,12.953542343349195,0.0,3.1768889079828284,5.967910460010643,0.0,0.0,0.0,3.1730423053451426,47.92505167132318
2024-08-26,13.16162755010012,9.492040104535256,12.93701475813109,0.0,3.1768889079828284,5.967910460010643,0.0,0.0,0.0,3.1730423053451426,47.90852408610508
2024-09-09,13.16162755010012,9.492040104535256,12.93701475813109,0.0,3.1768889079828284,5.967910460010643,0.0,0.0,1.4520530361167958,3.1730423053451426,49.360577122221876
2024-09-17,13.16162755010012,9.492040104535256,12.937290217884726,0.0,3.1768889079828284,5.967910460010643,0.0,0.0,1.4520530361167958,3.1730423053451426,49.360852581975514
2024-10-24,13.16162755010012,9.492040104535256,12.937290217884726,0.0,3.1811860801395357,5.967910460010643,0.0,0.0,1.4520530361167958,3.1730423053451426,49.36514975413222
2024-10-29,13.16162755010012,9.492040104535256,12.931781022812025,0.0,3.1811860801395357,5.967910460010643,0.0,0.0,1.4520530361167958,3.1730423053451426,49.359640559059514
2024-11-06,13.16162755010012,9.490387346013444,12.930679183797485,0.0,3.1811860801395357,5.967910460010643,0.0,0.0,1.4520530361167958,3.1730423053451426,49.35688596152317
