date,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DAH SING SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,CHINA CONSTRUCTION BANK (ASIA),INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-18,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,22.435028697483432,77.56497130251657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,22.43563992601733,77.56436007398267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,22.43828896790182,77.56171103209817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,20.816375784414547,71.9552257344887,0.0,7.228398481096746,0.0,0.0,0.0,0.0,0.0
2024-04-24,56.21201097260834,20.79806269703676,15.767886991423765,0.0,7.222039338931137,0.0,0.0,0.0,0.0,0.0
2024-05-06,56.212720821687824,20.797062529611416,15.768086109368001,0.0,7.222130539332761,0.0,0.0,0.0,0.0,0.0
2024-05-07,56.21295744203167,20.796729134856196,15.76815248313363,0.0,7.2221609399784965,0.0,0.0,0.0,0.0,0.0
2024-05-09,56.20349418181247,20.793228076230797,15.76549796828662,0.0,7.237779773670118,0.0,0.0,0.0,0.0,0.0
2024-05-10,56.18457721680284,20.786229494137615,15.760191618961425,0.0,7.269001670098117,0.0,0.0,0.0,0.0,0.0
2024-05-17,56.18623194285549,20.78389652134904,15.760655781921413,0.0,7.269215753874059,0.0,0.0,0.0,0.0,0.0
2024-05-21,56.20515002233913,20.790894524111895,15.732292132065199,0.0,7.271663321483778,0.0,0.0,0.0,0.0,0.0
2024-05-22,56.195689390421265,20.78739493376728,15.729644021971612,0.0,7.287271653839839,0.0,0.0,0.0,0.0,0.0
2024-06-06,56.19781775490984,20.78439482294919,15.730239769014087,0.0,7.2875476531268815,0.0,0.0,0.0,0.0,0.0
2024-06-12,56.20018279343476,20.781061099941724,15.730901763101157,0.0,7.287854343522353,0.0,0.0,0.0,0.0,0.0
2024-06-19,56.20250860877146,20.744043792736804,15.765291650907598,0.0,7.288155947584141,0.0,0.0,0.0,0.0,0.0
