date,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,YICKO SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,UOB KAY HIAN (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-07,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,63.88389108792132,36.11610891207869,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,47.99035188566534,27.149974076328302,24.859674038006357,0.0,0.0
2024-03-25,0.0,0.0,0.0,47.98448913337542,27.15303453873208,24.862476327892505,0.0,0.0
2024-03-26,0.0,0.0,0.0,47.86695589298626,27.214389009399852,24.918655097613883,0.0,0.0
2024-03-27,0.0,0.0,0.0,47.85988700564972,27.2180790960452,24.922033898305084,0.0,0.0
2024-04-12,0.0,0.0,0.0,47.8893280632411,27.202710333145113,24.907961603613778,0.0,0.0
2024-04-15,0.0,0.0,0.0,47.94576179410239,27.1732509081064,24.880987297791215,0.0,0.0
2024-04-24,85.47246526918532,0.0,0.0,6.965337196591897,3.947603463166572,3.614594071056207,0.0,0.0
2024-05-09,85.45705985387586,0.0,0.0,6.964081775773673,3.9649157877316674,3.6139425826187974,0.0,0.0
2024-05-16,85.49208019631081,0.0,0.0,6.92595561369258,3.9665406120451827,3.615423577951424,0.0,0.0
2024-05-20,75.78366911022152,0.0,11.355918657958021,6.139449727915374,3.5161034866064615,3.2048590172986247,0.0,0.0
2024-05-21,75.7825679475164,0.0,11.35575365256497,6.14081355390394,3.5160523964168173,3.2048124495978727,0.0,0.0
2024-05-22,75.69457849248565,0.0,11.342568739432378,6.249791368838125,3.511969986139634,3.201091413104214,0.0,0.0
2024-05-24,74.3227823873701,0.0,11.13700987473372,6.129402558246069,3.448323330801599,3.1430787413902004,0.0,1.8194031074583223
2024-05-28,74.33401089246449,0.0,11.138692427083054,6.1152208168239515,3.4488442950987275,3.1435535900775906,0.0,1.8196779784521773
2024-05-30,74.3399443026625,0.0,11.13958152791921,6.115708939462863,3.4553912299086074,3.1295507731983085,0.0,1.819823226848501
2024-06-04,74.34630257908957,0.0,11.140534293478838,6.107679040055205,3.455686768636938,3.129818442875696,0.0,1.8199788758637543
2024-06-05,74.24005038815294,0.0,11.124612773028947,6.098950236375246,3.593663298033176,3.125345455581732,0.0,1.8173778488279686
2024-06-07,74.2358235236295,0.0,11.12853419993107,6.098602992047562,3.594597394416495,3.125167513732817,0.0,1.8172743762425552
2024-06-11,73.86071371145118,0.0,11.072302286881335,6.067787063641125,4.081728953654122,3.1093762024297376,0.0,1.8080917819424887
2024-06-12,73.86175973075333,0.0,11.072459093407149,6.066456790714067,4.081786759313681,3.1094202375786266,0.0,1.808117388233153
2024-06-13,73.86071371145118,0.0,11.072302286881335,6.066370878451459,4.083145138843787,3.1093762024297376,0.0,1.8080917819424887
