date,FORTUNE (HK) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,50.4832232934776,0.0,0.0,29.424009158218972,0.0,0.0,20.092767548303424,0.0,0.0
2024-03-04,50.468452458070345,0.0,0.0,29.438984606101283,0.0,0.0,20.09256293582838,0.0,0.0
2024-03-05,40.79318514304784,0.0,0.0,23.809252965828858,19.156928388034366,0.0,16.24063350308893,0.0,0.0
2024-03-06,31.80636773531283,0.0,0.0,18.569804614936825,14.93662009603377,11.899689662283452,12.649954994348562,0.0,10.137562897084564
2024-03-07,31.808000835384238,0.0,0.0,18.56562357612709,14.937387017788192,11.90030065264233,12.650604507130922,0.0,10.138083410927228
2024-03-08,31.810071777691164,0.0,0.0,18.57415981616485,14.938058138930172,11.900835320677265,12.651172885531606,0.0,10.125702061004949
2024-03-11,31.8119973041987,0.0,0.0,18.572876131826487,14.938058138930172,11.900835320677265,12.651172885531606,0.0,10.125060218835767
2024-03-12,31.826821350507682,0.0,0.0,18.615988409129823,14.943813080572257,11.90863060830414,12.575785616095333,0.0,10.128960935390761
2024-03-13,31.828105529390143,0.0,0.0,18.614704230247366,14.943813080572257,11.90863060830414,12.575785616095333,0.0,10.128960935390761
2024-03-14,31.829536148025735,0.0,0.0,18.611046101092185,14.944484779283954,11.909165880780751,12.576350876042802,0.0,10.129416214774574
2024-03-15,31.830236176299437,0.0,0.0,18.612897473373064,14.943909033834268,11.908707072854842,12.575224270841359,0.0,10.12902597279703
2024-03-18,31.840049435893825,0.0,0.0,18.587805835337296,14.948516239947715,11.91237852641529,12.579101211607485,0.0,10.132148750798388
2024-03-19,31.841334018936713,0.0,0.0,18.58716354381585,14.948516239947715,11.91237852641529,12.57845892008604,0.0,10.132148750798388
2024-03-20,31.83479560395288,0.0,0.0,18.589880941608357,14.949668485385706,11.913296743554191,12.579428479316867,0.0,10.132929746181993
2024-03-22,31.838505621756337,0.0,0.0,18.58139382387724,14.951109042002663,11.914444714057383,12.580640638566495,0.0,10.13390615973988
2024-03-25,31.836460438222012,0.0,0.0,18.5866238429842,14.950148640079414,11.913679375808181,12.579832506445257,0.0,10.133255196460935
2024-03-26,31.833830986676748,0.0,0.0,18.59434818047358,14.948612253616794,11.912455039104003,12.578539710980127,0.0,10.132213829148748
2024-03-27,6.476275300205146,0.0,0.0,3.7828889600292697,3.041084658504397,2.4234212279991114,2.558926774771008,0.0,2.06125622296847
2024-03-28,6.476275300205146,0.0,0.0,3.7885075982281693,3.041084658504397,2.4234212279991114,2.553308136572108,0.0,2.06125622296847
2024-04-02,6.476797964223648,0.0,0.0,3.7960862264964526,3.041084658504397,2.4234212279991114,2.553308136572108,0.0,2.06125622296847
2024-04-03,6.475229972168141,0.0,0.0,3.8109821510237682,3.041084658504397,2.4234212279991114,2.4951617645137265,0.0,2.06125622296847
2024-04-05,6.446222119141264,0.0,0.0,3.8450859782310434,3.041084658504397,2.4234212279991114,2.4951617645137265,0.0,2.062562883014726
2024-04-08,6.439950150919235,0.0,0.0,3.849528622388313,3.041084658504397,2.4234212279991114,2.495031098509101,0.0,2.0658295331303655
2024-04-09,6.439950150919235,0.0,0.0,3.853187270517829,3.041084658504397,2.4234212279991114,2.495031098509101,0.0,2.0658295331303655
2024-04-10,6.433547516692582,0.0,0.0,3.859589904744483,3.041084658504397,2.4234212279991114,2.495031098509101,0.0,2.0658295331303655
2024-04-11,31.597149416088083,0.0,0.0,19.070101437665794,14.966107304958474,11.92639673542863,12.276881658242935,0.0,10.163363447616085
