date,ZHONGTAI INTERNATIONAL SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,VALUABLE CAPITAL LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-05,72.80213701517876,0.0,0.0,27.197862984821235,0.0,0.0,0.0,0.0
2024-03-08,44.263469948830334,39.200315040749835,0.0,16.536215010419824,0.0,0.0,0.0,0.0
2024-03-11,44.26303688484492,39.19993151355053,0.0,16.53703160160454,0.0,0.0,0.0,0.0
2024-03-13,41.358872045297254,36.60530950004454,0.0,15.442454530296768,0.0,0.0,0.0,6.593363924361436
2024-03-15,41.371593509227836,36.59736843307133,0.0,15.439104481701888,0.0,0.0,0.0,6.59193357599894
2024-03-22,41.37149903520089,36.59728486121736,0.0,15.439297580580707,0.0,0.0,0.0,6.5919185230010395
2024-04-03,41.368948399559756,36.60119376538446,0.0,15.438345717012755,0.0,0.0,0.0,6.5915121180430285
2024-04-05,41.36696478926302,36.6042336909739,0.0,15.437605459821949,0.0,0.0,0.0,6.591196059941136
2024-04-08,37.62487683788184,33.294647514660404,0.0,14.041107609818457,0.0,9.0444167224298,0.0,5.994951315209498
2024-04-09,37.62417361420019,33.295894263819555,0.0,14.040845176018859,0.0,9.044247678739548,0.0,5.994839267221849
2024-04-16,37.62104849362952,33.301434807383956,0.0,14.039678922255014,0.0,9.043496449895112,0.0,5.994341326836395
2024-04-17,37.61606480319255,33.30641849782093,0.0,14.039678922255014,0.0,9.043496449895112,0.0,5.994341326836395
2024-04-19,37.59100150273017,33.319702819652505,0.0,14.045366240044926,0.0,9.04715986973023,0.0,5.996769567842168
2024-04-23,37.591938615115176,33.334867723612696,0.0,14.045508636271853,0.0,9.047385407896922,0.0,5.980299617103356
2024-04-24,37.59014252408669,33.33805289177389,0.0,14.044837561222748,0.0,9.046953136288673,0.0,5.980013886628003
2024-04-29,37.58858084530506,33.33666786563869,0.0,14.048408560009623,0.0,9.0465772815086,0.0,5.97976544753803
2024-05-08,37.58483334559548,33.33334427240011,0.0,14.047007964248493,0.0,9.05564513981978,0.0,5.979169277936144
2024-05-13,37.58491141088454,33.33341350716649,0.0,14.04682943624739,0.0,9.055663948777877,0.0,5.97918169692371
2024-05-14,37.58748774736263,33.33569841581557,0.0,14.040937596133404,0.0,9.056284688231258,0.0,5.979591552457133
2024-05-16,37.587390423066125,33.33819140071718,0.0,14.037832956942173,0.0,9.055923285594439,0.0,5.98066193368008
