date,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FOSUN INTERNATIONAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,KGI ASIA LTD,HANG SENG SECURITIES LTD,RIFA SECURITIES LTD
2024-03-12,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,35.719340264547384,34.608894453214305,29.67176528223831,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,35.7228391029828,34.60701066840845,29.670150228608755,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,35.43302792321117,34.674956369982546,29.892015706806284,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,35.3858740114535,34.58412871557131,30.029997272975184,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,35.396444541389464,34.578470934671174,30.02508452393936,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,35.39996728283985,34.57658541905229,30.023447298107858,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,0.0,35.396444541389464,34.578470934671174,30.02508452393936,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,0.0,35.54375205344431,34.30620961559522,30.150038330960466,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0.0,35.57660716241375,34.27335450662578,30.150038330960466,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0.0,35.63998686083434,34.216577247344794,30.143435891820868,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,0.0,35.79212529434314,34.05618531296205,30.151689392694813,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,0.0,30.194141298104537,28.576680068925903,25.30040206777714,0.0,0.0,0.0,0.0,15.928776565192418,0.0
2024-06-26,0.0,30.603101665709364,28.167719701321083,25.30040206777714,0.0,0.0,0.0,0.0,15.928776565192418,0.0
2024-06-28,0.0,30.679495717270992,28.043263600248007,25.287620272349415,0.0,0.0,0.0,0.0,15.989620410131582,0.0
2024-07-15,0.0,30.731449817539193,27.821257258268112,25.27369121663492,0.0,0.0,0.0,0.0,16.17360170755778,0.0
2024-07-18,0.0,30.782660632652593,27.73196113114792,25.296914842296292,0.0,0.0,0.0,0.0,16.188463393903195,0.0
2024-07-19,0.0,30.785840626651044,27.730687064985183,25.295752647416904,0.0,0.0,0.0,0.0,16.18771966094687,0.0
2024-07-23,0.0,30.81762450347852,27.71795283906964,25.284136569237482,0.0,0.0,0.0,0.0,16.18028608821436,0.0
2024-07-24,0.0,26.138421103864502,23.074077679353646,21.438722865764625,0.0,0.0,10.283266815925241,5.342159057724132,13.723352477367856,0.0
2024-07-25,0.0,26.138421103864502,22.95337291930303,21.438722865764625,0.0,0.0,10.423440085661442,5.322690548038548,13.723352477367856,0.0
2024-07-26,0.0,26.128812238136994,22.91337815453571,21.36217480268927,0.0,0.0,10.476468868751827,5.327876839130859,13.791289096755335,0.0
2024-07-29,0.0,26.153275986502038,22.91532564807771,21.382175668558723,0.0,0.0,10.486277722511558,5.332865195935007,13.730079778414964,0.0
2024-07-30,0.0,26.146135995787912,22.909069635927537,21.37633821493341,0.0,0.0,10.510715469667128,5.331409293890524,13.726331389793492,0.0
2024-07-31,0.0,26.16018914746859,22.857924458252732,21.224378138616956,0.0,0.0,10.704027199718624,5.3422435859858926,13.711237469957208,0.0
2024-08-07,0.0,25.819142576128673,23.86361444853721,20.94767901567894,0.0,0.0,10.564480357934931,5.272597535340289,13.53248606637996,0.0
2024-08-08,0.0,25.820138473703498,23.864534917359357,20.948487010858035,0.0,0.0,10.561030645503463,5.27280091030067,13.53300804227498,0.0
2024-08-20,0.0,25.808192771084336,23.853493975903614,20.93879518072289,0.0,0.0,10.556144578313253,5.316626506024096,13.526746987951807,0.0
2024-08-21,0.0,25.833092136999518,23.78002894356006,20.958996623251327,0.0,0.0,10.566328991799324,5.321755909310179,13.539797395079594,0.0
2024-08-28,0.0,25.835086161980662,23.781864495088865,20.960614422724376,0.0,0.0,10.567144593890507,5.314447810733101,13.540842515582485,0.0
2024-09-09,0.0,25.83010167660281,23.796569620497383,20.95657039223631,0.0,0.0,10.565105824699504,5.313422469178676,13.538230016785322,0.0
2024-09-11,0.0,25.844408865569722,23.79197932138655,20.952527921915088,0.0,0.0,10.563067842055517,5.312397523195926,13.535618525877203,0.0
2024-09-17,0.0,25.850130195775872,23.790143697560033,20.950911370431093,0.0,0.0,10.562252869129136,5.311987655511621,13.534574211592245,0.0
2024-09-20,0.0,25.850130195775872,23.790143697560033,20.950911370431093,0.0,0.0,10.562252869129136,5.327418265985148,13.519143601118719,0.0
