date,CITIBANK N.A.,CHINA MERCHANTS SECURITIES (HK) CO LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,DBS VICKERS (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ZHONGTAI INTERNATIONAL SECURITIES LTD,DBS BANK (HONG KONG) LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,94.01759737585643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123012684973823,3.859389939169743
2024-03-05,94.01740955224386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1232082186809054,3.85938222907524
2024-03-06,86.20759242763314,0.0,0.0,0.0,0.0,8.306044887948525,0.0,0.0,1.9475707541674843,3.5387919302508384
2024-03-07,86.2058553960014,0.0,0.0,0.0,0.0,8.308991524935253,0.0,0.0,1.946432453361772,3.538720625701576
2024-03-08,86.2049079537062,0.0,0.0,0.0,0.0,8.311281472329805,0.0,0.0,1.945128840441803,3.5386817335221954
2024-03-11,86.20680285912272,0.0,0.0,0.0,0.0,8.309266025025282,0.0,0.0,1.9451715971161396,3.5387595187358607
2024-03-14,86.20443424036817,0.0,0.0,0.0,0.0,8.30903771957037,0.0,0.0,1.944934978184151,3.541593061877304
2024-03-15,86.2045921442357,0.0,0.0,0.0,0.0,8.309052939543713,0.0,0.0,1.9447553670755797,3.5415995491450016
2024-03-18,86.19038311257576,0.0,0.0,0.0,0.0,8.320320268504819,0.0,0.0,1.9457168193375212,3.543579799581901
2024-03-19,86.19338240696905,0.0,0.0,0.0,0.0,8.315481605837142,0.0,0.0,1.9474328764182303,3.543703110775577
2024-03-20,86.19845960101162,0.0,0.0,0.0,0.0,8.30606310022099,0.0,0.0,1.9515729776190367,3.543904321148344
2024-03-21,86.20843253788216,0.0,0.0,0.0,0.0,8.294550123951598,0.0,0.0,1.9527105277165946,3.54430681044964
2024-03-22,86.21285445622982,0.0,0.0,0.0,0.0,8.288930292749935,0.0,0.0,1.9537266412401555,3.544488609780093
2024-03-25,75.18869023248793,0.0,0.0,0.0,12.80376238667744,7.21159815475074,0.0,0.0,1.7046995766636623,3.091249649420224
2024-03-26,61.58057092473127,0.0,0.0,18.110045489505257,10.486100904500924,5.892065880552208,0.0,0.0,1.3987418391738748,2.532474961536464
2024-03-27,61.604611699277044,0.0,0.0,18.120965469416547,10.490935429895943,5.843684181266848,0.0,0.0,1.4063503580251373,2.533452862118472
2024-03-28,61.21204371523162,0.0,0.0,18.002814151426374,11.094704135005715,5.757596690145385,0.0,0.0,1.414996625276613,2.5178446829142827
2024-04-02,61.21781603561638,0.0,0.0,18.00279074007802,11.087667400525019,5.756288775657316,0.0,0.0,1.4175956394825753,2.51784140864069
2024-04-03,61.21964710451838,0.0,0.0,18.003329216495644,11.087999040630589,5.751909319220211,0.0,0.0,1.4191986000472572,2.5179167190879115
2024-04-05,61.21829369520467,0.0,0.0,18.00293120908149,11.087753913422546,5.745800147685203,0.0,0.0,1.4273599801961085,2.5178610544099858
2024-04-08,61.21813447451368,0.0,0.0,18.002884385836772,11.087725075640032,5.7457852036184125,0.0,0.0,1.4276163546049423,2.5178545057861568
2024-04-09,61.21101296385207,0.0,0.0,18.000637156483705,11.086341038464948,5.745067979817533,0.0,0.0,1.4353698075576853,2.5215710538240543
2024-04-10,48.64508451549052,0.0,0.0,14.305340387189885,8.81045936457804,4.563716868024796,0.0,20.52973317247025,1.1417403910554151,2.0039253011910945
2024-04-11,48.541564494830055,0.0,0.0,14.33443634159785,8.828379156561079,4.571342403514247,0.0,20.571489059728183,1.1447874137176155,2.008001130050968
2024-04-12,48.54216764746273,0.0,0.0,14.334614453966237,8.828488853481357,4.569328289989239,0.0,20.57174467052099,1.1456300041343017,2.0080260804451426
2024-04-15,48.542484321446835,0.0,0.0,14.334555082684968,8.828452287538367,4.569309364689506,0.0,20.571659466217593,1.1455217138445362,2.008017763578191
2024-04-16,48.64234218957683,0.0,0.0,14.304837805980943,8.804569977086471,4.571203001224484,0.0,20.52901191328747,1.144180214395544,2.003854898448256
2024-04-17,48.64138722186768,0.0,0.0,14.304556967156696,8.804397121922788,4.572766515206757,0.0,20.528608878758387,1.1444677371941003,2.003815557893593
2024-04-18,48.63627285657899,0.0,0.0,14.30425470821712,8.804211082764516,4.572669891483213,0.0,20.528175104013396,1.150643140183327,2.003773216759434
2024-04-19,48.63621978421786,0.0,0.0,14.304269488308321,8.80422017985104,4.572674616264714,0.0,20.528196315066083,1.1506443291030506,2.003775287188932
2024-04-22,48.620746438905954,0.0,0.0,14.299718663795044,8.801419165716938,4.5712198450335135,0.0,20.521665382530145,1.182092706895182,2.0031377971232214
2024-04-23,48.62074358953695,0.0,0.0,14.299748205263175,8.80143734837143,4.571229288614085,0.0,20.521707777778484,1.1819918550752009,2.003141935360678
2024-04-24,48.62164760688042,0.0,0.0,14.626738697361755,8.801600995642593,4.244589669202412,0.0,20.522089342896148,1.182220423736764,2.0011132642799123
2024-04-25,48.620551250640546,0.0,0.0,14.626315663010663,8.801553021473921,4.243227393491688,0.0,20.52149580328846,1.1858014799872583,2.0010553881074635
2024-04-26,48.62084973257136,0.0,0.0,14.62643652747116,8.801625753047748,4.2429525763763225,0.0,20.521665382530145,1.185398104188143,2.001071923815121
2024-04-29,48.61783658384447,0.0,0.0,14.6255300927041,8.801080295541798,4.239074576356596,0.0,20.520393606527445,1.1951369323569787,2.00094791266861
2024-05-02,48.617334428698605,0.0,0.0,14.625379031165513,8.800989392530266,4.239030792567316,0.0,20.520181659185297,1.1961574502144676,2.0009272456385334
2024-05-03,41.36910646511694,0.0,14.92294028548932,12.440801210919199,7.486394660853592,3.605763265476546,0.0,17.45510323458128,1.0178400761817759,1.702050801381338
2024-05-06,41.36950627776748,0.0,14.923084508577972,12.4409214453195,7.486467013281478,3.6043923647627785,0.0,17.455271929815137,1.018289209586458,1.7020672508892047
2024-05-07,37.00038084481907,10.12821206130278,13.347024411880465,11.12229328551977,7.134236667432906,3.2222314570638315,0.0,15.611781895983837,0.9115312274894269,1.5223081485079155
2024-05-08,37.00067159712596,10.128291649700364,13.347129293993817,11.122380685496656,7.134292728903668,3.2222567776472437,0.0,15.61190457476436,0.9107525814262333,1.522320110941703
2024-05-09,36.99991015085876,10.128782964987543,13.346741238407663,11.122057312443076,7.134085305862674,3.215248175703447,0.0,15.611450672906718,0.9178767557332776,1.5238474230968402
2024-05-10,36.999793855162345,10.128751128859726,13.346699287803975,11.042265314787414,7.134062882472575,3.295545157827194,0.0,15.611401604016532,0.9176381356309067,1.523842633439336
2024-05-13,36.99938682598196,10.128639703988375,13.346552462767782,11.042143840483577,7.133984401717271,3.2955089040294094,0.0,15.611229865329976,0.9187281258264709,1.523825869875178
2024-05-14,36.99929411229775,10.128528281568535,13.346405640961953,11.042022368852352,7.133905922688657,3.2961798407463605,0.0,15.611058130421924,0.918796595782629,1.523809106679843
2024-05-16,36.998848574633215,10.128599909985585,13.346500026037731,11.04210045745134,7.133956373294552,3.2962031511561,0.0,15.61116853100049,0.9188816706545495,1.5237413057864395
2024-05-17,36.999197449793456,10.128695416117605,13.346625874882076,11.042204577301414,7.134023641879082,3.2948198294419,0.0,15.611315734200934,0.9192046468405256,1.5239128295430087
2024-05-20,37.01301237812435,10.132477314399292,13.351609298648794,11.046327565781299,7.131970939718624,3.254624032074961,0.0,15.61714475814967,0.9283518780687016,1.5244818350343097
2024-05-21,37.00041387000046,10.129523211381619,13.347716664291362,11.043107031593683,7.129891628191813,3.253596568747468,0.0,15.612591611567057,0.9591220387502923,1.5240373754762446
2024-05-22,37.00563972814208,10.130932366391459,13.349573513958903,11.023501146652958,7.1308834934847605,3.2470542080073708,0.0,15.614763536269423,0.9734026172052614,1.5242493898877838
2024-05-23,37.00217897390324,10.129984925207143,13.348325066601566,11.004316419583564,7.130216615801843,3.2416423288277687,0.0,15.6133032491485,1.0059255782983043,1.5241068426280728
2024-05-24,37.003430136972035,10.130112301945587,13.348492911482209,11.003354545429604,7.130306272770104,3.2441193466205824,0.0,15.613499574380857,1.0040520928600218,1.5226328175390051
2024-05-27,37.000376926171796,10.129276450561719,13.34739150648885,11.001425069751287,7.129717940065801,3.2426729326753225,0.0,15.612211280151012,1.0144207114065262,1.5225071827276893
2024-05-28,36.99413122434994,10.127867756139132,13.345535263739134,10.998952226116293,7.128726398967499,3.2422219690456076,0.0,15.610040065349843,1.030229651035658,1.5222954452568913
2024-05-29,36.992653369270414,10.127764308152436,13.34539894987844,9.740372844835228,7.128653584786723,4.499555898320795,0.0,15.609880621402125,1.0334405271150426,1.5222798962387996
2024-05-30,36.9862278044733,10.126069653600647,13.343165896226347,9.73827166620153,7.12746076425121,4.498802998406054,0.0,15.607268657454004,1.050707382598205,1.5220251767887052
2024-05-31,36.98506451951855,10.12596624234283,13.343029630763459,9.735736955752872,7.127387975922877,4.498285714371902,0.0,15.607109270116354,1.0554100579199062,1.5220096332912434
2024-06-03,36.98346011166584,10.125656021241895,13.342620851073422,9.735438689793401,7.127169619857712,4.498147904002676,0.0,15.606631127635499,1.0589126700259173,1.5219630047036328
2024-06-04,36.98300923637717,10.125640112979866,13.342599888687559,9.735423394595804,7.127158422471429,4.495155776331378,0.0,15.606606608297998,1.0624459466877634,1.521960613571026
2024-06-05,36.990244529320925,10.127621075967278,13.345210212206904,9.73701373786028,7.128552767607421,4.476392801658102,0.0,15.609659858236293,1.0630466497892728,1.5222583673535173
2024-06-06,36.992942154571644,10.128273610956992,13.346070060392695,9.733869521885824,7.1290120689647685,4.473931108028206,0.0,15.610665607677218,1.0628794192041524,1.522356448318497
2024-06-07,36.99323282763901,10.128353194147357,13.346174927507764,9.733946006035136,7.129068085374513,4.4731805092966415,0.0,15.610788268914511,1.0628877708086213,1.5223684102764459
2024-06-11,37.00334868871452,10.130972178724255,13.349625974842482,9.736463004995727,7.130911516286266,4.447929062231732,0.0,15.614824898850868,1.0631626118045228,1.522762063549633
2024-06-12,37.00558821540337,10.131585328165652,13.350433924520456,9.731943254988598,7.131343095243915,4.443875241657862,0.0,15.615769943511475,1.0667639726444083,1.5226970238642592
2024-06-13,37.00625166133727,10.131680890607354,13.35055984756431,9.723939135372524,7.131410359007356,4.436371451941847,0.0,15.615917233501788,1.0811580345252456,1.5227113861423094
2024-06-14,37.00596079044062,10.131601255114083,13.350454911529472,9.723626903323183,7.13135430578304,4.436100780425769,0.0,15.615794491650242,1.0824071441751437,1.522699417558453
2024-06-17,37.0079388027127,10.132142801156677,13.351168509098319,9.720373618183139,7.131735485085835,4.432486266098561,0.0,15.616629174292799,1.0847445357328327,1.5227808076391396
2024-06-18,37.01125986249074,10.133568618287345,13.353047314514733,9.69564106527001,7.132739078385455,4.386569498337859,0.0,15.618826780252068,1.145352685801616,1.5229950966601684
2024-06-19,37.01125986249074,10.133568618287345,13.353047314514733,9.69438321346324,7.132739078385455,4.385626109482781,0.0,15.618826780252068,1.147553926463463,1.5229950966601684
2024-06-20,37.00548229883842,10.131943696617524,13.35090614818362,9.692435699684626,7.131595340899656,4.399228642628478,0.0,15.61632229530225,1.1493349940414386,1.5227508838039856
2024-06-21,37.0043770080668,10.131641072704232,13.350507379340689,9.689080772546577,7.131382332285052,4.395324407518942,0.0,15.615855862334826,1.1591257633760228,1.5227054018268624
2024-06-24,37.005715000046074,10.132007409218675,13.350990102554459,9.685186511301138,7.131640186439972,4.389823871117772,0.0,15.616420495267,1.1654559647516314,1.5227604593032795
2024-06-25,37.01043121761437,10.132007409218675,13.350990102554459,9.685186511301138,7.126923968871678,4.389823871117772,0.0,15.616420495267,1.1654559647516314,1.5227604593032795
2024-06-26,37.01226407546015,10.132509173955333,13.351651280123955,9.684565642980784,7.122953500117648,4.387368611570778,0.0,15.61719386314968,1.1686579820728777,1.5228358705687868
2024-06-27,37.016119709992346,10.133457087398416,13.352900349778714,9.682641515129536,7.119296046518822,4.3816470972878445,0.0,15.618654878161061,1.1723049812822743,1.522978334450984
2024-06-28,37.0119608572845,10.132684405094915,13.351882182956507,9.624518726674305,7.11906763135199,4.346960914224838,0.0,15.617463946169666,1.2725991298222,1.522862206421083
2024-07-02,37.01009889097579,10.132174658609129,13.351210487801572,9.624034544556103,7.118709491340708,4.328191469023515,0.0,15.616678276050555,1.301618930736296,1.517283250906337
2024-07-03,37.011029850712,10.132429525440887,13.351546326931057,9.620503498282606,7.118888556841984,4.311871498966053,0.0,15.617071101228655,1.3193382246314962,1.51732141696526
2024-07-04,37.01017441568323,10.132238374115033,13.351451656835922,9.618356869146172,7.118754256871497,4.313283657156436,0.0,15.616776480492389,1.3216714974582635,1.5172927922410642
2024-07-05,37.01159997870309,10.132628649074894,13.351965929898501,9.61872735034711,7.119500108707226,4.299614710372303,0.0,15.617378009650018,1.3312340277120507,1.5173512355348089
2024-07-08,37.0116581672815,10.132644579303717,13.351986921477277,9.618742472635015,7.119511301781577,4.299307035826427,0.0,15.61740256284484,1.3313933377786427,1.517353621071003
2024-07-09,37.01038000826427,10.132660509582628,13.352007913122058,9.61860037758475,7.119522494891122,4.2960122299844565,0.0,15.617427116116867,1.3360333438391494,1.5173560066146983
2024-07-10,37.01023454195628,10.132620683979269,13.351955434133867,9.6185625724532,7.11949451218325,4.295916736471632,0.0,15.61736573308156,1.3364997429714158,1.5173500427695248
2024-07-11,37.01147492813261,10.132572893668476,13.351892459892575,9.618517206687615,7.11946093322416,4.29149442612707,0.0,15.617292074076113,1.3524508660633525,1.5048442121280343
