date,SUNHIGH FINANCIAL HOLDINGS LTD,PHILLIP SECURITIES (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,62.2916248242619,0.0,30.447881100622613,0.0,7.260494075115485,0.0
2024-03-04,0.0,52.52905315298152,29.543722613831207,0.0,14.44084587540484,0.0,3.4863783577824345,0.0
2024-03-05,0.0,52.54156543280454,29.55075984945929,0.0,14.444285646229336,0.0,3.463389071506836,0.0
2024-03-08,0.0,52.514552915354514,29.54957534115851,0.0,14.467029296688615,0.0,3.4688424467983583,0.0
2024-03-18,0.0,52.403800475059384,29.629453681710217,0.0,14.475059382422803,0.0,3.491686460807601,0.0
2024-03-19,0.0,52.423723980610205,29.64071856287425,0.0,14.4805626841555,0.0,3.454994772360042,0.0
2024-03-20,0.0,52.39633306417137,29.62523155844773,0.0,14.472996722557355,0.0,3.505438654823541,0.0
2024-03-21,0.0,52.403800475059384,29.581947743467936,0.0,14.551068883610451,0.0,3.4631828978622323,0.0
2024-03-22,0.0,52.406290085039664,29.583353128414654,0.0,14.551760178630813,0.0,3.4585966079148656,0.0
2024-03-25,0.0,52.408779931584945,29.58475864690232,0.0,14.552451539338653,0.0,3.4540098821740783,0.0
2024-04-03,0.0,51.68413173652695,29.752994011976046,0.0,14.932634730538922,0.0,3.630239520958084,0.0
2024-04-05,0.0,51.58759805752708,29.87485991781845,0.0,14.98412401942473,0.0,3.5534180052297346,0.0
2024-04-08,0.0,51.590007004436146,29.876254961475603,0.0,14.984823721690404,0.0,3.5489143123978524,0.0
2024-04-10,0.0,51.56833457804332,29.933719193427933,0.0,14.978528752800596,0.0,3.5194174757281553,0.0
2024-04-12,0.0,51.58251345832559,30.044551698533507,0.0,14.892333395210692,0.0,3.4806014479302023,0.0
2024-04-15,0.0,51.292108906322106,30.14305491462852,0.0,15.17766497461929,0.0,3.3871712044300875,0.0
2024-04-16,0.0,51.268450184501845,30.175276752767527,0.0,15.170664206642067,0.0,3.385608856088561,0.0
2024-04-17,0.0,51.270815074496056,30.176668665528855,0.0,15.171363992804096,0.0,3.381152267170995,0.0
