date,ASTRUM CAPITAL MANAGEMENT LTD,TFI SECURITIES AND FUTURES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,BOCI SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,58.720930232558146,0.0,41.27906976744186,0.0,0.0
2024-03-05,0.0,0.0,0.0,44.67369365328549,19.69051356806459,15.855572998430143,0.0,11.145996860282574,8.634222919937205,0.0
2024-03-12,0.0,0.0,25.96281540504648,33.08432934926959,14.575033200531209,11.736387782204517,0.0,8.250332005312085,6.391102257636122,0.0
2024-03-15,0.0,0.0,25.954198473282442,33.07334882177232,14.420843013607701,11.91503484898772,0.0,8.247593760371723,6.388981081978094,0.0
2024-03-19,0.0,0.0,25.954198473282442,33.08994357782941,14.420843013607701,11.91503484898772,0.0,8.230999004314636,6.388981081978094,0.0
2024-03-26,0.0,0.0,25.954198473282442,33.10653833388649,14.420843013607701,11.91503484898772,0.0,8.214404248257551,6.388981081978094,0.0
2024-04-18,0.0,0.0,25.954198473282442,33.12313308994358,14.420843013607701,11.91503484898772,0.0,8.197809492200465,6.388981081978094,0.0
2024-04-19,0.0,0.0,25.95850622406639,33.11203319502074,14.423236514522822,11.91701244813278,0.0,8.199170124481329,6.390041493775933,0.0
2024-04-25,0.0,0.0,25.95850622406639,33.11203319502074,14.423236514522822,11.91701244813278,0.0,8.16597510373444,6.423236514522822,0.0
2024-05-02,0.0,0.0,30.045475929120276,31.284302963776074,13.627097381213737,11.259212795985574,0.0,7.715226595577858,6.068684334326486,0.0
2024-05-22,0.0,0.0,30.045475929120276,31.23725889916889,13.783910929904344,11.259212795985574,0.0,7.605457111494434,6.068684334326486,0.0
2024-05-30,93.42224697776128,0.0,1.976317200973718,2.054709741304617,0.9066716177744771,0.7406032099682304,0.0,0.5002681850063951,0.39918306721128854,0.0
2024-05-31,93.55530800016504,0.0,1.976317200973718,2.054709741304617,0.9066716177744771,0.6075421875644675,0.0,0.5002681850063951,0.39918306721128854,0.0
2024-06-04,93.54565894511026,0.0,1.9761133686750965,2.064811567895377,0.9065781059840343,0.6074795272179707,0.0,0.500216588626003,0.3991418964912643,0.0
2024-06-05,94.3336289939974,0.0,1.9761133686750965,1.2768415190082305,0.9065781059840343,0.6074795272179707,0.0,0.500216588626003,0.3991418964912643,0.0
2024-06-11,94.3336289939974,0.0,1.9420780131603377,1.3108768745229893,0.9065781059840343,0.6074795272179707,0.0,0.500216588626003,0.3991418964912643,0.0
2024-06-12,94.3336289939974,0.0,1.9204191505600363,1.3325357371232904,0.9065781059840343,0.6074795272179707,0.0,0.500216588626003,0.3991418964912643,0.0
2024-06-21,94.33265607112284,0.0,1.920399344052641,1.3335533576047607,0.9065687558658815,0.6074732618942027,0.0,0.5002114295733248,0.3991377798863437,0.0
2024-08-07,94.35795858995388,0.0,1.920914446060681,1.3287528499066366,0.8851474729968122,0.6076362023253175,0.0,0.5003455995378251,0.3992448392188419,0.0
2024-09-03,94.35698516516393,0.0,1.9095467018796295,1.3390554397837704,0.8851383415519838,0.6076299337693688,0.0,0.5003404378236739,0.40130398002764767,0.0
2024-09-23,94.06005758946935,0.0,1.9025092554504317,1.334841628959276,0.8823529411764706,0.6057178116001646,0.0,0.49876593994241053,0.400041135335253,0.31571369806663924
2024-10-03,94.05812303325723,0.0,1.9024701260772092,1.3368708994056067,0.8823347936077005,0.605705353653771,0.0,0.4987556817013225,0.40003290759137,0.31570720470578556
2024-10-04,94.05812303325723,0.0,1.9034984883075214,1.3358425371752947,0.8823347936077005,0.605705353653771,0.0,0.4987556817013225,0.40003290759137,0.31570720470578556
2024-10-09,94.0668291629385,0.0,1.903674678349943,1.3267100675696524,0.882416463546327,0.6057614184484692,0.0,0.4988018471095204,0.40006993510433697,0.31573642693324283
2024-10-10,94.0310475994654,0.0,1.902950550015421,1.3066721496864397,0.9427367122442685,0.6034748637812275,0.0,0.4986121106199239,0.39477742366608415,0.31972859052122954
2024-10-16,94.02621434078642,0.0,1.9028527370855821,1.3055769725006425,0.9426882549473143,0.603443844769982,0.0,0.4985864816242611,0.39784117193523516,0.32279619635055257
2024-10-17,94.02621434078642,0.0,1.9028527370855821,1.310717039321511,0.9375481881264457,0.603443844769982,0.0,0.4985864816242611,0.39784117193523516,0.32279619635055257
