date,FULBRIGHT SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,THE HONGKONG AND SHANGHAI BANKING
2024-04-24,0.0,0.0,0.0,0.0,100.0
2024-05-06,0.0,77.20354574343536,0.0,0.0,22.796454256564644
2024-05-14,0.0,76.94105860744699,0.0,0.0,23.058941392553013
2024-05-16,0.0,76.68063704945516,0.0,0.0,23.319362950544846
2024-05-17,0.0,75.79737335834896,0.0,0.0,24.202626641651033
2024-05-22,0.0,53.22155688622755,29.78443113772455,0.0,16.994011976047904
2024-05-28,0.0,53.142994241842615,29.834452975047988,0.0,17.022552783109404
2024-06-05,0.0,53.053892215568865,29.78443113772455,0.0,17.161676646706585
2024-06-13,0.0,52.81656234954261,29.935002407318244,0.0,17.24843524313914
2024-06-25,0.0,52.63412276462059,30.05074915418076,0.0,17.315128081198647
2024-06-27,0.0,52.69779820953303,30.087103798693445,0.0,17.215097991773533
2024-06-28,0.0,52.62902834989096,30.130845650593653,0.0,17.24012599951539
2024-08-07,0.0,52.4677850717238,30.233406272793584,0.0,17.298808655482617
2024-08-12,0.0,52.433090024330895,30.255474452554743,0.0,17.311435523114355
2024-09-26,0.0,52.34032179424671,30.314480741101903,0.0,17.345197464651392
2024-09-30,0.0,52.04280155642024,30.654182879377434,0.0,17.303015564202333
2024-10-02,0.0,52.180303772660466,30.16903478686918,0.0,17.65066144047036
2024-10-03,0.0,51.56743620899149,30.92345078979344,0.0,17.509113001215066
2024-10-04,0.0,51.13373438223044,30.76122165664044,0.0,18.10504396112911
2024-10-07,0.0,40.456586826347305,27.086452095808383,17.53368263473054,14.923278443113771
2024-10-08,69.69073077859689,11.860485709858095,8.924420535299197,5.202452901197671,4.321910075048151
2024-10-09,69.60213139944946,11.867517162850858,9.07337187835104,5.1958389068839335,4.261140652464707
2024-10-10,69.59443775078206,11.860678479445545,9.254755877833906,5.211845203223275,4.078282688715222
2024-10-14,69.6329230122654,11.867237355806983,9.204574361016181,5.2147273189776255,4.080537951933818
2024-10-16,69.62137296532201,11.881855980184005,9.203047593772116,5.213862349610757,4.079861111111112
2024-10-18,69.60982674936703,11.879885457781905,9.218105630921976,5.2129976671420835,4.079184494787002
2024-10-24,69.60213139944946,11.878572139248483,9.228141547917796,5.212421371480372,4.078733541903888
2024-10-29,69.60213139944946,11.873044651049671,9.228141547917796,5.2179488596791845,4.078733541903888
2024-11-07,69.57521106838173,11.868452459885956,9.263249790036689,5.215930690005746,4.077155991689873
2024-11-12,69.54062979776225,11.862553431193877,9.308349072754787,5.213338193224869,4.075129505064228
2024-11-18,69.52143283054703,11.859278726176543,9.305779466001193,5.211899030498443,4.101609946776794
2024-11-22,69.51759470888955,11.858624002119978,9.310786489560215,5.211611293296675,4.101383506133581
2024-11-27,69.52143283054703,11.859278726176543,9.305779466001193,5.211899030498443,4.101609946776794
2024-12-16,69.44475083276345,11.956497760914164,9.295515210341708,5.206150316560411,4.097085879420264
2024-12-19,69.45241141949433,11.95781670564356,9.285509420641574,5.206724617217491,4.097537837003045
2025-01-16,69.45241141949433,11.9523011075321,9.291025018753034,5.206724617217491,4.097537837003045
2025-01-22,69.46390546906892,11.937729624766927,9.292562639981465,5.207586305813299,4.0982159603693855
2025-02-11,69.46007369652037,11.93707111493568,9.292050043026412,5.207299044593014,4.103506100924516
2025-02-20,69.45241141949433,11.946785509420641,9.291025018753034,5.206724617217491,4.103053435114504
2025-03-11,69.45241141949433,11.919207518863345,9.291025018753034,5.206724617217491,4.1306314256718
2025-04-15,69.45241141949433,11.908176322640427,9.291025018753034,5.206724617217491,4.141662621894718
