date,SUNHIGH FINANCIAL HOLDINGS LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,PLUTUS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-08,97.85980757903005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1401924209699588
2024-03-13,95.57501488086106,0.0,0.0,0.0,2.3347610778038916,0.0,0.0,0.0,2.0902240413350435
2024-03-15,91.24438372876838,0.0,0.0,0.0,2.228969945374199,0.0,2.1621477141121597,2.277448101095262,2.0870505106499992
2024-03-19,91.12760168022915,0.0,0.0,0.0,2.244401155989464,0.0,2.1593804200719147,2.2745332361598125,2.1940835075496583
2024-03-20,91.16093746513332,0.0,0.0,0.0,2.245222190152497,0.0,2.1601703524292084,2.1473302685406606,2.286339723744315
2024-03-21,91.16093746513332,0.0,0.0,0.0,2.2269314723625424,0.0,2.1601703524292084,2.1473302685406606,2.3046304415342695
2024-03-22,91.12760168022915,0.0,0.0,0.0,2.2261171267598834,0.0,2.1593804200719147,2.1465450315527494,2.3403557413863028
2024-03-26,91.12760168022915,0.0,0.0,0.0,2.207833097530303,0.0,2.1593804200719147,2.1465450315527494,2.358639770615883
2024-03-27,91.01111818407254,0.0,0.0,0.0,2.2050109436121845,0.0,2.1566202005969775,2.1438012188623827,2.483449452855912
2024-03-28,90.97789186116599,0.0,0.0,0.0,2.204205938607447,0.0,2.155832862076129,2.1430185602931155,2.5190507778573243
2024-04-10,90.96128779574738,0.0,0.0,0.0,2.2038036564831636,0.0,2.1554394083574153,2.1426274452690093,2.536841694143035
2024-04-18,90.87835829631523,0.0,0.0,0.0,2.2382624874777863,0.0,2.153474292036802,2.140674009628292,2.589230914541887
2024-04-26,90.79557987296634,0.0,0.0,0.0,2.2362237200173283,0.0,2.1515127556494926,2.1387241326417032,2.677959518725131
2024-05-02,90.59752558234905,0.0,0.0,0.0,2.304056493301345,0.0,2.146819616036635,2.1340588891187355,2.817539419194242
2024-05-13,83.6542822298096,0.0,7.596695051607508,0.0,2.1274774440595556,0.0,2.032644640167416,1.9705081729092386,2.618392461446689
2024-05-20,83.6542822298096,0.0,7.5631259174863965,0.0,2.161046578180667,0.0,2.032644640167416,1.9705081729092386,2.618392461446689
2024-05-22,83.65709052590164,0.0,7.492882265401785,0.0,2.1946893861241357,0.0,2.0327128765785996,1.970574323382996,2.6520506226108465
2024-05-24,83.72454624286098,0.0,7.4989240455082555,0.0,2.129264383100946,0.0,2.0209129940025408,1.9721632682407464,2.654189066286524
2024-05-27,83.71048399910377,0.0,7.4976645379614615,0.0,2.1289067551874803,0.0,2.0205735646188168,1.9718320267846676,2.6705391163438
2024-06-03,83.72454624286098,0.0,7.482125380531758,0.0,2.129264383100946,0.0,2.0209129940025408,1.9721632682407464,2.670987731263021
2024-07-05,83.6964264782982,0.0,7.47961243046429,0.0,2.1285492473870895,0.0,2.0202342492360015,1.9715008965794965,2.703676698034914
2024-07-08,83.69221014267642,0.0,7.467481109640489,0.0,2.178818549444733,0.0,2.0201324768427487,1.9714015792034931,2.6699561421921247
2024-07-09,83.67815875815165,0.0,7.466227367526092,0.0,2.1280846667161395,0.0,2.019793309575273,1.9710705935407313,2.736665304490112
2024-07-30,83.66411209110927,0.0,7.46497404633152,0.0,2.1277274349462845,0.0,2.019454256176691,1.9707397190000462,2.75299245243618
