date,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,CATHAY SECURITIES (HONG KONG) LTD
2024-03-04,0.0,80.13758882878143,0.0,0.0,19.862411171218568,0.0,0.0
2024-03-05,0.0,80.09892642754019,0.0,0.0,19.90107357245981,0.0,0.0
2024-03-06,0.0,80.06030131368136,0.0,0.0,19.939698686318643,0.0,0.0
2024-03-25,0.0,61.45094711673257,0.0,23.24417206979544,15.304880813471996,0.0,0.0
2024-03-28,0.0,61.47233748974615,0.0,23.231274178050327,15.296388332203522,0.0,0.0
2024-04-05,0.0,61.46521000350569,0.0,23.235571884588026,15.299218111906288,0.0,0.0
2024-04-08,0.0,61.443811713270044,0.0,23.24847455023179,15.30771373649816,0.0,0.0
2024-04-15,0.0,61.429532978860315,0.0,23.257084291191287,15.313382729948403,0.0,0.0
2024-04-30,0.0,50.714924141811956,17.32547035287839,19.20634665773633,12.753258847573326,0.0,0.0
2024-05-06,0.0,50.676177953871225,17.312233698346937,19.19167301423102,12.819915333550819,0.0,0.0
2024-05-17,0.0,50.6365190666064,17.425095338748882,19.147786303997023,12.790599290647695,0.0,0.0
2024-05-29,0.0,50.61337096124118,17.462843837833265,19.13903303692721,12.78475216399835,0.0,0.0
2024-05-30,0.0,50.611507321300934,17.56170333330548,19.08088182234575,12.745907523047837,0.0,0.0
2024-06-03,0.0,50.542402683453936,17.689435113832122,19.054828904779715,12.713333297934234,0.0,0.0
2024-06-18,0.0,50.5048580392788,17.70286365834384,19.069293957872954,12.722984344504408,0.0,0.0
2024-06-19,0.0,44.35041373880825,15.545619928258164,16.74553913369833,11.21257835305756,12.14584884617769,0.0
2024-06-21,0.0,44.33117087837707,15.543547594782648,16.743306843093485,11.237744959178192,12.144229724568604,0.0
2024-07-03,0.0,44.21963252545748,15.574690726847843,16.776853818971603,11.260260962892565,12.168561965830518,0.0
2024-07-19,0.0,44.152845687006156,15.574690726847843,16.776853818971603,11.327047801343884,12.168561965830518,0.0
2024-07-23,0.0,44.19727119845581,15.58093433491392,16.78357935218858,11.344951329624287,12.093263784817408,0.0
2024-08-01,0.0,44.14382030879915,15.58093433491392,16.78357935218858,11.398402219280939,12.093263784817408,0.0
2024-08-02,0.0,44.16152385433871,15.894648823842775,16.7903102798541,11.483181950951172,11.67033509101324,0.0
2024-08-20,0.0,44.19106133966869,15.905279977740635,16.73465538448573,11.490862490226412,11.678140807878531,0.0
2024-08-27,0.0,44.19106133966869,15.905279977740635,16.68114729372798,11.50423951291585,11.718271875946842,0.0
2024-08-29,0.0,44.229389624630166,15.95551212036163,16.57176195876351,11.521192630991607,11.722143665253087,0.0
2024-09-12,0.0,44.20570114099141,15.946966628528736,16.56288641434932,11.568580324978024,11.715865491152513,0.0
2024-09-16,0.0,44.24302920784826,15.936297627418462,16.551805344346462,11.560840596212888,11.708027224173932,0.0
2024-09-17,0.0,44.27857765076823,15.949102143219188,16.484756287407908,11.570129514476388,11.717434404128287,0.0
2024-09-23,0.0,44.37996715004558,15.60841355067313,16.451749788831282,11.846866202697873,11.713003307752135,0.0
2024-09-24,0.0,44.521071978401274,15.56881590209004,16.410012644655797,11.816811383661822,11.683288091191066,0.0
2024-09-25,0.0,44.515128171923,15.566737380062026,16.40782181826435,11.82858432138504,11.681728308365585,0.0
