date,THE HONGKONG AND SHANGHAI BANKING,OCBC BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,SHANGHAI COMMERCIAL BANK LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-14,0.0,0.0,71.28640587455611,0.0,28.713594125443887,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,53.21660634537643,25.348170254196035,21.435223400427542,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,46.51785590394213,22.15741687210631,18.73702030036586,0.0,12.587706923585703,0.0,0.0
2024-03-22,0.0,0.0,46.510433772950364,22.16049182830418,18.73962058166376,0.0,12.589453817081688,0.0,0.0
2024-03-25,0.0,0.0,46.505484541042684,22.162542273297156,18.741354503522967,0.0,12.590618682137189,0.0,0.0
2024-04-09,0.0,0.0,46.49310745339028,22.167670046227954,18.74569071229923,0.0,12.593531788082535,0.0,0.0
2024-04-17,0.0,0.0,46.526512453870275,22.153830501576966,18.73398755075426,0.0,12.585669493798498,0.0,0.0
2024-04-26,0.0,0.0,37.62722265461294,17.925297850685507,15.15820511285398,0.0,10.183425133209603,10.09736274920673,9.008486499431239
2024-05-06,0.0,0.0,37.526703595709435,17.954185999445315,15.182633855287126,0.0,10.199836592733625,10.113635511847027,9.023004444977476
2024-05-07,0.0,0.0,37.561897902223826,17.971024278983226,15.196872842951892,0.0,10.2094024789172,10.02933585426608,9.031466642657783
2024-05-14,45.548694421237336,0.0,20.45294380792274,9.785457345782786,8.274895670131732,0.0,5.559152941560975,5.461104313526829,4.917751499837607
2024-05-21,45.34261394369004,0.0,20.36040652489538,9.741184030192485,8.237456738609698,0.0,5.600087844515208,5.4363960974260745,5.281854820671115
2024-05-23,45.349530102521236,0.0,20.34825901001214,9.742669863718545,8.238713206956232,0.0,5.600942032080341,5.437225316908784,5.282660467802718
2024-05-27,32.18661408684908,29.025473882342073,14.442080405549751,6.914813766982107,5.847387656830084,0.0,3.975242065393742,3.859044902625334,3.7493432334278305
2024-06-24,32.18870490210655,29.027359352602623,14.436522635378488,6.915262947442269,5.84776749819197,0.0,3.975500293759735,3.8592955829218054,3.7495867875965545
