date,EVERBRIGHT SECURITIES INVESTMENT,MORTON SECURITIES LTD,CITIBANK N.A.,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG BANK LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,57.3524113011802,0.0,42.6475886988198,0.0
2024-03-08,98.67398073509156,0.0,0.0,0.0,0.0,0.7607123998835367,0.0,0.5653068650249072,0.0
2024-03-12,95.62017036173917,0.0,3.0948486628414305,0.0,0.0,0.7371695023476722,0.0,0.5478114730717331,0.0
2024-03-13,93.68180923731553,0.0,3.0321115404191237,2.0267987841818957,0.0,0.7225739071896815,0.0,0.5367065308937554,0.0
2024-03-14,93.68289568427255,0.0,3.030986984134377,2.0268222893787895,0.0,0.7225822870259493,0.0,0.5367127551883334,0.0
2024-03-18,93.68365621213628,0.0,3.0301997792152964,2.026838743341006,0.0,0.722588153026985,0.0,0.5367171122804383,0.0
2024-03-19,93.6850686537868,0.0,3.0287377933128234,2.0268693014081838,0.0,0.7225990472815943,0.0,0.536725204210606,0.0
2024-03-21,93.68550325978615,0.0,3.0287518436586724,2.0264148030447866,0.0,0.7226023994260246,0.0,0.5367276940843619,0.0
2024-03-26,93.68387350807966,0.0,3.028699155533893,2.0281191501647955,0.0,0.7225898290447743,0.0,0.5367183571768903,0.0
2024-03-28,93.0293020018142,0.0,3.00753756075748,2.013948632259228,0.6987024359202998,0.7175410763075262,0.0,0.5329682929412639,0.0
2024-04-02,93.02748073784356,0.0,3.007478681246596,2.015866936074708,0.6986887572024618,0.717527028779687,0.0,0.5329578588529871,0.0
2024-04-03,93.03840939145684,0.0,3.0078319928970454,2.016103755467215,0.6870230684693123,0.717611322198078,0.0,0.5330204695115116,0.0
2024-04-18,90.53944955238966,2.6859442840997834,2.927043301408503,1.9619523318857226,0.6685700116313139,0.6983366819074458,0.0,0.5187038366775854,0.0
2024-04-19,90.53813036747486,2.688482967492576,2.92700065357502,1.9608029551100814,0.6685602703806417,0.698326506948124,0.0,0.5186962790186868,0.0
2024-04-22,90.53711563600643,2.6895736135902295,2.9269678483949346,1.960780978861468,0.6685527773040545,0.698318680258099,0.0,0.5186904655847806,0.0
2024-04-23,90.53681122100132,2.691133654333354,2.926958006984301,1.9595415344018787,0.6685505294138308,0.698316332285302,0.0,0.5186887215800193,0.0
2024-04-24,90.53478183994702,2.6933148308858903,2.926892399271306,1.9594976113123486,0.6685355438653016,0.6983006795368173,0.0,0.5186770951813153,0.0
2024-04-25,90.53549211296729,2.69591370399329,2.923553087858301,1.9595129841697005,0.6685407887308688,0.6983061579189667,0.0,0.5186811643615735,0.0
2024-04-26,90.52030875877087,2.711619510302534,2.923569470926585,1.9595239649297749,0.6685445351138017,0.6977496889984398,0.0,0.5186840709579915,0.0
2024-04-29,90.52203347430621,2.7134644326477715,2.919926582381444,1.9595613004345973,0.6685572731298512,0.6977629834706406,0.0,0.5186939536294869,0.0
2024-04-30,45.972595557786526,1.3789161186920045,1.482916353932258,0.9934768301157251,0.3395340553583476,0.3543664918154458,0.0,0.26342434469554915,0.0
2024-05-16,90.5397917202735,2.715678257260293,2.9204994017544323,1.9565827029394318,0.6507523410762159,0.6978998677872181,0.0,0.5187957089089118,0.0
2024-05-17,90.53877677566776,2.716768807566399,2.920466663164498,1.9565607697869218,0.6507450461888996,0.697892044379491,0.0,0.5187898932460278,0.0
2024-06-05,90.53106394023139,2.731221126471873,2.9202178738658953,1.9563940938964797,0.650689610389665,0.6916676566759169,0.0,0.5187456984687715,0.0
2024-06-11,90.52467140166598,2.731028270720248,2.9231499637828606,1.9562559498810441,0.6545665279658788,0.691618816951989,0.0,0.5187090690319929,0.0
2024-06-13,90.52113458495015,2.7309215689085784,2.9230357557388573,1.9561795185763304,0.6545409539228925,0.6954988149365463,0.0,0.5186888029666473,0.0
2024-06-18,90.51606218054414,2.7363720982713136,2.9228719617308134,1.956069902919672,0.6545042763399852,0.695459842256084,0.0,0.5186597379380041,0.0
2024-06-20,90.5099760455872,2.758600835071816,2.9226754331502236,1.955938380346467,0.6544602686659908,0.6786035367017442,0.0,0.519745500476566,0.0
2024-06-21,90.5097731885173,2.7689044829185843,2.9226688826526925,1.9559339965652967,0.6544588018454451,0.6685163119128196,0.0,0.5197443355878552,0.0
2024-06-24,90.50969874245331,2.7689262035838995,2.922691809522514,1.9559493398853642,0.6544639357461214,0.6685215560876037,0.0,0.519748412721188,0.0
2024-06-27,90.50990160094766,2.768932409550867,2.922698360122816,1.9559537237353122,0.6544654025896801,0.6682989254254947,0.0,0.5197495776281748,0.0
2024-07-02,90.51253884412554,2.777306104761026,2.9227835205989066,1.9560107155729227,0.6544844721543092,0.657111620893085,0.0,0.5197647218942006,0.0
2024-07-09,90.51000303053583,2.8064771642719495,2.896254382276929,1.9559559156676551,0.6544661360139253,0.6570932111500868,0.0,0.5197501600836265,0.0
2024-07-11,90.50493182959502,2.811922837324001,2.896092107528764,1.9558463250683005,0.654429466815234,0.6570563947585389,0.0,0.5197210389101368,0.0
2024-07-12,90.50310633636613,2.9183194088276876,2.7918215266696347,1.9558068754587488,0.6544162669095901,0.6568190296816951,0.0,0.5197105560865131,0.0
2024-07-16,90.20743876206208,2.9139231957872402,2.7755526722716604,1.94941738566019,0.6522783328866059,0.6546732459939955,0.0,0.5180126965800426,0.3287037087581939
2024-07-18,90.20814403647776,2.9434323719040467,2.745306142332237,1.9494326269110942,0.6522834326347686,0.6546783644664559,0.0,0.5180167465908501,0.32870627868279556
2024-07-19,90.2078417746635,2.9936832397711686,2.6953712846580444,1.9494260949172386,0.6522812470186486,0.6546761708256011,0.0,0.518015010864178,0.328705177281617
2024-07-22,90.20582674766568,2.993616368062098,2.6953110765231316,1.9493825494101713,0.6545004369640104,0.6546615469289078,0.0,0.5180034396502832,0.32869783479571435
2024-07-23,90.20068883625896,2.9991416231698493,2.6951575579531677,1.949271517172036,0.654463158160833,0.6546242589492863,0.0,0.5179739353945465,0.32867911294131036
2024-07-24,90.20310660401132,2.999333697758483,2.6924376835744877,1.9493237660614358,0.6544807005980285,0.6546418057046782,0.0,0.5179878193315066,0.32868792296006294
2024-07-25,90.19796900245706,3.0047467823384215,2.6923960115785706,1.9492127405193307,0.6544434240430271,0.6546045199737861,0.0,0.5179583168550855,0.3286692022347194
2024-07-29,90.1977013976569,3.0047192662622737,2.6924830331313028,1.9491948905339302,0.6544374309539601,0.6548442153936284,0.0,0.5179535736332701,0.3286661924347425
2024-07-30,90.19815905314692,3.004827587818513,2.6919216405392086,1.9491927137288079,0.6544367000969489,0.6548434840823318,0.0,0.5179529951975284,0.328665825389736
2024-08-01,90.19810210840267,3.0049224859017403,2.6919066093175363,1.949181829776125,0.6544330458363785,0.6548398275503506,0.0,0.517950103038199,0.32866399017700054
2024-08-02,90.19995906489099,3.005192824261725,2.691948697161241,1.9492123051499433,0.6544432778688172,0.6526165006772631,0.0,0.517958201165715,0.328669128824308
2024-08-05,90.20194964438359,3.005233098567308,2.69164973422353,1.9492384276574208,0.6527768520378787,0.6526252467637585,0.0,0.5179651426194228,0.3285618537470956
2024-08-06,90.19696779654227,3.005048516863972,2.691484412840319,1.9491187052474168,0.6583204034493984,0.6525851624589021,0.0,0.5179333291509971,0.32854167344672397
2024-08-07,90.19193179922672,3.0103524015992016,2.691445804961009,1.9490098794541875,0.6582836472272598,0.6525487264543822,0.0,0.517904411207091,0.3285233298701499
2024-08-08,90.18801296854394,3.014650750220336,2.6912955409615558,1.9489010658124934,0.658246895109337,0.6525122945183223,0.0,0.517875496492175,0.3285049883418275
2024-08-12,90.19300250609864,3.0149105349839003,2.68584447652873,1.9489968211756235,0.6582792367564201,0.6525443544072538,0.0,0.5179009412708211,0.3285211287786103
2024-08-13,90.19401844929385,3.0206021237845517,2.679141529801092,1.9489946448128743,0.6582785016836926,0.6525436257384282,0.0,0.5179003629526299,0.3285207619328879
2024-08-29,90.18133003547271,3.0343567487963474,2.678652980484048,1.9487204619899587,0.658185895653021,0.6524518264849735,0.0,0.5178275051929222,0.3284745459260184
2024-09-02,90.1687458504583,3.033933325159641,2.6782791928643426,1.9484485314381979,0.6720483632820285,0.6523607813152665,0.0,0.5177552459223131,0.32842870955992315
2024-09-04,90.15304571327006,3.050928623535467,2.6778128522231404,1.9481092685488315,0.6719313465552113,0.652247192580431,0.0,0.5176650946363633,0.32825990865049104
2024-09-09,90.14821600171894,3.0563456324026,2.6776693954651147,1.948004903734945,0.6718953496062413,0.6522122501580727,0.0,0.5176373620948014,0.328019104819289
