date,HUATAI FINANCIAL HOLDINGS (HONG KONG),GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,HANG SENG BANK LTD,PRUDENTIAL BROKERAGE LTD
2024-03-01,0.0035063066394749316,0.0,50.626849085869395,0.0,0.0,30.717721614287868,0.0,0.0,18.651922993203264
2024-03-04,0.007012367403845997,0.0,50.625074015537955,0.0,0.0,30.716644594539027,0.0,0.0,18.65126902251918
2024-03-05,0.006993975780924955,0.0,50.70211683587612,0.0,0.0,30.63608279390197,0.0,0.0,18.654806394440985
2024-03-07,0.006993731210991415,0.0,50.700343850991224,0.0,0.0,30.638508356865373,0.0,0.0,18.654154060932406
2024-03-12,0.006984206306972964,0.0,50.76748605002569,0.0,0.0,30.596781152521434,0.0,0.0,18.628748591145904
2024-03-13,0.00696984604836772,0.0,50.711891711565016,0.0,0.0,30.687207583593963,0.0,0.0,18.59393085879265
2024-03-15,0.006973491360457872,0.0,50.81860978261452,0.0,0.0,30.570761021017322,0.0,0.0,18.603655705007704
2024-03-18,0.00696741795684203,0.0,50.96595446463503,0.0,0.0,30.43962484300317,0.0,0.0,18.587453274404954
2024-03-19,0.006968631791098928,0.0,50.97483353889868,0.0,0.0,30.45538085412457,0.0,0.0,18.56281697518565
2024-03-20,0.006968146206647121,0.0,50.978249684175736,0.0,0.0,30.453258678658862,0.0,0.0,18.56152349095875
2024-03-21,0.006956028550657472,0.0,51.06349885787576,0.0,0.0,30.40030024445154,0.0,0.0,18.529244869122046
2024-03-22,0.004316760575778505,0.0,33.28394383666566,36.41187545669168,0.0,18.865767532635314,0.0,0.0,11.434096413431563
2024-03-25,0.004184359673631996,0.0,35.43064040553609,35.242769351165485,0.0,18.297589751920697,0.0,0.0,11.024816131704092
2024-03-26,0.004174577630428917,0.0,35.541929808384545,35.160380092287554,0.0,18.3153456905952,0.0,0.0,10.978169831102266
2024-03-27,0.0035557427677827746,0.0,31.35595633422719,29.599780670407704,0.0,15.61452167053119,14.09674220287481,0.0,9.329443379191321
2024-03-28,0.0029746728441419987,0.0,26.86991757437371,24.762664091060067,16.262902323684138,12.949800950064102,11.346889563979653,0.0,7.804850823994195
