date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD
2024-03-01,46.036788005308175,15.285669014287242,14.862218341959721,8.452985671007536,0.7858717032503763,4.057262335971036,4.219253209503933,3.729289295651523,0.15875645498173438,2.4119059680787243
2024-03-04,46.106032772673174,15.283412527715171,14.855308808008486,8.381863556087342,0.7874351348282784,4.047252769576817,4.225597247392908,3.728712977188348,0.17586030959189672,2.4085238969375746
2024-03-05,46.059170503503275,15.274395784850045,14.848835160609806,8.380745007095701,0.7857608772295235,4.062291822339621,4.218701499022882,3.7263468182488033,0.17781303911338506,2.465939487986957
2024-03-06,46.08467561651432,15.286253324435062,14.857850896396727,8.381123186076653,0.7848687079029353,4.063334428976865,4.222695254250597,3.728866849887211,0.182856738606812,2.407474996952821
2024-03-07,46.09569657492286,15.29101891037819,14.875639418395108,8.350633537344033,0.7841324632914666,4.049545723674562,4.229221651231708,3.730905813294947,0.18442378682014235,2.4087821206469826
2024-03-08,46.07431447711553,15.298566407552105,14.88411063362573,8.352817211860646,0.7838076288149692,4.051877757671299,4.231504131521499,3.726695993833436,0.18465113300411812,2.4116546250006667
2024-03-11,46.05210816970583,15.292638204019267,14.877301979158924,8.362144554526274,0.7835099302524065,4.050106189303275,4.2334395661218505,3.753572745961651,0.18445631197284681,2.4107223489776697
2024-03-12,46.079016287985375,15.289455545696814,14.873322284199583,8.364335241399537,0.7831954977844717,4.056513950488529,4.227955982752506,3.7527158782224297,0.19262221620022427,2.3808671152705307
2024-03-13,46.06827567124061,15.290538222634767,14.866369033993898,8.369843461903653,0.7834661104104381,4.05602087211091,4.225330831770504,3.753091452238329,0.20682114622390754,2.380243197472989
2024-03-14,46.10173625577602,15.28721088207751,14.857776420317503,8.377516885378038,0.7829855407768107,4.040180596756513,4.223659795402366,3.7528185608229543,0.20730142170864263,2.3688136409836416
