date,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,0.0,0.41916666666666663,0.0,0.0,0.0,0.0,0.41916666666666663
2024-03-04,0.0,0.4075,0.0,0.7541666666666667,0.0,0.0,1.1616666666666668
2024-03-18,0.0,0.41333333333333333,0.0,0.75,0.0,0.0,1.1633333333333333
2024-03-25,0.0,0.41583333333333333,0.0,0.75,0.0,0.0,1.1658333333333333
2024-04-02,0.0,0.41583333333333333,0.0,0.75,0.0,0.2775,1.4433333333333334
2024-04-30,0.0,0.41583333333333333,0.0,0.75,0.6391666666666667,0.2775,2.0825
2024-05-30,73.15125,0.4358333333333333,0.0,0.75,0.6391666666666667,0.2775,75.25375
2024-06-03,73.15125,0.43833333333333335,0.0,0.75,0.6391666666666667,0.2775,75.25625000000001
2024-06-07,73.15125,0.43750000000000006,0.0,0.75,0.6391666666666667,0.2775,75.25541666666666
2024-06-14,73.15125,0.44083333333333335,0.0,0.75,0.6391666666666667,0.2775,75.25874999999999
2024-06-25,73.15125,0.4416666666666667,0.0,0.75,0.6391666666666667,0.2775,75.25958333333334
2024-07-08,73.15125,0.4425,0.0,0.75,0.6391666666666667,0.2775,75.26041666666666
2024-07-09,73.15125,0.45583333333333337,0.0,0.75,0.645,0.2775,75.27958333333333
2024-07-16,73.15125,0.4525,0.0,0.6458333333333334,0.645,0.2775,75.17208333333333
2024-07-24,73.15125,0.45999999999999996,0.0,0.6458333333333334,0.645,0.2775,75.17958333333333
2024-08-09,73.15125,0.48250000000000004,0.0,0.6458333333333334,0.6491666666666667,0.2775,75.20625
2024-08-12,73.15125,0.48250000000000004,0.0,0.6458333333333334,0.6491666666666667,0.2833333333333333,75.21208333333334
2024-08-13,73.15125,0.48833333333333334,0.0,0.6458333333333334,0.6491666666666667,0.2833333333333333,75.21791666666667
2024-08-14,73.15125,0.47583333333333333,0.0,0.6458333333333334,0.6491666666666667,0.2833333333333333,75.20541666666666
2024-08-15,73.15125,0.4866666666666667,0.0,0.6458333333333334,0.6491666666666667,0.2833333333333333,75.21625
2024-08-16,73.08208333333333,0.4866666666666667,0.0,0.6458333333333334,0.6491666666666667,0.2833333333333333,75.14708333333333
2024-08-19,73.08208333333333,0.5116666666666667,0.0,0.6458333333333334,0.6491666666666667,0.2833333333333333,75.17208333333333
2024-09-03,73.08208333333333,0.5116666666666667,0.0,0.6458333333333334,0.6533333333333333,0.2833333333333333,75.17625
2024-09-17,73.08208333333333,0.5116666666666667,0.0,0.6458333333333334,0.6533333333333333,0.2941666666666667,75.18708333333333
2024-10-04,73.08208333333333,0.5075,0.0,0.6458333333333334,0.6533333333333333,0.2941666666666667,75.18291666666667
2024-10-08,73.08208333333333,0.5841666666666667,0.0,0.65,0.6533333333333333,0.29583333333333334,75.26541666666667
2024-10-09,73.08208333333333,0.5858333333333333,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.28875000000001
2024-10-10,73.08208333333333,0.6133333333333334,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.31625
2024-10-14,73.08208333333333,0.66,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.36291666666666
