date,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,61.38264432598323,0.0,38.61735567401678
2024-03-06,0.0,0.0,0.0,0.0,0.0,61.219110724591715,0.0,38.780889275408285
2024-03-07,0.0,0.0,0.0,0.0,0.0,61.133971995877154,0.0,38.86602800412284
2024-03-08,0.0,68.70546513434861,0.0,0.0,0.0,19.125090527584714,0.0,12.16944433806668
2024-03-11,0.0,68.50676268691089,0.0,0.0,0.0,19.069779028159335,0.0,12.423458284929774
2024-03-12,0.0,68.40454939815335,0.0,0.0,0.0,19.04132658413923,0.0,12.55412401770742
2024-03-13,0.0,68.38151117624423,0.0,0.0,0.0,19.034913585133335,0.0,12.583575238622432
2024-03-14,0.0,31.484913155884165,31.806634218757313,22.150345359046987,0.0,8.764249149350244,0.0,5.793858116961288
2024-03-18,0.0,28.56300035230027,28.854864547278076,20.094713908264065,9.280358466028748,7.950895411434667,0.0,5.256167314694177
2024-03-19,0.0,28.52825642436895,28.81976559682003,20.070270772626426,9.390709502283153,7.941223971678441,0.0,5.249773732223
2024-03-22,0.0,28.535817206289433,28.827403636784176,20.049087169862158,9.393198301653474,7.943328617042615,0.0,5.251165068368145
2024-03-26,0.0,28.525966069282056,28.81745183828687,20.020489212976504,9.446154198167163,7.940586420527428,0.0,5.249352260759978
2024-04-02,0.0,28.49108366581944,28.782212997318396,19.996007560696967,9.556886145918886,7.930876434244127,0.0,5.2429331960021885
2024-04-03,0.0,28.44096768742223,28.782212997318396,19.996007560696967,9.607002124316093,7.930876434244127,0.0,5.2429331960021885
2024-04-11,0.0,28.420229768458725,28.761226257088996,19.981427340046782,9.672912774242503,7.925093583442056,0.0,5.239110276720934
2024-04-18,0.0,28.36636170114499,28.71870814421692,19.943554286881923,9.824925837975396,7.910072259613972,0.0,5.236377770166802
2024-04-26,0.0,28.334749913573226,28.686703697867582,19.921328969155777,9.925417939102427,7.90125718750206,0.0,5.230542292798927
2024-05-02,75.40485585562305,6.980190685218407,7.056945504368271,4.9006583116196625,2.44165848547917,1.943713783760557,0.0,1.2719773739308735
2024-05-03,75.40780365950239,6.980190685218407,7.056945504368271,4.9006583116196625,2.44165848547917,1.943713783760557,0.0,1.2690295700515437
2024-05-07,75.39830493609773,6.979038606342051,7.072285734258421,4.8998494590860195,2.4412554903045036,1.9433929742450384,0.0,1.2658727996662364
2024-05-08,75.42612820555459,6.972537867201062,7.065698138561904,4.895285414529124,2.4389815431300956,1.941582769217297,0.0,1.2597860618059267
2024-05-13,75.43972019249563,6.964731097224202,7.057787062115384,4.889804430713736,2.436250748655017,1.9394088849933595,0.0,1.2722975838026693
2024-05-14,75.45163376989044,6.961352680381597,7.054363506151871,4.88743250889577,2.435068984356128,1.938468126254753,0.0,1.2716804240694475
2024-05-16,75.45629121271539,6.961393611265374,7.05440498391432,4.887461245686044,2.435083301907639,1.9384795239266173,0.0,1.266886120584616
2024-05-17,75.45746715899068,6.961393611265374,7.044605431620194,4.887461245686044,2.435083301907639,1.9384795239266173,0.0,1.275509726603447
2024-05-20,75.4565798301507,6.9613117499791395,7.044522591819162,4.887403772443423,2.4350546669729813,1.9384567287169177,0.0,1.276670659917669
2024-05-24,75.45621011595988,6.961277641678092,7.04448807581041,4.887379825657933,2.435042735948969,1.9384472308711032,0.0,1.2771543740736184
2024-05-28,75.46157240960599,6.959756751259653,7.042949005690126,4.886312037597935,2.4345107311423484,1.9380237215712544,0.0,1.2768753431326936
2024-05-29,75.43378437402002,6.957193884331517,7.040355503973279,4.884512697769075,2.4336142447762255,1.9373100620168369,0.0,1.3132292331130477
2024-06-03,75.4393408078867,6.955620292846996,7.038763102833791,4.883407909299036,2.433063805228923,1.93687187750349,0.0,1.312932204401069
2024-06-04,73.97307358825196,6.8171809836810775,6.89866898321358,4.786212319419873,2.3846379771688597,1.8983218714112613,1.9158537980270367,1.326050478826339
2024-06-06,73.9731445769072,6.817187525825225,6.898579638023936,4.786216912534092,2.384640265599433,1.8983236931459857,1.9158556365863684,1.3260517513777645
2024-06-11,73.97484834550826,6.817344541051772,6.896435302026936,4.7863271499201065,2.3846951892508828,1.8983674158283397,1.9158997630689782,1.3260822933447218
2024-06-13,73.97491933756984,6.81735108350984,6.896441920386696,4.786331743254725,2.384601509954678,1.8983692376504788,1.9159016017165322,1.3260835659572099
2024-06-19,73.97496661835844,6.817355440793881,6.896446328221345,4.786270887800454,2.384603034063672,1.8983704509859638,1.9159028262577606,1.3260844135184822
2024-07-02,73.96801003501047,6.816714338762956,6.895797788507436,4.785820788342772,2.3939746740332977,1.8980000110602198,1.9157226553390467,1.3259597089438027
2024-07-11,73.96808101394748,6.816720880011497,6.895804405643638,4.785825380766878,2.393976971266622,1.8979058733961767,1.915724493646683,1.3259609813210183
2024-07-16,73.96815199302073,6.81672742127259,6.895811022792538,4.785829973199796,2.393979268504356,1.8978117355514663,1.9157263319578475,1.3259622537006763
2024-07-18,73.96808101394748,6.816720880011497,6.895804405643638,4.785825380766878,2.393976971266622,1.8978099144309628,1.915724493646683,1.3260569402862319
2024-08-01,73.96644853285929,6.816570434471101,6.895652214723907,4.785719757242265,2.393924136015557,1.8977680296240054,1.9156822134636202,1.3282346816002542
2024-08-02,73.96637755705525,6.816563893511289,6.895645597879785,4.785715165020867,2.3939218388836316,1.8977662085873803,1.9156803752371259,1.3283293638246658
2024-08-07,73.94509096405412,6.814602172171677,6.893661117820464,4.784337896398261,2.393232898292732,1.8972200553454925,1.915129066523427,1.356725829393825
2024-08-08,73.94917479798741,6.824306376661764,6.87967172758468,4.784415920432188,2.3932719276608276,1.8972509956271304,1.9151602988691556,1.3567479551768349
2024-08-09,73.8449221268639,6.8235569468343025,6.869259955013007,4.777175131565461,2.3896499230071666,1.894379674631007,1.912261873732071,1.4887943683530696
2024-08-19,73.85340384910646,6.822417733941862,6.864644069734038,4.773965048891453,2.3880441678059166,1.8931067224774747,1.9109769054108396,1.493441502631959
2024-08-20,73.84916249270852,6.822025926610078,6.869992776999539,4.773690882960725,2.3879070238710156,1.8929980025012665,1.9108671591608137,1.4933557351880498
2024-08-21,73.84973818031247,6.821875745731214,6.869841540172807,4.77358579436975,2.387854456205729,1.892956329821221,1.9108250931070578,1.4933228602797486
2024-08-22,73.86975065964623,6.816630096864921,6.86455900823731,4.769915168306815,2.386018326893508,1.8915007500663887,1.909355773251795,1.4922702167330397
2024-08-23,73.87414832813258,6.81548287170952,6.863403716742382,4.769112401163454,2.3856167648009547,1.8911824142888711,1.9090344325097337,1.4920190706525038
2024-08-26,73.88446204710655,6.812792319229412,6.860694246519997,4.767229695647146,2.3846749933631934,1.890435831012105,1.9082808017804536,1.4914300653411448
2024-08-27,73.88488578923322,6.812257872006451,6.860733593969918,4.767257036660311,2.3846886699499223,1.890446673038658,1.908291746151473,1.4914386189900466
2024-08-29,73.88252804374628,6.8116263044327345,6.86009753218963,4.766815062058572,2.3844675843619063,1.890271408854453,1.912893717329604,1.4913003470268238
2024-09-03,73.90958392286855,6.80245238553498,6.8537433950324536,4.762399819189927,2.382258981057539,1.888520552727439,1.9111219073822996,1.4899190362068115
2024-09-04,73.91297171271135,6.80276418919933,6.854057549720201,4.762618113068453,2.3823681765414073,1.8886071167480551,1.9066258124612374,1.4899873295499688
2024-09-17,73.91367754135338,6.802829151893949,6.85412300223849,4.762663593478689,2.3814359813,1.8886251519178727,1.9066440196997898,1.490001558117825
