date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CENTRAL WEALTH SECURITIES INVESTMENT LTD,BANK OF CHINA (HONG KONG) LTD
2024-04-17,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-06-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-06-13,99.62943700429074,0.0,0.37056299570927054,0.0,0.0,0.0,0.0
2024-06-14,99.62889323502165,0.0,0.3711067649783566,0.0,0.0,0.0,0.0
2024-06-19,99.6294329891322,0.0,0.3705670108677986,0.0,0.0,0.0,0.0
2024-06-26,99.62942897388666,0.0,0.3705710261133384,0.0,0.0,0.0,0.0
2024-08-01,99.61539711602006,0.0,0.37051883470743097,0.0,0.0,0.0,0.014084049272504687
2024-08-12,99.61431372761449,0.0,0.3716022231130082,0.0,0.0,0.0,0.014084049272504687
2024-08-13,99.57762952694506,0.0,0.3725524172587073,0.0,0.0,0.0,0.04981805579622249
2024-08-15,99.57601191281982,0.0,0.37417084066603495,0.0,0.0,0.0,0.04981724651414647
2024-08-16,99.54528722690166,0.0,0.36918346577745054,0.0,0.0,0.0,0.08552930732087564
2024-08-19,99.54474836656148,0.0,0.36972278910644013,0.0,0.0,0.0,0.0855288443320901
2024-08-21,99.5431318205439,0.0,0.3697167850337779,0.0,0.0,0.0,0.08715139442231075
2024-08-22,99.53068924266127,0.0,0.3480586124207666,0.0,0.0,0.0,0.12125214491796533
2024-08-26,99.53015048175816,0.0,0.3485980296633106,0.0,0.0,0.0,0.12125148857854282
2024-08-28,99.52691803882087,0.0,0.35183441048791314,0.0,0.0,0.0,0.1212475506912193
2024-08-29,99.52584060449911,0.0,0.3529131573819473,0.0,0.0,0.0,0.12124623811895122
2024-09-05,99.52530189608603,0.0,0.35345252207048483,0.0,0.0,0.0,0.12124558184347413
2024-09-09,99.52422449675508,0.0,0.3545312339310748,0.0,0.0,0.0,0.12124426931383321
2024-09-10,99.52368580583702,0.0,0.3550705811033169,0.0,0.0,0.0,0.12124361305966917
2024-10-03,99.52153110047847,0.0,0.357227911407478,0.0,0.0,0.0,0.12124098811405312
2024-10-04,99.51883784997916,0.0,0.35992444292897313,0.0,0.0,0.0,0.12123770709186463
2024-10-08,99.51668335453144,0.0,0.3620815630665981,0.0,0.0,0.0,0.12123508240197006
2024-10-09,99.51722196964776,0.0,0.36154229178844366,0.0,0.0,0.0,0.12123573856378947
2024-10-10,99.51614474524534,0.0,0.3626208285074094,0.0,0.0,0.0,0.12123442624725328
2024-10-21,99.5150675441635,0.0,0.36099324558365087,0.0027060962937305163,0.0,0.0,0.12123311395912711
2024-10-22,99.51452895236756,0.0,0.3615325081588362,0.0027060816478954803,0.0,0.0,0.12123245782571751
2024-10-23,99.51560614178939,0.0,0.3604539771712481,0.002706110939724085,0.0,0.0,0.121233770099639
2024-10-25,99.51452895236756,0.0,0.3615325081588362,0.0027060816478954803,0.0,0.0,0.12123245782571751
2024-11-11,99.51399036640147,0.0,0.36207176489689885,0.002706067002218975,0.0,0.0,0.12123180169941007
2024-11-18,73.50205269448631,26.13897561151108,0.26742991457433074,0.001998728808477808,0.0,0.0,0.0895430506198058
2024-12-03,73.50234651700126,26.139080101375928,0.2670312362586845,0.001998736798343447,0.0,0.0,0.08954340856578642
2024-12-16,73.50205269448631,26.13897561151108,0.26742991457433074,0.001998728808477808,0.0,0.0,0.0895430506198058
2024-12-19,73.5011712410358,26.138662146928795,0.26862593039710264,0.001998704839264157,0.0,0.0,0.08954197679903422
2025-01-07,73.49970219893112,26.13813972266526,0.27061922635679364,0.001998664891852243,0.0,0.0,0.08954018715498048
2025-03-04,73.49270894558599,26.145037404888427,0.2706906409810437,0.0019991923263001747,0.0,0.0,0.08956381621824783
2025-03-10,73.38699036812244,26.14441019243764,0.37703862746744393,0.0019991443662112614,0.0,0.0,0.08956166760626452
2025-03-11,73.28984887083035,26.150265345869446,0.4683044658889587,0.001999592083215024,0.0,0.0,0.08958172532803307
2025-03-12,73.15609090872735,26.148856442434205,0.49229563332573495,0.11317600668658244,0.0,0.0,0.08958100882612886
2025-03-13,73.09089018469193,26.148425439333224,0.5403178716835041,0.1303801822123037,0.0,0.0,0.08998632207904399
2025-03-14,73.01323841139063,26.146862376514818,0.6195256569211695,0.1303843538775347,0.0,0.0,0.08998920129584449
2025-03-17,72.94462600653624,26.198143133152797,0.6368229256253225,0.13040469456900447,0.0,0.0,0.0900032401166442
2025-03-18,72.86141710866313,26.26058991528068,0.6415948672410621,0.14639882880936952,0.0,0.0,0.08999928000575995
2025-03-19,72.59501923984608,26.26058991528068,0.9079927360581115,0.14639882880936952,0.0,0.0,0.08999928000575995
2025-03-20,72.36393468865056,26.27421162157836,1.0052825356170962,0.14647030574675846,0.0,0.058027853369617424,0.15207299503761804
2025-03-21,72.09625266123481,26.273791039042116,1.0933072945846873,0.326551519905236,0.0,0.05802692449296473,0.15207056074018344
2025-03-24,71.88324135695505,26.269494123249682,1.0973135427380014,0.539852651040687,0.0,0.05802715670933997,0.1520711693072358
2025-03-25,71.3914096547768,26.149880888832232,1.2938898759491049,0.5373945328372359,0.4182833650697537,0.057762940890585035,0.15137874164429183
2025-03-26,71.21522950617235,26.149323411900145,1.300993072789487,0.5373667039782664,0.383605734567139,0.26211066806352795,0.1513709025290891
2025-03-27,71.1492601523247,26.148941481394928,1.367098288737107,0.477873615109251,0.3616915052952486,0.3437662654953739,0.15136869164338598
2025-03-28,71.14869332681833,26.14873316036721,1.3694774103944318,0.4778698080288501,0.360095281848914,0.34376352680930616,0.15136748573295059
