date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CCB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS
2024-03-01,42.922728562514145,17.92328209945142,25.82461376220037,5.96666585543956,0.0,2.305676705336253,1.1739910034199228,1.7200683082168367,1.6435388219370788,0.5194348814844107
2024-03-04,43.01965018003257,18.139104922499154,25.86803465953242,5.607311620863345,0.0,2.295542411872173,1.1733897885394913,1.7436007290032352,1.6406991958875818,0.5126664917700278
2024-03-05,42.85765579700231,18.176152115193347,25.97794141904228,5.659999012855228,0.0,2.297289684250753,1.1715412383619923,1.7403175070383872,1.5955628239729556,0.5235404022827493
2024-03-06,42.758460290542814,18.33626241074455,26.12667817025694,5.715870289650734,0.0,2.292659418677415,1.1745732731247758,1.4788725665503886,1.6034172766409516,0.5132063038114321
2024-03-07,40.972376535866175,17.345161851758686,25.21417518150391,5.33675945647766,4.409786590994924,2.186851644737955,1.1241475075075735,1.414170774868603,1.5109675815769195,0.4856028747075924
2024-03-08,40.899271356018765,17.46054614553986,25.312037191594428,5.316523322711782,4.397781226718587,2.167641596453245,1.1199442869315184,1.3919216999225665,1.4528436121408579,0.48148956196839615
2024-03-11,40.79305033533712,17.42518731022702,25.458659019176622,5.24392612277288,4.390440086162699,2.1726939736546704,1.1543551690195333,1.3861512670949563,1.4979651058911427,0.4775716106633533
2024-03-12,41.01325766986163,17.18055110978725,25.496820629569484,5.531753563256195,4.384367946553183,2.1506625020789896,1.1861975411040984,1.438689141192157,1.128401585474835,0.4892983111221841
2024-03-13,41.397687884253315,17.045258679929372,25.073188823740743,5.717803163615549,4.386205488428809,2.126203493518838,1.1926216105547935,1.441799656219512,1.1271078343168273,0.4921233654222386
2024-03-14,41.36548467413122,17.10607312349558,24.916993307831206,5.799664501446947,4.3915111031939205,2.0666907720010057,1.1977730277171024,1.4455407261658746,1.225964001305956,0.48430476271118944
2024-03-15,41.345291172777415,17.05292785959776,24.817162109834022,5.965156221919954,4.39446510858895,2.0637415910723247,1.1951529091533022,1.4519372956037548,1.2281346359176537,0.48603109553486723
2024-03-18,41.47140637667143,16.987345306078556,24.790293160313386,5.582915440032669,4.390293170238818,2.0619534813189064,1.1934478491228033,1.4854547672060565,1.5737699365625055,0.46312051245486974
2024-03-19,41.37305126568175,16.888319139930083,24.737981632127855,5.603981211489909,4.371463039861468,2.052484907586333,1.1898058566753462,1.6295332919079488,1.663681793477952,0.48969786126135273
