date,THE HONGKONG AND SHANGHAI BANKING,INNOVAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.
2024-03-01,95.83144715909826,0.0,1.7046703829688166,0.0,2.4638824579329253,0.0,0.0
2024-03-05,95.83796787294033,0.0,1.6981815359942056,0.0,2.4638505910654698,0.0,0.0
2024-03-07,95.83554273741933,0.0,1.7007022671719199,0.0,2.4637549954087503,0.0,0.0
2024-03-11,92.97570544741211,0.0,1.7353251848498568,1.6498164076253712,2.3955032443036064,1.2436497158090638,0.0
2024-03-12,92.97506632633817,0.0,1.7238561064239104,1.6622449107895034,2.3952924017049955,1.2435402547434333,0.0
2024-03-13,81.19016249451032,12.665788317962232,1.4953886693017127,1.471234079929732,2.0915678524374175,1.0858585858585859,0.0
2024-03-14,81.18860780332547,12.660923009383746,1.5035943587773692,1.4706689348625364,2.090764418591889,1.0854414750589914,0.0
2024-03-15,81.20732430236897,12.641886403056185,1.5028432168968318,1.4710079697894483,2.0912464048126114,1.0856917030759436,0.0
2024-03-18,81.2165129556434,12.643829600351339,1.4986824769433467,1.46354852876592,2.0915678524374175,1.0858585858585859,0.0
2024-03-19,81.22097682537243,12.642302752192863,1.4963058919102874,1.4633717930421226,2.091315278128465,1.085727459353833,0.0
2024-03-20,81.2241358492223,12.6409150283751,1.4950439621958047,1.4632111612386252,2.091085718049198,1.08560828091898,0.0
2024-03-21,81.22454803903274,12.640637520169479,1.4950111412357443,1.4631790391095794,2.0910398120808313,1.0855844483716233,0.0
2024-03-22,81.22001295550115,12.643690780733632,1.4953722510732206,1.4635324601179172,2.091544888615628,1.0858466639584545,0.0
2024-03-25,81.21109659571198,12.642302752192863,1.4952080886146821,1.4633717930421226,2.10229331108452,1.085727459353833,0.0
2024-03-26,81.22317243196365,12.642302752192863,1.4831322523630217,1.4633717930421226,2.10229331108452,1.085727459353833,0.0
2024-03-27,81.22358468817582,12.642025183054681,1.4830996893284885,1.4633396638600111,2.102247154007443,1.0857036215735567,0.0
2024-04-02,81.22626391236581,12.64022128070599,1.482888064452396,1.4631308585603582,2.101947182402915,1.0855487015125238,0.0
2024-04-03,81.22845915746493,12.64022128070599,1.482888064452396,1.460935613461243,2.101947182402915,1.0855487015125238,0.0
