date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,SUNCORP SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BLACK MARBLE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,77.12004464381533,0.0,0.0,22.87995535618467,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,42.37356095466993,28.257295762290113,0.0,12.571377355953949,0.0,0.0,16.79776592708601,0.0
2024-03-25,0.0,0.0,42.498858606814295,28.045154224101022,0.0,12.608550631728601,0.0,0.0,16.847436537356085,0.0
2024-03-26,0.0,0.0,42.38605746318307,27.970716331567004,0.0,12.575084816941684,0.0,0.0,17.068141388308238,0.0
2024-03-28,0.0,0.0,42.38905772207332,27.972696213522596,0.0,12.568896523085055,0.0,0.0,17.06934954131904,0.0
2024-04-03,0.0,0.0,42.40656770109218,27.98425111353975,0.0,12.633099570635126,0.0,0.0,16.97608161473295,0.0
2024-04-11,0.0,0.0,42.20731165819725,27.852761312724805,0.0,12.573740335346727,0.0,0.0,17.36618669373122,0.0
2024-04-29,0.0,0.0,41.77061560245432,27.564583967877166,0.0,12.211142085891852,1.2671501212511538,0.0,17.18650822252551,0.0
2024-05-08,0.0,0.0,41.77061560245432,27.564583967877166,0.0,12.153015933540882,1.3252762736021242,0.0,17.18650822252551,0.0
2024-05-10,0.0,0.0,36.123247925459296,23.83786511815884,0.0,10.50993386804574,1.1460995417612534,0.0,14.862900355692998,13.519953190881873
2024-05-14,0.0,0.0,35.996585779289866,23.95464536385294,0.0,10.623355754184123,1.1420808713475954,0.0,14.810785250726823,13.47254698059865
2024-05-21,0.0,0.0,35.9246054202352,23.906744599461298,0.0,10.602112823917341,1.1397971161133318,0.0,14.98113335826223,13.445606682010602
2024-05-27,0.0,0.0,35.72813564580313,23.775999872722682,0.0,11.091025159146367,1.1335636257330874,0.0,14.899202329174946,13.372073367419791
2024-05-28,0.0,0.0,35.54259057024833,23.65252520456452,0.0,9.203424971907,3.4770033078517955,0.0,14.82182707373819,13.30262887169017
2024-05-29,0.0,0.0,30.382334935415024,20.218530256344344,0.0,7.888363881119,2.9721941303605193,14.499064794677615,12.668227033352839,11.371284968730658
2024-05-31,0.0,0.0,30.375913661425773,20.214257091602008,0.0,7.907831576882823,2.971565960310362,14.49600043284261,12.665549617120279,11.368881659816143
2024-06-03,0.0,0.0,30.36307925278313,20.205716178600582,0.0,7.946742291981092,2.9703104164518863,14.489875593428305,12.660198178434957,11.364078088320047
2024-06-04,0.0,0.0,30.323361419428014,20.17928515487861,0.0,8.168428799049392,2.966424964217235,14.369649463933673,12.643637419319992,11.349212779173081
2024-06-05,0.0,0.0,30.304180392990336,20.16652075858707,0.0,8.226516811478326,2.9645485536545335,14.36055994966593,12.635639693070125,11.342033840553675
2024-06-07,0.0,0.0,30.256715995614456,20.134934629460275,0.0,8.20184280418816,2.959905283030943,14.5064831609599,12.615848924413367,11.324269202332895
2024-06-11,0.0,0.0,29.814842781490587,20.255771538197283,0.0,9.413859657566187,2.916678421890273,14.024949839769388,12.415009733325146,11.158888027761137
2024-06-12,0.0,0.0,29.895464469235073,20.227342314758115,0.0,9.54331851220746,2.8829641364253575,13.896469554567481,12.365378471205304,11.189062541601213
2024-06-13,0.0,0.0,30.07060075923434,20.34583994483165,0.0,9.013397071524695,2.899853375379115,13.977879098292057,12.437818439887254,11.25461131085089
2024-06-14,0.0,0.0,30.138702956245154,20.391918053192953,0.0,10.401044130623694,2.906420799404121,14.009535408844915,10.872278533251468,11.280100118437696
2024-06-17,0.0,0.0,30.14401272506707,20.395510655398002,0.0,10.318982397326124,2.990827011907938,13.99438580242253,10.87419398680177,11.282087421076563
2024-06-18,0.0,0.0,30.270990700754353,20.481424255546436,0.0,11.626163248181516,3.0034255057802253,14.053335445138831,9.235049006805518,11.329611837793118
2024-06-21,0.0,0.0,30.301624756067326,20.502151330181533,0.0,11.637928853461608,3.006464953810916,14.067557333666167,9.143195437931888,11.34107733488056
2024-06-24,0.0,0.0,30.488032528713788,20.628275272203968,0.0,10.839793369355672,3.279514784544788,14.154097314616198,9.199442015802765,11.410844714762822
2024-06-26,0.0,0.0,30.206098553375792,20.605651989696756,0.0,11.159888628094505,3.2491879131890973,14.023209205668131,9.450639245145974,11.305324464829749
2024-06-27,0.0,0.0,30.231513266830905,20.370576040278397,0.0,11.337553679845994,3.251921704831523,14.035008009908054,9.458590794663651,11.314836503641478
