date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,BOCI SECURITIES LTD,REALINK FINANCIAL TRADE LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-04,0.0,53.392168439549756,26.398574792596335,0.0,2.2969629479862355,9.367189935916384,8.545103883951292,0.0,0.0
2024-03-05,0.0,45.49215613800238,22.495611139887767,0.0,1.9365786981294684,7.982274191974306,7.281731518976714,8.640026300303633,6.171622012725731
2024-03-06,32.56538183960716,30.834616581520486,15.25000065786348,0.0,1.4172554959210082,5.411263820390796,4.936358908599722,5.401318167787842,4.183804528309502
2024-03-07,32.55863565461868,29.821440220376523,15.246841495596655,0.0,2.444466435435334,5.410142832866879,4.935336301509439,5.400199240587142,4.182937819009344
2024-03-08,32.55593796317377,27.633217405487205,15.245578197149479,0.0,4.638301453676238,5.409694567890703,4.93492737729469,5.399751799501258,4.182591235826661
2024-03-11,32.541647658606216,25.80401636995941,15.238886208855604,0.0,6.513795653948332,5.407320003131425,4.932761209779564,5.380817592333416,4.180755303386037
2024-03-12,32.55458928508512,25.814278479150037,15.244946626426911,0.0,6.68789180263685,5.40947046325768,4.934722940597755,5.3788148640632345,3.975285538782409
2024-03-13,29.58473567084896,23.45932239081363,13.85419770802252,9.112899720662856,6.08304691756054,4.9197460774032145,4.4845435624446806,4.888122365243597,3.613385587000004
2024-03-14,29.547753544986673,23.465894849044854,13.840754187208951,9.104056952597277,6.153870108997632,4.914972166262134,4.480191953207419,4.882626925498549,3.609879312196508
2024-03-18,29.547753544986673,23.465894849044854,13.840754187208951,9.104056952597277,6.15462232389911,4.914972166262134,4.480191953207419,4.881122495695591,3.610631527097987
2024-03-19,29.536200408544882,23.45671971210908,13.83534246880746,9.100497277172645,6.152967794687578,4.913050417999345,4.4784402034900666,4.879213982613674,3.647567734575271
2024-03-20,29.53597832138443,23.456543337483968,13.835238438773798,9.100428849156481,6.153673444724171,4.913013476029782,4.478406529420475,4.879177295065389,3.6475403079615045
2024-03-21,29.545308858611524,23.432362944198566,13.839609047591765,9.103303712119736,6.155617415515815,4.914565517226336,4.479821276492204,4.880718647272987,3.6486925809710677
2024-03-22,29.558870856551266,23.443118954890252,13.845961756588258,9.107482344564547,6.196067886073244,4.916821419431939,4.481877620773894,4.837056639747245,3.61274252137936
2024-03-25,29.581002491440923,23.455297498095803,13.853154640939502,9.11221362061363,6.204556923694697,4.919375675211886,4.484205926164982,4.77557390692822,3.614619316910356
2024-03-26,29.580779781051408,23.455120907108277,13.853050342869583,9.11214501629079,6.204510210629795,4.919338638060319,4.484172165333219,4.7755379524359665,3.615344986220638
2024-03-27,29.542109165136164,23.45370827492802,13.852216014844307,9.111596218894599,6.312545178503777,4.919042360923516,4.483902096978951,4.709753445047063,3.6151272447436065
2024-03-28,29.516110776842318,23.430811428092614,13.84002544007285,9.10357760332618,6.456672737912247,4.914713381817174,4.479956060927929,4.645434625972278,3.6126979450364076
2024-04-02,29.51566675773492,23.430458951844827,13.839817240700352,9.103440655662846,6.45807993633985,4.914639448409571,4.479888667696266,4.645364743400292,3.612643598211076
2024-04-03,29.47575966923843,23.829186692011117,13.82110491358495,9.09113221571297,6.4418367249404636,4.907994538335004,4.473831568766955,4.350643459754567,3.6085102176555486
2024-04-08,29.39340586156167,24.06147941578649,13.782489433315531,9.065732044098798,6.405112344797886,4.894281845504548,4.460582857358369,4.338487978139324,3.5984282194373813
2024-04-09,29.390764049203334,24.05931682483055,13.781250694562864,9.064917236755127,6.405285648907697,4.8938419586018345,4.46018195033271,4.346336835899364,3.5981048009065217
2024-04-10,29.395167333662396,24.06441954554274,13.78331538287475,9.066275330376799,6.404747093672778,4.894575147375197,4.4608501687510405,4.332006133650255,3.5986438640940386
2024-04-11,29.50326677626301,24.02144249006166,13.7582712492901,9.049802007073808,6.405073452251031,4.885681757764212,4.452744852691442,4.33161224712704,3.592105167477697
