date,CITIBANK N.A.,HUNG SING SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,SILVERBRICKS SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,FOUNDER SECURITIES (HONG KONG) LTD,SUNHIGH FINANCIAL HOLDINGS LTD
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,96.70188823962779,0.43598050198310573,0.0,0.0,0.0,2.8621312583890925,0.0,0.0
2024-03-19,96.69868977987898,0.43640330939176286,0.0,0.0,0.0,2.864906910729258,0.0,0.0
2024-04-12,96.71041331999717,0.4364562179856333,0.0,0.0,0.0,2.853130462017196,0.0,0.0
2024-04-16,96.705753801637,0.4370744341808395,0.0,0.0,0.0,2.8571717641821546,0.0,0.0
2024-04-17,85.2970310282976,0.392650300288241,0.0,0.0,0.0,2.5201010182136194,11.790217653200546,0.0
2024-04-26,84.01054713249835,0.3867281916062404,1.5082399472643375,0.0,0.0,2.4820918479455063,11.612392880685563,0.0
2024-05-09,84.00759366842739,0.39023018307420526,1.50818692377328,0.0,0.0,2.4820045878413413,11.611984636883783,0.0
2024-05-10,70.72044842963062,0.3285090351082933,1.2696430275807011,15.813640671786178,0.0,2.09239538577985,9.77536345011435,0.0
2024-05-21,70.74976258344738,0.32864520455573315,1.2316793251818468,15.8172347762881,0.0,2.093262699287417,9.779415411239519,0.0
2024-05-27,70.74766790941207,0.33159615437281326,1.2316428590990207,15.816766478589471,0.0,2.093200724478384,9.779125874048233,0.0
2024-05-28,70.74347893341898,0.33157652053369013,1.2315699334108492,15.815829966376068,0.0,2.0989977951641636,9.77854685109624,0.0
2024-06-05,70.75604734984059,0.3316354290274273,1.231788736387587,15.818639835781243,0.0,2.0816045232703697,9.780284125692788,0.0
2024-06-06,70.81895647934586,0.3319302857490029,1.2417749082931449,15.832704172319238,0.0,1.9856543879627855,9.78897976632997,0.0
2024-06-11,70.8231543989668,0.33194996150714173,1.2448123556517814,15.833642684022909,0.0,1.9768805743327102,9.789560025518654,0.0
2024-07-02,70.81895647934586,0.3378576122802351,1.244738571558761,15.832704172319238,0.0,1.9767633981659372,9.78897976632997,0.0
2024-07-03,70.93458089576032,0.33840922432301457,1.0983457280659243,15.858553849738882,0.0,1.965148302647681,9.804961999464187,0.0
2024-07-29,70.93668665269945,0.33841927030571284,1.0954097433579653,15.859024625196946,0.0,1.9652066398454553,9.80525306859447,0.0
2024-07-31,33.188541666666666,0.15833333333333333,0.5125000000000001,7.41982638888889,0.0,0.9208333333333334,4.5875,0.0
2024-08-02,70.93247526383634,0.3413675927870512,1.0953447107688858,15.858083102229948,0.0,1.9680583827636082,9.804670947614175,0.0
2024-08-05,70.9240539860694,0.34726318765345804,1.101150791619085,15.856200391635705,0.0,1.9678247300362623,9.803506912986085,0.0
2024-08-06,70.91984409698753,0.3531783454188094,1.1010854298351116,15.855259203968656,0.0,1.967707924476224,9.802924999313676,0.0
2024-08-07,70.92615911804405,0.3532097940030023,1.1011834754211247,15.856671027373018,0.0,1.967883138016727,9.79489344714208,0.0
2024-08-09,70.93668665269945,0.3532622207577178,1.098378333448366,15.859024625196946,0.0,1.9681752299358561,9.784472937961661,0.0
2024-08-13,70.93668665269945,0.3532622207577178,1.098378333448366,15.859024625196946,0.0,1.977081000207059,9.77556716769046,0.0
2024-08-15,70.94300467371917,0.35329368428162256,1.0984761612117677,15.860437119290799,0.0,1.977257090181182,9.767531271315448,0.0
2024-08-16,70.92826437498934,0.35322027810902484,1.095279685901094,15.88088759209885,0.0,1.9768462623580718,9.765501806543627,0.0
2024-08-19,70.92826437498934,0.35322027810902484,1.1041843987945987,15.88088759209885,0.0,1.9768462623580718,9.756597093650123,0.0
2024-08-23,70.92615911804405,0.3532097940030023,1.1160242230683097,15.880416223608512,0.0,1.9767875866050382,9.74740305467109,0.0
2024-08-26,70.87356828095838,0.3529478934720211,1.11816265410884,15.94872171319128,0.0,1.9753218239694625,9.73127763430001,0.0
2024-08-28,70.87987506312471,0.3529793010268287,1.1182621553539025,15.950140932176806,0.0,1.975497600704772,9.723244947612978,0.0
2024-08-30,70.88828585223096,0.3530211864626758,1.1154282866383707,15.95203361710996,0.0,1.9757320183541351,9.715499039203893,0.0
2024-09-03,70.89459525411257,0.35305260706357394,1.1155275651756622,15.953453425611594,0.0,1.9759078681036997,9.70746327993289,0.0
2024-09-05,70.90300953726074,0.3530945098996277,1.112692783297146,15.955346896811095,0.0,1.9761423831357312,9.699713889595655,0.0
2024-09-10,70.90300953726074,0.3530945098996277,1.1215943255635232,15.955346896811095,0.0,1.9761423831357312,9.690812347329278,0.0
2024-09-11,70.91142581798191,0.35313642268352524,1.1187599273251176,15.957240817525657,0.0,1.9763769538422504,9.683060060641537,0.0
2024-09-13,70.91353020036635,0.35314690243426533,1.1247283699377022,15.957714367959783,0.0,1.9764356052203422,9.674444554081555,0.0
2024-09-17,70.91984409698753,0.3531783454188094,1.1248285118800736,15.959135187915367,0.0,1.9766115802430844,9.666402277555145,0.0
2024-09-20,70.92826437498934,0.35322027810902484,1.1219938245816083,15.961030008140392,0.0,1.9768462623580718,9.658645251821572,0.0
2024-09-23,70.93036975691639,0.3502624370993224,1.1220271290130837,15.961503783502193,0.0,1.9769049415944806,9.658931951874534,0.0
2024-09-24,70.93879253466488,0.3503040297580305,1.1191916882947244,15.963399166246722,0.0,1.9771396933800705,9.651172887655568,0.0
2024-09-26,70.9472173130123,0.35034563229592924,1.1163555740955033,15.965294999187227,0.0,1.9773745009244819,9.64341198048456,0.0
2024-09-30,33.188541666666666,0.1638888888888889,0.5222222222222221,7.468437499999999,0.0,0.9249999999999999,4.509722222222222,0.0
2024-10-03,70.94511093083031,0.35033523073508793,1.1192913727722724,15.964820998737459,0.0,1.989191564343296,9.631249902581569,0.0
2024-10-04,70.96407287435565,0.35042886702338144,1.158197102873888,15.89781434842875,0.0,1.9956627003365455,9.633824106981775,0.0
2024-10-07,70.96618038267671,0.35043927414522885,1.158231499293553,15.898286485591525,0.0,2.0016616167278327,9.625200741565141,0.0
2024-10-08,70.27862479512883,0.347058568339288,1.0117639619382632,16.515502562130468,0.0,2.3147041803645734,9.532345932098579,0.0
2024-10-09,70.3572593212566,0.3474468910496356,1.1453969543924427,16.51337044831691,0.0,2.102348137368134,9.534178247616271,0.0
2024-10-10,70.33861945584509,0.34735484136848976,1.1362624471884495,16.544319754849905,0.0,2.1017911587889975,9.531652341959067,0.0
2024-10-14,70.33240836197653,0.34732416897909507,1.1332186869233187,16.542858845838843,0.0,2.113379265482968,9.530810670799235,0.0
2024-10-15,70.35933102725845,0.3474571218035969,1.1012624030046207,16.54919131563314,0.0,2.117132801498188,9.525625330801999,0.0
2024-10-17,70.324128609594,0.33256788762737094,1.1007114156870506,16.614488334739878,0.0,2.1160735504785815,9.512030201873124,0.0
2024-10-21,70.36347480529844,0.27680417797625223,1.1013272613097698,16.623784104520077,0.0,2.117257488988568,9.517352161906887,0.0
2024-10-23,70.36969138761089,0.27682863350465786,1.1043695485558158,16.62525280859582,0.0,2.117444547764351,9.506413073968464,0.0
2024-10-24,70.32205897608893,0.27664125147793384,1.156595870540723,16.613999371671202,0.0,2.1307262347874905,9.499978295433726,0.0
2024-10-25,70.31792007451217,0.2766249693762916,1.1712418916145113,16.613021531869624,0.0,2.130600827962076,9.490590704665324,0.0
