date,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,MERRILL LYNCH FAR EAST LTD,CELESTIAL SECURITIES LTD,BOCI SECURITIES LTD,TSUN CHI YUEN SECURITIES CO LTD
2024-04-15,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-30,87.94142980189493,12.058570198105082,0.0,0.0,0.0,0.0
2024-06-06,94.88847583643123,5.111524163568773,0.0,0.0,0.0,0.0
2024-06-07,88.32179930795849,11.678200692041523,0.0,0.0,0.0,0.0
2024-08-01,71.59887798036466,28.401122019635345,0.0,0.0,0.0,0.0
2024-08-02,79.08597986057319,20.9140201394268,0.0,0.0,0.0,0.0
2024-09-10,79.02476780185759,20.897832817337463,0.07739938080495357,0.0,0.0,0.0
2024-09-11,78.96365042536736,20.959010054137664,0.07733952049497293,0.0,0.0,0.0
2024-09-23,75.62962962962962,24.296296296296298,0.07407407407407407,0.0,0.0,0.0
2024-12-06,75.62962962962962,24.296296296296298,0.07407407407407407,0.0,0.0,0.0
