date,KINGSTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,GOLDEN RICH SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCOM INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-04,0.0,0.0,0.0,1.697495520497932,0.0,36.828916701469815,44.9445619518504,16.529025826181847
2024-03-05,0.0,0.0,0.0,3.40984136824939,0.0,36.84380770111999,45.00316724395865,14.743183686671967
2024-03-06,0.0,0.0,0.0,6.161959987622264,0.0,36.846637157425974,44.884093263551605,12.107309591400165
2024-03-08,0.0,73.98382663606668,0.0,2.6899928471834165,0.0,9.555231401532065,11.688385262450279,2.0825638527675503
2024-03-11,0.0,73.97350299435796,0.0,2.7035714047438693,0.0,9.553898072480045,11.686754274880565,2.082273253537569
2024-03-12,0.0,73.53739574207032,0.0,2.687632628709751,0.0,9.497573522899867,12.207400795253156,2.069997311066904
2024-03-13,0.0,73.5017100863269,0.0,2.772984149925894,0.0,9.492964614252559,12.187611961943045,2.044729187551606
2024-03-14,0.0,73.49661496261778,0.0,2.772791927224263,0.0,9.492306563861362,12.193699098959602,2.0445874473369914
2024-03-15,0.0,73.49406766564876,0.0,2.7726958258667307,0.0,9.491977572876518,12.196742351009515,2.0445165845984805
2024-03-18,0.0,73.49661496261778,0.0,2.772791927224263,0.0,9.492306563861362,12.193699098959602,2.0445874473369914
2024-03-19,0.0,73.5017100863269,0.0,2.772984149925894,0.0,9.492964614252559,12.19454442231786,2.0377967271767914
2024-03-22,0.0,62.016761376375484,0.0,17.965110822193044,0.0,8.00964930673081,10.289096003947005,1.7193824907536581
2024-03-28,0.0,62.02149988513595,0.0,17.965636248292732,0.0,8.009883565168554,10.28354752382121,1.7194327775815506
2024-04-03,0.0,62.01787220824292,0.0,17.964585426825867,0.0,8.009415061994991,10.28879509606915,1.719332206867074
2024-04-17,0.0,61.97437316318906,0.0,17.95198515075977,0.0,8.003797295789356,10.281578583385013,1.7882658068768056
2024-04-19,0.0,61.97437316318906,0.0,17.95198515075977,0.0,8.003797295789356,10.246508817602171,1.8233355726596487
2024-04-22,0.0,62.003365743380634,0.0,17.960383369935155,0.0,8.007541597233509,10.216216122574068,1.812493166876639
2024-04-25,0.0,62.026942196286086,0.0,17.967212711013794,0.0,8.010586422705353,10.217175825447137,1.7780828445476264
2024-05-08,0.0,62.0196859936416,0.0,17.965110822193044,0.0,8.00964930673081,10.227679041358424,1.777874836076116
2024-05-09,0.0,62.05235228220146,0.0,17.97457319667504,0.0,8.013868056170201,10.180395207296069,1.7788112576572332
2024-05-10,0.0,62.0505365856556,0.0,17.974047247709915,0.0,8.013633564615677,10.183023393660868,1.7787592083579329
2024-05-13,0.0,61.96531854148943,0.0,17.94936231770797,0.0,8.008472026593784,10.30053079174873,1.7763163224600875
2024-05-14,0.0,61.95807674888951,0.0,17.947264603014244,0.0,8.50130541727113,9.8172445037539,1.7761087270712166
2024-05-20,0.0,61.9092388879612,0.0,17.93311784348396,0.0,8.494604344651325,9.888330197535314,1.7747087263681964
2024-05-21,0.0,61.84424137957709,0.0,17.914290153169517,0.0,8.558594595768227,9.910028383098785,1.7728454883863782
2024-05-22,0.0,61.84424137957709,0.0,17.914290153169517,0.0,8.56151093972017,9.907112039146842,1.7728454883863782
2024-05-31,0.0,61.84604502297063,0.0,17.914812610723594,0.0,8.57050991712362,9.895735257015739,1.772897192166416
