date,VALUABLE CAPITAL LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-03-04,13.062635003591513,0.0,23.62991158672571,17.405331765943323,12.819119832422729,13.788594587673886,10.110717993288521,9.183689230354315
2024-03-05,13.04358280678847,0.0,23.59886636898564,17.32575323477073,12.802277942643622,13.770478992118953,10.098379616502031,9.360661038190552
2024-03-06,13.037544576120705,0.0,23.58794180931945,17.365914900432085,12.796351418586882,13.764104261357346,10.091815301602997,9.356327732580537
2024-03-07,13.036312970965147,0.0,23.585713549958818,17.364274411289554,12.829150370960566,13.74768945522495,10.081415364213047,9.355443877387922
2024-03-08,13.035450985797478,0.0,23.58415401887866,17.363126253292492,12.828302083767849,13.754337215706261,10.07980416445253,9.354825278104736
2024-03-11,13.0083489383265,0.0,23.52659600050326,17.320750888073057,12.796994128160383,13.720769236393993,10.294546334749512,9.331994473793298
2024-03-12,13.046908656113443,0.0,23.579253977857483,17.359518745012615,12.825636768472156,13.744868688129417,10.09093152302368,9.352881641391205
2024-03-14,13.047278312244497,0.0,23.57992204536898,17.360010589686738,12.826000155339583,13.74525811945871,10.088384142699654,9.353146635201838
2024-03-15,13.046908656113443,0.0,23.58208718277738,17.359518745012615,12.825636768472156,13.744868688129417,10.088098318103786,9.352881641391205
2024-03-26,13.047647989322972,0.0,23.58342351620806,17.360502462232372,12.826363562799164,13.745647572856026,10.088669983492435,9.347744913088968
2024-03-27,13.047647989322972,0.0,23.58342351620806,17.371835924112347,12.826363562799164,13.734314110976051,10.088669983492435,9.347744913088968
2024-04-03,13.048017687350644,0.0,23.584091739719824,17.416718795771953,12.826726990852656,13.687479169451313,10.088955840483502,9.348009776370105
2024-04-09,13.047524761302547,0.0,23.583200783452156,17.372616302698493,12.826242424691179,13.686962085923604,10.135797013268109,9.347656628663913
