date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,18.347039741026343,13.1397643300827,43.458162557022604,17.23805344989781,0.533095879501947,0.1330256408307196,3.293792723621264,2.8261229789414313,0.1677865923396654,0.8631561067355217
2024-03-04,18.348014206756105,13.128971091132549,43.137349539258615,17.552823133067125,0.5617184386216645,0.14575827871874578,3.3730406050957713,2.764764945991507,0.17472155696718505,0.8128382043907325
2024-03-05,18.35751026944502,13.105075168138303,43.15466255029205,17.53734911304675,0.582689984074388,0.13058147160174574,3.3736477698769614,2.7814334671454493,0.16244942191461978,0.8146007844647154
2024-03-06,18.31655624415965,13.099529408882582,43.15303830931386,17.603426832763407,0.5875364408427282,0.13115813665804846,3.3697120609020104,2.778767153171013,0.143147539854031,0.8171278734526768
2024-03-07,18.268813959169098,13.24636125328966,43.16164546170871,17.46969858210297,0.5699274585022532,0.1683653200763933,3.3720156307433706,2.7737178631245287,0.14686512638006952,0.8225893449029492
2024-03-08,18.23013851351508,13.211477639343205,43.29535978431203,17.379451641390613,0.5615787757868324,0.13037331245778566,3.450308507003266,2.775855888889877,0.14327667027536414,0.8221792670259462
2024-03-11,18.162219614124755,13.147176635459548,43.483696700509924,17.273673992437416,0.5610954188737471,0.1433008119595924,3.45154910966013,2.77226373107515,0.15869143778481834,0.8463325481149229
2024-03-12,18.079887821786304,13.17365719150803,43.57115152854774,17.26430854084921,0.5814330823825774,0.13045980238675883,3.44817990866354,2.8017930715519737,0.15712633425151573,0.7920027180723509
2024-03-13,19.326906366444174,13.588146948301747,42.54893618411408,16.584815469412355,0.5612788711176595,0.13940155205682087,3.431902681323872,2.793430793929367,0.17216472086099802,0.8530164124389253
2024-03-14,19.250705316060802,13.542791550100148,42.54825385567824,16.686340374099725,0.5810994695131099,0.13969758222439219,3.4437155191079443,2.7896008936426497,0.17372566951515483,0.8440697700578323
2024-03-15,19.293087334270485,13.595164258638995,42.51608419424488,16.611194619627952,0.5834693154867199,0.13971884222373493,3.440453774075626,2.7988922436539063,0.17195882025886788,0.849976597518837
2024-03-18,19.397622493735522,13.617691940930507,42.596496639525185,16.54559155800245,0.5866085249788454,0.1294687306447072,3.457198796245432,2.784593596880036,0.174166059844368,0.7105616592129562
2024-03-19,19.45740896688974,13.586498982156616,42.91646971068584,16.168950053521666,0.5805207378740813,0.13544431960560804,3.4342186669189165,2.7667642547444418,0.24139006892164439,0.7123342386814411
2024-03-20,19.2918453347735,13.24560012223211,43.484298097561556,16.060712806210987,0.5989947553434475,0.14485638459171696,3.4287249595852045,2.779044792314174,0.1710209820852907,0.7949017653020125
2024-03-21,19.169104035241176,13.286656671389837,43.36934192203602,16.235963875571343,0.5798628488384371,0.1285907892272529,3.501924353949549,2.767393292581711,0.17437046515652058,0.7867917460081454
