date,HUATAI FINANCIAL HOLDINGS (HONG KONG),BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,ICBC (ASIA) SECURITIES LTD,QUAM SECURITIES LTD,RUISEN PORT SECURITIES LTD,EFG BANK AG
2024-03-01,50.276350711376324,11.46877206839655,8.693818673503198,16.379494422448097,2.5877966578197844,0.0,5.41656765521927,5.177199811236767,0.0,0.0
2024-03-04,50.197869122324626,11.525266493382196,8.727228007654103,16.376719282498023,2.5919150696669075,0.0,5.411608544631,5.169393479843149,0.0,0.0
2024-03-05,50.090202326653134,11.778523109469278,8.88778030247958,16.09883107121682,2.581553907644822,0.0,5.413340073775832,5.149769208760531,0.0,0.0
2024-03-06,50.156873597556704,11.902254912094104,8.914288000586817,15.871473678244083,2.5859970725819625,0.0,5.420057814839143,5.149054924097185,0.0,0.0
2024-03-07,50.19551368595801,11.937902319829055,8.955293537214272,15.74583554182126,2.586581060674247,0.0,5.428113301264422,5.150760553238727,0.0,0.0
2024-03-08,50.22434202673968,11.96917555888803,8.946209256534058,15.644730779566038,2.6316930038227158,0.0,5.435151518384444,5.148697856065036,0.0,0.0
2024-03-11,50.238251960868666,11.979221894771662,8.965342926100877,15.594049336329071,2.6321423069458865,0.0,5.441414693126806,5.149576881857039,0.0,0.0
2024-03-12,50.22142113626619,11.981080679180412,8.980875962153355,15.591768908484822,2.631847434468879,0.0,5.444005892116127,5.148999987330217,0.0,0.0
2024-03-13,50.25859486892812,11.99095701781713,8.994418513431391,15.51229001049322,2.632844650291549,0.0,5.459943978338469,5.150950960700118,0.0,0.0
2024-03-14,49.05627219870776,11.671386553172434,8.824224310355264,17.572622358528697,2.5199052074092347,0.0,5.329837731798931,5.025751640027675,0.0,0.0
2024-03-15,47.02444490055905,11.222082823063788,8.502031616228225,16.734740731082386,2.4153555624735246,0.0,5.118687188496429,4.817235641904011,0.0,4.165421536192589
2024-03-18,47.018543369449326,11.226714729822552,8.502137699943415,16.734949538053428,2.415635249059356,0.0,5.119250154876408,4.817295748743988,0.0,4.165473510051525
2024-03-19,46.98384269372834,11.236090990784804,8.540566631349128,16.72760449179226,2.4146470293667726,0.0,5.11815369303176,4.81532502633225,0.0,4.163769443614687
2024-03-20,46.92244883723393,11.36464560843193,8.559981215873583,16.659265538165844,2.4110447673813895,0.0,5.1150621165400585,4.809134964820246,0.0,4.158416951553023
2024-03-21,46.39218996984537,11.21454121799573,8.465710117779777,17.60748243648408,2.383798153036738,0.0,5.070066251509425,4.7547881324882395,0.0,4.1114237208606355
2024-03-22,46.375890469002414,11.225560024708647,8.487654606112004,17.606636107267065,2.3649353984639006,0.0,5.071801039955707,4.7554909304111606,0.0,4.112031424079107
2024-03-25,46.40563588899014,11.281143197248104,8.549457279515375,17.179443102302056,2.378272203727972,0.0,5.334723328693855,4.757530219768371,0.0,4.1137947797541266
2024-03-26,46.456983851556956,11.177764878817282,8.559371852151594,17.19887215656569,2.3810302211952403,0.0,5.344364206330456,4.763047397922582,0.0,4.1185654354602015
2024-03-27,46.43021171950664,11.222989472282519,8.559280290537137,17.189271431645047,2.3796328090948826,0.0,5.342214007899641,4.76025199448369,0.0,4.116148274550444
