date,LEGO SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD,CHINA PA SECURITIES (HONG KONG) CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CTBC ASIA LTD,INNOVAX SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CMBC SECURITIES CO LTD,CATHAY SECURITIES (HONG KONG) LTD
2024-03-04,0.0,6.177156177156177,0.0,60.21756021756022,0.0,0.0,0.0,33.6052836052836,0.0,0.0
2024-03-05,0.0,3.823178016726404,0.0,61.72839506172839,0.0,0.0,0.0,34.4484269215452,0.0,0.0
2024-03-11,0.0,5.84339696143358,0.0,60.45968056096611,0.0,0.0,0.0,33.69692247760031,0.0,0.0
2024-03-12,0.0,4.125347084490281,0.0,61.56287187623959,0.0,0.0,0.0,34.31178103927013,0.0,0.0
2024-03-13,0.0,3.3543804262036305,0.0,62.50986582478295,0.0,0.0,0.0,34.13575374901342,0.0,0.0
2024-03-14,0.0,3.546099290780142,0.0,62.371946414499604,0.0,0.0,0.0,34.08195429472025,0.0,0.0
2024-03-15,0.0,3.5447026388341865,0.0,62.38676644348169,0.0,0.0,0.0,34.06853091768413,0.0,0.0
2024-03-18,0.0,0.15081338994843468,0.0,3.395140461522079,94.86314880334173,0.0,0.0,1.5908973451877564,0.0,0.0
2024-03-20,0.0,0.15631945296283295,0.0,3.3967297602629696,94.8561704713289,0.0,0.0,1.5907803154452997,0.0,0.0
2024-03-25,0.0,0.1563022060861137,0.0,3.4073880926772784,94.84570489812498,0.0,0.0,1.5906048031116276,0.0,0.0
2024-03-27,0.0,0.2889916455644476,0.0,3.193633790154883,94.94172584706304,0.0,0.0,1.5756487172176252,0.0,0.0
2024-03-28,0.0,0.2656638838989791,0.0,3.020081791268255,95.15716878309152,0.0,0.0,1.5570855417412386,0.0,0.0
2024-04-02,0.0,0.27486804028126566,0.0,3.018014187249333,95.15014712819163,0.0,0.0,1.556970644277773,0.0,0.0
2024-04-05,0.0,0.27306358709981193,0.0,3.0055444823350923,95.1641914744013,0.0,0.0,1.5572004561637924,0.0,0.0
2024-04-08,0.0,0.20862245852151665,0.0,3.0074865923146072,95.22568426781733,0.0,0.0,1.558206681346549,0.0,0.0
2024-04-09,0.0,0.27306862528213244,0.0,3.0037548781034573,95.16594730919469,0.0,0.0,1.5572291874197284,0.0,0.0
2024-04-10,0.0,0.2730787022045385,0.0,3.00017547151743,95.16945917316566,0.0,0.0,1.5572866531123684,0.0,0.0
2024-04-11,0.0,0.14779554629205913,0.0,3.0039444783861025,95.2890169619406,0.0,0.0,1.559243013381224,0.0,0.0
