date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA CITIC BANK INTERNATIONAL LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,VALUABLE CAPITAL LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,10.791993037423847,5.047867711053089,0.0,1.2184508268059182,82.94168842471714
2024-03-04,0.0,0.0,0.0,0.0,8.200836820083682,4.100418410041841,15.397489539748953,1.1715481171548117,71.1297071129707
2024-03-05,0.0,0.0,0.0,0.0,7.894736842105263,4.4142614601018675,15.365025466893039,1.1884550084889642,71.13752122241087
2024-03-06,0.0,0.0,0.0,0.0,7.334384858044165,4.100946372239748,15.615141955835963,1.1041009463722398,71.84542586750788
2024-03-07,0.0,0.0,0.0,0.0,6.964420893262679,3.936411809235428,14.837244511733536,1.0598031794095382,73.20211960635882
2024-03-08,0.0,0.0,0.0,0.0,6.789667896678966,3.985239852398524,14.464944649446496,1.033210332103321,73.7269372693727
2024-03-11,0.0,0.0,0.0,0.0,6.730065837600585,4.09656181419166,14.337966349670811,1.024140453547915,73.81126554498903
2024-03-12,0.0,0.0,0.0,0.0,6.749816581071166,3.8884812912692595,14.233308877476155,1.0271460014673515,74.10124724871606
2024-03-13,0.0,0.0,0.0,0.0,6.394940267041462,3.7245256500351367,15.741391426563597,0.9838369641602248,73.15530569219958
2024-03-14,0.0,0.0,0.0,0.0,6.296547054840894,3.3175355450236967,12.931618144888288,0.9478672985781991,76.50643195666892
2024-03-15,0.0,0.0,0.0,0.0,5.8171745152354575,3.8088642659279777,12.257617728531855,0.9695290858725761,77.14681440443213
2024-03-18,0.0,0.0,0.0,0.0,5.714285714285714,2.7210884353741496,13.061224489795919,2.1088435374149657,76.39455782312925
2024-03-19,0.0,0.0,0.0,0.0,6.901408450704226,1.9014084507042253,12.816901408450704,3.028169014084507,75.35211267605634
2024-03-20,0.0,0.0,0.0,0.0,7.18728403593642,2.073255010366275,12.646855563234277,4.14651002073255,73.94609536973049
2024-03-21,0.0,0.0,0.0,0.0,8.236101578586135,2.264927934111187,11.256005490734386,4.461221688400824,73.78174330816746
2024-03-22,0.0,0.0,0.0,0.0,9.74778459441036,2.522154055896387,11.17927743694615,4.430811179277437,72.11997273346967
2024-03-25,0.0,0.0,0.0,0.0,10.120643431635388,2.479892761394102,10.991957104557642,6.3002680965147455,70.10723860589813
2024-03-26,0.0,0.0,0.0,0.0,10.251322751322752,2.447089947089947,10.846560846560847,6.283068783068783,70.17195767195767
2024-03-27,0.0,0.0,0.0,0.0,10.039630118890356,1.7833553500660502,11.492734478203435,6.935270805812417,69.74900924702774
2024-03-28,0.0,0.0,0.0,0.0,12.058627581612258,1.3990672884743505,10.926049300466357,6.995336442371753,68.62091938707529
2024-04-02,0.0,0.0,0.0,0.0,14.763231197771587,0.9749303621169917,10.515320334261839,7.311977715877438,66.43454038997214
2024-04-03,0.0,0.0,0.0,0.0,12.491277041172367,2.2330774598743894,10.188415910676902,7.18771807397069,67.89951151430566
2024-04-05,0.0,0.0,0.0,0.0,10.662824207492795,2.6657060518731988,7.564841498559077,7.420749279538905,71.68587896253602
2024-04-08,0.0,0.0,0.0,0.0,10.98181818181818,2.690909090909091,6.181818181818182,7.490909090909091,72.65454545454546
2024-04-09,0.0,0.0,0.0,0.0,11.078503301540719,1.760821716801174,6.382978723404255,7.4834922964049895,73.29420396184886
2024-04-10,0.0,0.0,0.0,0.0,11.498516320474778,0.8902077151335311,7.418397626112759,7.640949554896142,72.55192878338279
2024-04-11,0.0,0.0,0.0,0.0,12.340105342362678,0.8276899924755455,6.5462753950338595,7.82543265613243,72.46049661399549
2024-04-12,0.0,0.0,0.0,0.0,12.528647822765471,0.8403361344537815,6.493506493506493,7.4866310160427805,72.65087853323148
2024-04-15,0.0,0.0,0.0,0.0,12.718964204112718,0.8377760853008377,6.473724295506473,7.53998476770754,72.42955064737244
2024-04-16,0.0,0.0,0.0,0.0,12.80674846625767,0.843558282208589,5.368098159509203,7.668711656441718,73.31288343558282
2024-04-17,0.0,0.0,0.0,0.0,13.476874003189792,0.8771929824561403,5.18341307814992,5.821371610845295,74.64114832535886
2024-04-18,0.0,0.0,0.0,0.0,13.070866141732285,0.9448818897637795,4.724409448818897,5.748031496062992,75.51181102362204
2024-04-19,0.0,0.0,0.0,0.0,13.120000000000001,0.96,4.8,5.6000000000000005,75.52
2024-04-22,0.0,0.0,0.0,0.0,13.001745200698082,1.1343804537521813,5.148342059336824,5.93368237347295,74.78184991273996
2024-04-23,0.0,0.0,0.0,0.0,13.661710037174721,1.3940520446096654,5.947955390334572,5.762081784386617,73.23420074349443
2024-04-24,0.0,0.0,0.0,0.0,13.62704918032787,1.639344262295082,6.557377049180328,6.352459016393443,71.82377049180327
2024-04-25,0.0,0.0,0.0,0.0,12.224938875305623,1.9559902200488997,7.45721271393643,8.312958435207824,70.04889975550122
2024-04-26,0.0,0.0,0.0,0.0,10.787172011661808,2.3323615160349855,8.746355685131196,4.373177842565598,73.76093294460642
2024-04-29,0.0,0.0,0.0,0.0,9.74124809741248,2.13089802130898,9.43683409436834,5.32724505327245,73.36377473363774
2024-04-30,0.0,0.0,0.0,0.0,98.21930360415394,0.0763591936469151,0.20158827122785583,0.11912034208918755,1.3836285888821014
2024-05-02,0.0,0.0,0.0,0.0,98.63177593030034,0.07669417431051938,0.20247262017977113,0.1319139798140933,0.9571432953952818
