date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,CCB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BNP PARIBAS,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-05,0.0,91.26209761452013,0.0,0.0,0.0,0.0,0.0,3.115634905690635,0.0,5.622267479789237
2024-03-12,0.0,83.43375145645749,0.0,8.576671048736957,0.0,0.0,0.0,2.848379723293769,0.0,5.14119777151179
2024-03-13,0.0,83.4436614755264,0.0,8.549043116787244,0.0,0.0,0.0,2.86069217122788,0.0,5.146603236458472
2024-03-14,0.0,83.4439120606051,0.0,8.549068789949283,0.0,0.0,0.0,2.8607007620154867,0.0,5.146318387430128
2024-03-15,0.0,72.96968172013075,8.19653263175856,7.475846147191333,0.0,0.0,4.358459270230945,2.501577574755678,0.0,4.497902655932736
2024-03-19,0.0,72.96278397258678,8.195757822118486,7.4751394632893975,0.0,0.0,4.358047269643605,2.51447012436628,0.0,4.49380134799546
2024-03-20,0.0,72.96182605523175,8.195650221253661,7.475041323314012,0.0,0.0,4.357990053500163,2.5144371122683356,0.0,4.495055234432084
2024-03-22,0.0,69.29683730198997,7.8094071608634765,7.099558089667628,5.011687486650297,0.0,4.139081270697401,2.37541417746537,0.0,4.268014512665863
2024-03-25,0.0,69.29701011994302,7.80917724864574,7.099575795109095,5.011699985194337,0.0,4.1390915930668,2.3754201014617866,0.0,4.268025156579213
2024-03-26,0.0,69.29718293875807,7.808947335281251,7.099593500638873,5.011712483800717,0.0,4.139101915487684,2.37542602548775,0.0,4.268035800545654
2024-03-27,0.0,69.28923416531384,7.821766402867775,7.098779137660618,5.010888252469092,0.0,4.138627137408784,2.373158671248985,0.0,4.267546233030906
2024-03-28,0.0,69.46244568712594,7.841319513509277,7.116524900797623,5.023414636838845,0.0,4.148973014561548,2.3790911718733656,0.0,4.028231075293413
2024-04-02,0.0,69.4596674858992,7.8452554405291695,7.116240270188754,5.022963748390222,0.0,4.148807073356848,2.3789960183850773,0.0,4.028069963250723
2024-04-03,0.0,65.34669087282417,7.410418998995513,6.697270284099767,4.7270005556560575,5.90963290489624,3.904545275579733,2.2389321797729904,0.0,3.7655089281755263
2024-04-05,0.0,65.15148542430406,7.716410779840249,6.681112464085148,4.714422761646145,5.895375337144124,3.8951251779689904,2.1908172281942835,0.0,3.7552508268170035
2024-04-08,0.0,65.15087381784753,7.7163383424027385,6.681049745461111,4.7139091326166875,5.895319994589824,3.895088612667488,2.192204779835332,0.0,3.7552155745792906
2024-04-09,0.0,65.14414690461577,7.715541620341244,6.68035991830606,4.713422415311771,5.894711295062815,3.8946864396559535,2.2023035630638743,0.0,3.75482784364252
2024-04-10,0.0,65.0873293815944,7.759923981781497,6.674533431637884,4.74541789575491,5.889570036628624,3.89128956600021,2.2027273285878155,0.0,3.749208378014663
2024-04-12,0.0,64.99422289873287,7.748823522812279,6.664985608144959,4.923117794297885,5.881145091913776,3.8857231325833173,2.199576359017911,0.0,3.7024055924969925
2024-04-15,0.0,64.99526504102364,7.747631406161455,6.664564321408012,4.941769293965214,5.880773350912226,3.8854775201070946,2.1973303611330475,0.0,3.6871887052893135
2024-04-17,0.0,64.99526504102364,7.747397298942071,6.664564321408012,4.941769293965214,5.880773350912226,3.8854775201070946,2.1973303611330475,0.0,3.687422812508697
2024-04-19,0.0,64.98087237273876,7.745402718779223,6.66284851837422,4.963901722151147,5.879259336151484,3.8844771975360737,2.1967646548215694,0.0,3.6864734794475322
2024-04-22,0.0,64.98072028734607,7.745150544542653,6.6628329242171045,4.9638901043178505,5.8792455759566415,3.8844681060570214,2.1967595133729714,0.0,3.6869329441896888
2024-04-23,0.0,64.98095433374638,7.744916498142336,6.6628329242171045,5.083955907680341,5.8792455759566415,3.8844681060570214,2.173354873341297,0.0,3.590271780858872
2024-04-24,0.0,64.98095433374638,7.744916498142336,6.6628329242171045,5.101509387704097,5.8792455759566415,3.8844681060570214,2.155801393317541,0.0,3.590271780858872
2024-04-25,0.0,64.98837311481492,7.745242792457464,6.663113630213914,5.1017243149421345,5.879493269319008,3.884631759191385,2.155892217503877,0.0,3.5815289015573035
2024-04-26,0.0,64.98038968496249,7.746076780630069,6.663831097452738,5.1022736557249315,5.880126358297485,3.8850500465232223,2.1561243585301804,0.0,3.5861280178788797
2024-04-29,0.0,64.97141660844147,7.745007132694328,6.662910895732644,5.119122773340747,5.8793143775749614,3.884513563877852,2.154890424933625,0.0,3.58282422340436
