date,INNOVAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,PRUDENTIAL BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FULBRIGHT SECURITIES LTD
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,66.69498452607098,0.0,18.0999482905967,15.205067183332325,0.0,0.0,0.0
2024-03-07,0.0,43.902168628351916,33.907569273401755,11.914343899541768,10.275918198704558,0.0,0.0,0.0
2024-03-13,0.0,44.16930688308427,33.907569273401755,11.914343899541768,10.008779943972202,0.0,0.0,0.0
2024-03-15,0.0,43.17966381032913,34.18150490029748,12.279895046202292,10.35893624317109,0.0,0.0,0.0
2024-03-27,0.0,40.070882254570506,31.72055864446539,11.395786466895721,9.613129835981178,0.0,7.199642798087204,0.0
2024-04-03,0.0,39.61818519835006,31.960171775114432,11.481868811855218,9.685746215823437,0.0,7.254027998856848,0.0
2024-04-12,0.0,40.475488276032095,32.04084929716776,11.510852658713112,8.700470321845879,0.0,7.272339446241148,0.0
2024-04-18,0.0,40.830989972934134,32.12193516086623,11.539983204569774,8.216348086345889,0.0,7.290743575283977,0.0
2024-04-24,0.0,40.85166665752339,32.138201607556795,11.495187330963677,8.220508819112093,0.0,7.294435584844049,0.0
2024-05-07,0.0,40.99359976896358,32.06108236019202,11.467603329652523,8.20078277902974,0.0,7.276931762162143,0.0
2024-05-10,0.0,41.142269009226986,31.980303042391757,11.438710194874155,8.180120543398521,0.0,7.258597210108579,0.0
2024-05-14,0.0,40.935988932820194,31.81995944652402,11.882740873483266,8.13910686254561,0.0,7.222203884626907,0.0
2024-05-17,0.0,40.63836014618396,31.980303042391757,11.942619057917184,8.180120543398521,0.0,7.258597210108579,0.0
2024-05-20,0.0,40.68529775635575,31.81995944652402,11.882740873483266,8.389798039010055,0.0,7.222203884626907,0.0
2024-05-21,0.0,40.87923817991584,31.58243630315052,12.042860881079447,8.327171585766342,0.0,7.168293050087854,0.0
2024-05-22,0.0,38.48526362515875,29.732902107962765,11.103357053591752,7.8395148246084245,0.0,6.748502664380922,6.090459724297381
2024-05-27,0.0,38.772114372403955,29.594253945098732,11.051580740216284,7.8029582071537735,0.0,6.717033570207,6.062059164920262
2024-06-03,0.0,38.914538864526904,29.52541363574157,11.025873241779138,7.784807452014688,0.0,6.701408825288839,6.04795798064886
2024-06-05,0.0,39.00527049413166,29.594253945098732,10.818424618488582,7.8029582071537735,0.0,6.717033570207,6.062059164920262
2024-06-26,0.0,39.1471526330134,29.52541363574157,10.793259473292643,7.784807452014688,0.0,6.701408825288839,6.04795798064886
2024-07-02,0.0,39.28837622897652,29.456892847210646,10.768211131580891,7.766740943218084,0.0,6.685856602290648,6.033922246723213
2024-07-03,0.0,39.1471526330134,29.52541363574157,10.793259473292643,7.784807452014688,0.0,6.701408825288839,6.04795798064886
2024-07-25,0.0,39.28837622897652,29.456892847210646,10.768211131580891,7.766740943218084,0.0,6.685856602290648,6.033922246723213
2024-07-26,0.0,38.824228363843964,29.456892847210646,11.00028506414717,7.998814875784362,0.0,6.685856602290648,6.033922246723213
2024-07-29,0.0,38.92344829264017,29.409117220803505,10.982443891545472,7.985841735908831,0.0,6.675012926791688,6.024135932310337
2024-08-12,0.0,39.267717989209764,29.3547059165898,10.962124713274795,7.739797863306998,0.0,6.662663145726749,6.012990371891891
2024-08-13,0.0,39.270745356052366,29.356969034181475,10.95526028811383,7.740394567384028,0.0,6.663176807495848,6.013453946772452
2024-09-23,0.0,39.369096812560464,29.087863606172675,11.313170240582878,7.6694409825440015,0.0,6.602097714330893,5.958330643809084
2024-09-24,0.0,39.35519905194983,29.094531099873432,11.315763435199571,7.671198964846577,0.0,6.6036110411780635,5.959696406952521
2024-10-08,0.0,39.44542077900181,29.05124694686176,11.298928888724436,7.659786464379131,0.0,6.593786799304057,5.950830121728807
2024-10-09,0.0,39.55294231650365,29.054571924203685,11.300222075299587,7.54621100472573,0.0,6.594541472304681,5.951511206962658
2024-10-10,0.0,39.649643499634145,29.008091390856116,11.282144357604205,7.5341388285061655,0.0,6.583991745204414,5.941990178194953
2024-10-14,0.0,40.060596591564675,28.810562071406228,11.205319092995603,7.4828354423101,0.0,6.539158343683075,5.901528458040322
2024-10-17,0.0,40.063627830536134,28.812742061370706,11.198600323927629,7.483401641127384,0.0,6.539653137902294,5.901975005135853
2024-11-04,0.0,40.003090077263266,28.769204849079188,11.332782811010798,7.47209392021632,0.0,6.529771458943337,5.893056883487088
2024-11-07,0.0,40.138769168956685,28.704145172044292,11.307154463148603,7.455196268029759,0.0,6.5150048074331846,5.879730120387474
2024-11-11,0.0,39.729878342414935,28.900213002284854,11.384389623035668,7.506120068321631,0.0,6.559506493476924,5.9198924704659985
2024-11-14,0.0,39.59233723936295,28.966165535073063,11.410369685183571,7.523249617847065,0.0,6.57447579723435,5.933402125299
2024-11-18,0.0,39.38859149616143,28.817103031160713,11.866259923724346,7.48453429585403,0.0,6.540642951010356,5.902868302089123
2024-11-20,0.0,39.25067022959417,28.88267635220646,11.89326159945661,7.501565354448964,0.0,6.555526184748612,5.9163002795451884
2024-11-26,78.53110900466524,8.426683606529881,6.200790302590533,2.553351368577346,1.6105028888904451,0.0,1.4073987707743068,1.2701640579722417
