date,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.
2024-03-01,0.0,25.669020605263853,15.400046580094681,10.388134870050735,11.784239302296683,14.373495335365568,5.8228110133483,12.911783945328391,3.650468348251782
2024-03-04,0.0,25.713781080888676,15.46989074189927,10.060940046578319,11.801037519664112,14.391449048058538,6.030847790023054,12.903708176515089,3.6283455963729434
2024-03-05,0.0,25.717288423641705,15.494415203661738,10.105863613329287,11.803164427118483,14.382490399358696,6.049686023970912,12.865459439595606,3.581632469323575
2024-03-06,0.0,25.798512623747094,15.517611694861,10.141063530736881,11.81739639713873,14.356670198867558,6.0183320299482945,12.86150696658684,3.4889065581136034
2024-03-07,0.0,25.827516187260503,15.514825389111067,10.182935795602953,11.809974509304784,14.363388104780029,5.966133410993744,12.857498949825787,3.4777276531211343
2024-03-08,0.0,25.81763419924819,15.544158939617922,10.2253135679447,11.805455839151584,14.308796967367973,5.98980921735247,12.83649647486667,3.4723347944504934
2024-03-11,39.73734522344742,15.576096230472206,9.355983316123655,6.2034916570652205,7.118720111755255,8.618032704462603,3.6054049054132418,7.740440256195642,2.0444855950647582
2024-03-12,39.726346640156024,15.58730394363901,9.333066282244742,6.230977343792446,7.1197982370436925,8.61423286650894,3.6190538598290454,7.728169286723234,2.0410515400628624
2024-03-13,39.72202061924126,15.59071103336565,9.293936523493361,6.241868966619086,7.123276653953062,8.600193323736367,3.6719164731460823,7.722733694287193,2.0333427121579364
2024-03-14,39.528655166732804,15.63181153202029,9.28590087703649,6.324154006165647,7.133180488688865,8.605164768812577,3.7749935542410475,7.704846167545239,2.0112934387570407
2024-03-15,39.534785078009605,15.634235637201272,9.287340889307618,6.318318235998464,7.13428666756929,8.605987979157149,3.795687604878981,7.703996050805656,1.9853618570719693
2024-03-18,39.50763256782532,15.623498036338512,9.280110862986005,6.314149107060621,7.129386835914292,8.573851923068606,3.792569839162145,7.693596086765717,2.0852047408787837
2024-03-19,39.58528426054076,15.671780680602124,9.27292693406689,6.328777666509355,7.143399544847977,8.536102138848133,3.7867149491049434,7.6418308191666995,2.0331830063131195
2024-03-20,39.60868713682784,15.681045859602794,9.273970101381789,6.334008533443615,7.147622732806333,8.524417078189948,3.8090998923159147,7.638665795335306,1.9824828700964672
2024-03-21,39.63461093155576,15.718131344071024,9.2697893421753,6.331832954155617,7.159134536349826,8.52401680130625,3.8174015851977066,7.6436652845481,1.9014172206404154
2024-03-22,39.538624111389574,15.684326004280392,9.260462847796742,6.551008563032844,7.141796595011816,8.500816966107031,3.8407085254632682,7.6104970352555075,1.8717593516628228
2024-03-25,39.53869149669792,15.681966727987017,9.264057640733087,6.552212731327602,7.14180876670915,8.496400298217123,3.8374769188659617,7.610510005754631,1.8768754137075072
2024-03-26,39.52400693027851,15.696586379097013,9.26453540672156,6.556082790196823,7.156192894698086,8.473652693800265,3.8563252166846675,7.598142999131411,1.8744746893916613
2024-03-27,39.52750868020436,15.694569448743593,9.273023365395398,6.5811984908457,7.156826919431018,8.449698217536476,3.8449105999208295,7.598816179781609,1.8734480981410204
2024-03-28,39.57045552867247,15.712986209819482,9.281904592724423,6.585449376284927,7.164602849953431,8.406856234389572,3.825720575892951,7.5799523424824,1.872072289780343
2024-04-02,39.53330139774644,15.719533448355739,9.270122172010922,6.577391595670676,7.157875745380997,8.395725022373627,3.90869463210607,7.572494439591614,1.8648615467639205
2024-04-03,39.543476440744755,15.679773755714068,9.300291407015928,6.572777839750919,7.20897799370807,8.364477766230598,3.9349272026706053,7.531319668675216,1.8639779254898414
2024-04-05,39.40452758421092,15.548414782284064,9.28425718516049,6.9011034756465515,7.175663920706096,8.23538405762215,3.8006763666268553,7.494495032762441,2.1554775949804337
