date,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,FULBRIGHT SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD
2024-03-04,0.0,0.0,0.0,0.0,73.7784904266831,26.221509573316894,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,73.77904381168216,26.22095618831785,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,73.78015051161057,26.219849488389425,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,63.18257454939966,22.45370310966637,0.0,14.363722340933974,0.0
2024-03-15,0.0,0.0,0.0,0.0,57.3641743274322,20.397056039915164,0.0,13.048077107765987,9.190692524886646
2024-03-19,0.0,0.0,0.0,0.0,51.181949150391844,18.198313171508754,10.778242242087707,11.641532632378219,8.199962803633468
2024-03-21,0.0,0.0,0.0,0.0,51.18266418386936,18.198046622498186,10.778084374170046,11.641362119926022,8.199842699536378
2024-03-22,0.0,0.0,0.0,0.0,51.18566303056633,18.199112865392635,10.778715873589634,11.636185093415577,8.200323137035817
2024-03-26,0.0,0.0,0.0,0.0,51.18637804106507,18.198846292955636,10.778557991797298,11.636014651798963,8.200203022383032
2024-03-27,0.0,0.0,0.0,0.0,51.18351787338493,18.199912629561975,10.779189546719252,11.636696448225802,8.200683502108035
2024-03-28,0.0,0.0,0.0,0.0,51.18423294672719,18.199646033695462,10.77903165105041,11.636525991628776,8.200563376898163
2024-04-05,0.0,0.0,0.0,0.0,51.18494799912068,18.19937944563913,10.77887376000727,11.636355540025441,8.200443255207476
2024-04-15,0.0,0.0,0.0,0.0,51.13114812891049,18.20577971529625,10.782664422148809,11.677080586252748,8.203327147391711
2024-04-16,0.0,0.0,0.0,0.0,51.13186420013628,18.205512947518855,10.782506424662998,11.676909482961204,8.203206944720662
2024-04-18,0.0,0.0,0.0,0.0,51.132580250377316,18.205246187559204,10.782348431807367,11.676738384683912,8.2030867455722
2024-04-19,0.0,0.0,0.0,0.0,51.13186420013628,18.205512947518855,10.782506424662998,11.676909482961204,8.203206944720662
2024-04-22,0.0,0.0,0.0,0.0,51.128999789315344,18.20658006553828,10.783138442389358,11.677593926215089,8.203687776541935
2024-04-23,0.0,0.0,0.0,0.0,51.12971592350094,18.206313274305614,10.782980431011785,11.677422807879468,8.203567563302192
2024-04-24,0.0,0.0,28.313927635785944,0.0,22.87001450638748,18.183930689858542,10.769723987136965,11.663066749176998,8.199336431654066
