date,GRAND CHINA SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,SDICS INTERNATIONAL SECURITIES (HONG,BANK OF CHINA (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD
2024-03-01,64.81379716818252,0.0,18.85870922716024,13.046542997033692,0.0,0.0,0.0,3.280950607623554
2024-03-04,54.63081046138437,0.0,16.123481003662963,11.439540630644023,7.0208182111267625,0.0,7.982302873697241,2.803046819484643
2024-03-05,54.33635561436031,0.0,16.094915378520326,11.492483298763517,7.015700563896725,0.0,7.969624996199494,3.0909201482596234
2024-03-06,54.47428578730912,0.0,16.078806886156784,11.564238354282997,7.025936483173395,0.0,7.981252692875465,2.875479796202239
2024-03-07,54.537748541193196,0.0,16.060571078494593,11.548489793527015,7.011975321917722,0.0,7.969651391779722,2.871563873087742
2024-03-08,54.306682576159936,0.0,16.044286139703807,11.5404627111685,7.007101463568169,0.0,8.012401391618983,3.0890657177806
2024-03-11,54.68376717603505,0.0,16.055170603951886,11.558306438513089,6.919741818226026,0.0,7.982288216238071,2.8007257470358855
2024-03-12,54.50951311597554,0.0,16.004802077624035,11.531519338755645,6.903704882766092,0.0,7.963788762890081,3.086671821988609
2024-03-13,54.74600439687951,0.0,16.022021035384814,11.543925661773487,6.911132316244661,0.0,7.979675489147045,2.797241100570486
2024-03-14,54.337115311714534,0.0,16.009366764478397,11.534808212587459,6.9056738699970435,0.0,8.039190178214287,3.173845663008278
2024-03-15,54.622874225673,0.0,15.985985634904088,11.517962021891664,6.895588370805997,0.0,8.027449217438349,2.950140529286903
2024-03-18,54.61808815531164,0.0,15.983854769888792,11.516952815081554,6.897174684033498,0.0,8.034047538473489,2.949882037211024
2024-03-19,55.022864620859,0.0,15.376641326883206,11.596259318619595,6.944669087914834,0.0,8.089370524489405,2.9701951212339543
2024-03-20,55.048495856343436,0.0,15.354692589950805,11.598561669522248,6.936488444088212,0.0,8.090976608746168,2.9707848313491336
2024-03-21,54.98251234422761,0.0,15.333294145309193,11.589613214201739,6.931136844580296,0.0,8.194950623089584,2.9684928285915824
2024-03-22,54.95510732327875,0.0,15.337779706009957,11.598561669522248,6.936488444088212,0.0,8.201278025751705,2.9707848313491336
2024-03-25,54.93762687928447,0.0,15.347612462855631,11.601547559504546,6.938274147518314,0.0,8.203389331842654,2.9715496189943806
2024-03-26,54.94756813201359,0.0,15.344226611562956,11.598988131131145,6.936743488300266,0.0,8.20157957436795,2.970894062624094
2024-03-27,54.95706134933239,0.0,15.339538850655842,11.597111934592084,6.935621434033293,0.0,8.200252926298452,2.970413505087936
2024-03-28,54.96952631617642,0.0,15.338298325969166,11.596174063917541,6.935060543012374,0.0,8.190767466309854,2.9701732846146496
2024-04-02,54.95261185805599,0.0,15.326574094482403,11.588421129968408,6.930423921827932,0.0,8.233781500257145,2.968187495408126
2024-04-03,54.97855527158426,0.0,15.319761464116798,11.583825387033283,6.920331365118533,0.0,8.230516142298992,2.9670103698481243
2024-04-05,54.99933968216701,0.0,15.306167368560066,11.572436866278302,6.913527711338391,0.0,8.244434988040911,2.9640933836153134
2024-04-08,55.054738909325394,0.0,15.287324315214047,11.558190318467604,6.905016634179942,0.0,8.23428546304574,2.960444359767268
