date,ASTRUM CAPITAL MANAGEMENT LTD,VALUABLE CAPITAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GRANSING SECURITIES CO LTD,LUK FOOK SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,59.77653631284916,40.22346368715084
2024-03-08,0.0,43.45028529804541,0.0,0.0,0.0,33.77443243899478,22.775282262959813
2024-03-13,0.0,33.081915453429225,0.0,0.0,26.469040519207155,24.206279600070165,16.24276442729346
2024-03-14,0.0,33.12554872695347,0.0,0.0,26.496927129060577,24.161545215100965,16.215978928884986
2024-03-21,0.0,33.12845728334358,0.0,0.0,26.499253665817896,24.163666695934673,16.208622354903852
2024-03-22,0.0,33.16662279547249,0.0,0.0,26.48065280336931,24.14670527331754,16.20601912784066
2024-03-25,0.0,33.20754716981132,0.0,0.0,26.485300570425625,24.142167617376042,16.16498464238701
2024-03-26,0.0,26.003995315836605,0.0,21.698698078115314,20.789419301508577,18.819315285527313,12.688572019012193
2024-03-27,0.0,26.84056391745556,0.0,21.453381461554176,20.554382619355717,18.606551794592384,12.545120207042157
2024-03-28,0.0,26.820628108181754,0.0,21.45922746781116,20.559983650112407,18.61162204509844,12.54853872879624
2024-04-02,0.0,26.82561307901907,0.0,21.457765667574932,20.55858310626703,18.61035422343324,12.547683923705721
2024-04-03,0.0,26.834253014510523,0.0,21.45922746781116,20.559983650112407,18.61162204509844,12.53491382246747
2024-04-05,0.0,26.86912705978483,0.0,21.448999046711155,20.550183848563258,18.602750919242816,12.528939125697944
2024-04-08,0.0,26.86414708886619,0.0,21.450459652706844,20.551583248212463,18.604017705141302,12.529792305073203
2024-04-12,0.0,26.86912705978483,0.0,21.448999046711155,20.550183848563258,18.602750919242816,12.528939125697944
2024-04-15,0.0,26.920721333787,0.0,21.435862538278325,20.537597822388566,18.584552568900985,12.521265736645118
2024-04-16,0.0,26.945578231292515,0.0,21.428571428571427,20.53061224489796,18.578231292517007,12.51700680272109
2024-04-17,0.0,26.95474651241919,0.0,21.435862538278325,20.537597822388566,18.584552568900985,12.48724055801293
2024-04-18,0.0,26.94741138852983,0.0,21.430029253690726,20.532008980202736,18.599904755425538,12.490645622151167
2024-04-19,0.0,26.94924479521023,0.0,21.43148727718057,20.53340590556538,18.601170227241802,12.484691794802014
2024-04-24,0.0,26.958415572041105,0.0,21.438780371605525,20.54039338460491,18.60750017014905,12.4549105015994
2024-04-25,0.0,26.965756688678606,0.0,21.444618421948398,20.54598679283818,18.6125672271768,12.431070869358022
