date,ADVENT SECURITIES (HONG KONG) LTD,SILVERBRICKS SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,IMPERIUM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,RIFA SECURITIES LTD,KGI ASIA LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,4.399833951120217,4.079232827262874,0.0,0.0,0.0,0.0,0.0,0.0,8.47906677838309
2024-03-04,0.0,0.0,4.399833951120217,4.079232827262874,0.0,0.0,0.8346103496246083,0.0,0.0,0.0,9.313677128007699
2024-03-05,0.0,0.0,4.4059573936127325,4.079232827262874,0.0,0.0,0.8346103496246083,0.0,0.0,0.0,9.319800570500215
2024-03-06,0.0,0.0,4.4386157535728135,4.0779443529050745,0.0,3.7983259625753716,0.8345465637653112,0.0,0.0,0.0,13.149432632818572
2024-03-07,0.0,0.0,4.442698048567824,4.068335651060569,0.0,3.789140798836599,0.8345465637653112,0.0,0.0,0.0,13.134721062230303
2024-03-08,0.0,0.0,4.446780343562834,4.068335651060569,0.0,3.794243667580362,0.8336535617351528,0.0,0.0,0.0,13.143013223938919
2024-03-11,0.0,0.0,4.446780343562834,4.067812607014334,0.0,3.794243667580362,0.8336535617351528,0.0,0.0,0.0,13.142490179892683
2024-03-12,0.0,0.0,4.470253539784142,4.068833180763086,0.0,3.83298719851738,0.7702504175939014,0.0,1.2403814145365968,0.0,14.382705751195108
2024-03-13,0.0,0.0,4.469768767253485,4.070134412292745,0.0,3.8328213552832078,0.7702504175939014,0.0,1.2403814145365968,0.0,14.383356366959937
2024-03-14,0.0,0.0,4.426904669805879,4.069113838543993,0.0,3.874027020389091,0.770046302844151,0.0,1.2403814145365968,0.0,14.38047324611971
2024-03-15,0.0,0.0,4.45956302976596,4.068603551669617,0.0,3.8331020130641145,0.770046302844151,0.0,1.2403814145365968,0.0,14.371696311880438
2024-03-18,0.0,0.0,4.45956302976596,4.081743438684805,0.0,3.8328851411425044,0.7792314665829237,0.0,1.2403814145365968,0.0,14.393804490712792
2024-03-19,0.0,0.0,4.45956302976596,4.081743438684805,0.0,3.841049731132525,0.7802520403316764,0.0,1.2403814145365968,0.0,14.402989654451565
2024-03-20,0.0,0.0,4.45956302976596,4.081743438684805,0.0,3.840922159413931,0.7802520403316764,0.0,1.2403814145365968,0.0,14.40286208273297
2024-03-21,0.0,0.0,4.45956302976596,4.081743438684805,0.0,3.8419427331626834,0.7802520403316764,0.0,1.2399986993808145,0.0,14.40349994132594
2024-03-22,0.0,0.0,4.460583603514713,4.082483354652651,0.0,3.8390340979787387,0.7802520403316764,0.0,1.2399986993808145,0.0,14.402351795858593
2024-03-25,0.0,0.0,4.45956302976596,4.082483354652651,0.0,3.838013524229986,0.7802520403316764,0.0,1.2399986993808145,0.0,14.400310648361087
2024-03-26,0.0,0.0,4.45956302976596,4.081845496059681,0.0,3.838013524229986,0.7802520403316764,0.0,1.2399986993808145,0.0,14.399672789768116
2024-03-27,0.0,0.0,4.460583603514713,4.081615866966212,0.0,3.838013524229986,0.7801882544723794,0.0,1.2399986993808145,0.0,14.400399948564106
2024-03-28,0.0,0.0,4.460583603514713,4.082636440714964,0.0,3.837758380792798,0.7801882544723794,0.0,1.2399986993808145,0.0,14.40116537887567
2024-04-02,0.0,17.130996297182392,4.437939623464265,4.082623683543105,0.0,3.837758380792798,0.7842705494673894,0.0,1.2399986993808145,0.0,31.513587233830766
2024-04-03,0.0,17.130996297182392,4.437939623464265,4.082623683543105,0.0,3.8291185861510146,0.7839388629990449,0.0,1.2399986993808145,0.0,31.504615752720632
2024-04-05,0.0,17.130996297182392,4.430795607222997,4.082330268590338,0.0,3.83524202864353,0.7838623199678884,0.0,1.2399986993808145,0.0,31.503225220987957
2024-04-08,0.0,17.130996297182392,4.430795607222997,4.082253725559182,0.0,3.83524202864353,0.7838623199678884,0.0,1.2399986993808145,0.0,31.503148677956805
2024-04-09,0.0,17.130996297182392,4.430795607222997,4.082228211215463,0.0,3.8352419648576705,0.7838368056241697,0.0,1.2399986993808145,0.0,31.50309758548351
2024-04-11,0.0,17.130996297182392,4.43181618097175,4.081947553434556,0.0,3.8382781717602095,0.7838368056241697,0.0,1.239922156349658,0.0,31.506797165322737
2024-04-12,0.0,17.130996297182392,4.430795607222997,4.0818710104033995,0.0,3.8377423705421148,0.7838368056241697,0.0,1.245025025093421,0.0,31.51026711606849
2024-04-15,0.0,17.130996297182392,4.421610443484225,4.0818710104033995,0.0,3.842845239285877,0.7838368056241697,0.0,1.245025025093421,0.0,31.50618482107348
2024-04-16,0.0,17.130996297182392,4.409363558499194,4.081552081106914,0.0,3.8469275342808875,0.7831861898593399,0.0,1.245025025093421,0.0,31.49705068602215
