date,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,RAFFAELLO SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,ZHONGTAI INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,BOCI SECURITIES LTD,CMB WING LUNG BANK LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-15,0.0,82.60528757397418,0.0,0.0,0.0,0.0,17.394712426025816,0.0
2024-03-21,0.0,71.33089472148279,0.0,0.0,0.0,0.0,15.020592957323462,13.648512321193746
2024-03-25,0.0,71.76323255584481,0.0,0.0,0.0,0.0,14.505531244588015,13.73123619956718
2024-04-03,0.0,60.90312836869983,0.0,0.0,0.0,15.133242748915812,12.310373989324683,11.653254893059675
2024-04-05,0.0,60.90484296516758,0.0,0.0,0.0,15.131528152448064,12.310373989324683,11.653254893059675
2024-04-08,0.0,47.40801645485128,0.0,22.160514424173698,0.0,11.778303673626906,9.58233178575066,9.07083366159746
2024-04-09,0.0,47.4059106405226,0.0,22.161401744363197,0.0,11.778775283917517,9.582715468019638,9.071196863177054
2024-06-11,0.0,47.404724319659245,0.0,22.1608471609179,0.0,11.778480523060162,9.584978137581274,9.070969858781423
2024-06-13,0.0,47.40121426301223,0.0,22.16232611179085,0.0,11.77926658479892,9.585617811312195,9.071575229085804
2024-07-09,0.0,35.65678475182935,24.776642737498836,16.671245748753016,0.0,8.860759785985712,7.210623532021318,6.823943443911773
2024-07-11,0.0,35.73176568845217,24.82874434710152,16.706302909111443,0.0,8.879392651303412,7.01550121786314,6.838293186168314
2024-07-17,0.0,35.73248473268633,24.829243985591816,16.70663909654997,0.0,8.87755899584126,7.015642393525839,6.838430795804788
2024-07-25,0.0,35.741475227973844,24.83549116383075,16.685682015779175,0.0,8.879792639902508,7.017407568837597,6.8401513836761225
2024-07-30,0.0,35.426426291489484,25.389912512335343,16.584368352553387,0.0,8.825875495839524,6.974798626243883,6.7986187215383795
2024-07-31,0.0,35.42855266731328,25.391436473450995,16.585363784596908,0.0,8.820403014576337,6.975217269746128,6.799026790316354
2024-08-14,0.0,35.4673609305089,25.361245371237995,16.58562698629949,0.0,8.809915317700606,6.984908830009873,6.790942564243125
2024-08-15,0.0,33.826662237515045,28.928895037360792,15.766014812248514,0.0,8.384658086725938,6.630628077968435,6.463141748181276
2024-08-16,0.0,33.75990845865901,28.984311715723237,15.770813941493888,0.0,8.387210352362857,6.632646421950927,6.465109109810076
2024-08-21,0.0,33.77533607687078,28.977145011524097,15.76786543223078,0.0,8.385136518205922,6.6310064238916375,6.463510537276782
2024-08-23,0.0,33.77501487453938,28.976869439831372,15.768666477050605,0.0,8.385056775834368,6.63094336323939,6.463449069504887
2024-08-26,0.0,33.77469367831716,28.97659387337995,15.769467506634754,0.0,8.384977034979494,6.63088030378654,6.4633876029020945
2024-08-27,0.0,33.774372488203966,28.976318312169685,15.770268520983667,0.0,8.384897295641258,6.630817245533054,6.463326137468371
2024-08-29,0.0,33.679448064200926,29.01743480238565,15.793598367237415,0.0,8.39679520288758,6.640226168000796,6.47249739528763
2024-09-02,0.0,33.495710379577034,29.409414702733528,15.702700983529022,0.0,8.350986622358034,6.60400052145333,6.437186790349052
2024-09-03,0.0,33.36645632269567,29.681811359616034,15.642107021403245,0.0,8.318761633317054,6.578516844607208,6.412346818360787
2024-10-02,0.0,33.36330856862298,29.67901121081724,15.640631362567744,0.0,8.317976850673139,6.587330122566202,6.411741884752682
2024-10-04,0.0,33.369594406368044,29.67621159029441,15.639155982129976,0.0,8.317192216086287,6.586708739849953,6.411137065271327
2024-10-07,0.0,33.35606455574129,29.70472468341456,15.63281501670529,0.0,8.313819973470832,6.584038129464736,6.408537641203285
2024-10-08,0.0,33.31268802248954,29.743921069039203,15.63458407113962,0.0,8.314760789317152,6.584783198208677,6.409262849805806
2024-10-10,0.0,29.797920597713862,26.605688429632245,13.985004584907228,10.550837033633687,7.437483928699826,5.890033453947587,5.73303197146557
2024-10-15,0.0,29.827358014123718,26.659836128554755,13.998820394708778,10.561260223473834,7.44483143171544,5.7691981639281185,5.738695643495356
2024-10-18,0.0,29.81376429023727,26.693260675810432,13.992440476678777,10.556446962597601,7.441438473384503,5.766568870148579,5.736080251142836
2024-10-22,0.0,29.809990454493885,26.68988183440466,14.003327340852339,10.55511072419165,7.440496533741468,5.765838936031337,5.735354176284662
2024-10-23,0.0,29.732211191484325,26.88116022380127,13.966790312035915,10.527570670652711,7.421083030818579,5.750794895552326,5.720389675654873
2024-10-29,0.0,29.7647242835672,26.868722239733884,13.960327841148224,10.522699535806607,7.4176492760352435,5.7481339875152395,5.717742836193604
2024-11-04,0.0,29.744955510674625,26.917293683151716,13.951055840239754,10.515710697094095,7.412722711873664,5.744316261731096,5.713945295235051
2024-11-05,0.0,29.74370520607354,26.920365654260724,13.950469419147252,10.515268677893108,7.41241112420597,5.744074804148497,5.713705114270907
2024-11-13,0.0,29.679580795343018,27.07791793150242,13.920393622446095,10.492598825466473,7.396430717859856,5.731691161644776,5.701386945737359
2024-11-14,0.0,29.681055508475374,27.077350071389784,13.920101693195463,10.492378781651954,7.396275604826749,5.731570960424103,5.701267380036577
2024-11-15,0.0,29.68064947617142,27.079569695630433,13.919517871425535,10.49193872170943,7.395965398277282,5.731330573106802,5.701028263679095
2024-11-18,0.0,29.21720462255583,26.656739082586068,15.26361098068395,10.328113633955535,7.280482005499696,5.641839416230048,5.612010258488871
2024-11-19,0.0,29.21744587703386,26.65695919459734,15.262911289061615,10.328198916024641,7.280542122437941,5.641886002446663,5.612056598397944
2024-11-22,0.0,29.2466573655493,26.645958045133067,15.25661238725796,10.323936537141048,7.277537491208806,5.639557633681112,5.609740540028712
2024-11-26,0.0,29.246898765554707,26.646177979135636,15.255912920854934,10.324021750240949,7.27759755952936,5.639604182222582,5.6097868424618325
2024-11-27,0.0,29.1979761322381,26.777944433453943,15.221329512374925,10.3067522840152,7.265423987223977,5.63017055680919,5.600403093884658
2024-11-29,0.0,29.162171427834018,26.868557702209046,15.20184099699953,10.294113386811368,7.256514590317331,5.623266427851137,5.5935354679775715
2024-12-03,0.0,29.161931424453254,26.971211022188818,15.099664435075756,10.294028666713588,7.256454869523268,5.623220148617199,5.593489433428118
2024-12-04,0.0,29.162411435165286,26.971654973243314,15.098266960061737,10.294198108303656,7.256574312094409,5.623312707846839,5.593581503284762
2024-12-05,0.0,29.165531890011565,26.982771983246746,15.085066765034464,10.295299614619312,7.253235298726992,5.623914417120105,5.5941800312408185
2024-12-10,0.0,29.111618085364604,27.121855509555353,15.053073458656701,10.276268287698969,7.239827365265372,5.613518356990659,5.583838936468343
2024-12-11,0.0,29.111618085364604,27.12349866086455,15.051430307347507,10.276268287698969,7.239827365265372,5.613518356990659,5.583838936468343
2024-12-12,0.0,29.111618085364604,27.126784963482937,15.048144004729123,10.276268287698969,7.239827365265372,5.613518356990659,5.583838936468343
2024-12-13,0.0,29.09369108414178,27.179871153797396,15.030666625854028,10.269940138105243,7.235369062959758,5.610061539504423,5.5804003956373744
2024-12-16,0.0,29.093929965592956,27.180094321323477,15.029968962652648,10.270024462166996,7.23542847087251,5.610107602399567,5.580446214991844
2024-12-17,0.0,29.094407740263893,27.18054066737009,15.029394691830818,10.270193114444766,7.23472619967318,5.6101997304591595,5.580537855958094
2024-12-20,0.0,29.09464663348385,27.180763845890795,15.028697001000161,10.270277442660847,7.234785603770791,5.610245795623647,5.580583677569911
2025-01-03,0.0,29.09464663348385,27.18240603927785,15.027054807613101,10.270277442660847,7.234785603770791,5.610245795623647,5.580583677569911
2025-01-06,0.0,29.082229385841487,27.218408196116595,15.015716962566486,10.265894210928638,7.231697883695921,5.607851409733473,5.5782019511174035
2025-01-07,0.0,29.05337639135078,27.29553569337745,14.995900012115316,10.255709235589219,7.2245231882340155,5.602287761098321,5.572667718234901
2025-01-10,0.0,29.06719960477538,27.308522549374697,14.955456182101532,10.260588766824231,7.2279605211132205,5.604953255750114,5.575319120060832
2025-02-20,0.0,29.127412131339025,27.15794259752314,14.986436318299045,10.281843513827091,7.242933197215359,5.616563882208412,5.586868359587929
2025-03-07,0.0,29.122863604157384,27.153701622061767,14.999712008685503,10.280237904496294,7.2418021431287904,5.615686801423808,5.585995916046455
2025-03-20,53.261922591580756,13.613144817166942,12.692682887492538,7.005678642472423,4.805377975566217,3.385096419488398,2.6249876631198528,2.611109003112871
2025-03-26,53.266424699583595,13.614295505036306,12.69375577082879,6.997818046045732,4.805784163131137,3.3853825539150013,2.6252095472988395,2.611329714160599
2025-03-31,53.26683401987038,13.61440012267062,12.693853314671497,6.997103380475378,4.805821092678463,3.38540856853426,2.625229720447888,2.6113497806515173
2025-04-01,53.267038682372814,13.61445243209072,12.693902087155026,6.996746043571356,4.805839557664964,3.38542157599382,2.6252398071386773,2.611359814012626
2025-04-02,53.27031349631397,13.615289437483339,12.695066742750482,6.990644034753113,4.8061350167475725,3.385629708941474,2.6254012047333615,2.6115203582766933
2025-04-03,53.27092756875648,13.61544638745212,12.695213084871092,6.989571871316389,4.806190419370067,3.3856687367182663,2.6254314689917173,2.6115504625238772
2025-04-09,53.27174635403613,13.615655659705991,12.695408212946957,6.988142281615543,4.806264291520341,3.385720775153675,2.625471822421584,2.611590602599776
2025-04-11,53.272155756114714,13.615760298245364,12.695505779234276,6.987427470285176,4.806301228447057,3.385746794971265,2.625491999601701,2.61161067310045
2025-05-02,53.27481702301633,13.61644048795625,12.696139996657054,6.982780928819114,4.80654133230989,3.3859159335344566,2.6256231588322563,2.6117411388746534
