date,WELL LINK INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,HANG SENG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,48.75127057083,28.665452713478075,0.0,22.583276715691927
2024-03-04,0.0,0.0,0.0,0.0,48.72965993052859,28.674909969094266,0.0,22.595430100377143
2024-03-05,0.0,47.88339778174014,0.0,0.0,25.384990277606352,14.95797277267934,0.0,11.773639167974165
2024-03-06,0.0,47.867952688560806,0.0,0.0,25.379862105077606,14.969380733428661,0.0,11.782804472932924
2024-03-07,0.0,47.85238990190714,0.0,0.0,25.37620039305475,14.990305211270677,0.0,11.781104493767439
2024-03-08,0.0,47.84134610779935,0.0,0.0,25.37034385103139,15.001269915195515,0.0,11.787040125973741
2024-03-11,0.0,47.83030741008265,0.0,0.0,25.36449001163253,15.0151137531866,0.0,11.79008882509821
2024-03-12,0.0,47.8192738052301,0.0,0.0,25.358638872987832,15.03471826137526,0.0,11.78736906040681
2024-03-13,0.0,47.80824528971799,0.0,0.0,25.352790433228673,15.051430863222768,0.0,11.787533413830573
2024-03-14,0.0,47.79722186002589,0.0,0.0,25.346944690488154,15.071017956906054,0.0,11.784815492579895
2024-03-15,0.0,47.78482657638733,0.0,0.0,25.340371451362888,15.08727974041119,0.0,11.787522231838587
2024-03-18,0.0,47.773813942388635,0.0,0.0,25.33453143359618,15.103968192420004,0.0,11.787686431595185
2024-03-19,0.0,31.117834875483787,34.84923263133485,0.0,16.501838575188764,9.851218824692175,0.0,7.679875093300424
2024-03-20,0.0,31.110579434494124,34.84530955968358,0.0,16.499980918930067,9.865119537743539,0.0,7.679010549148689
2024-03-21,0.0,31.108927650525704,34.83000776260012,0.0,16.499104869545693,9.873976318366264,0.0,7.687983398962225
2024-03-22,0.0,31.104842719188497,34.82543421407466,0.0,16.496938362513546,9.885810818821263,0.0,7.686973885402031
