date,KGI ASIA LTD,SOOCHOW SECURITIES INTERNATIONAL,HEAD & SHOULDERS SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,MIGHTY DIVINE SECURITIES LTD,SUNHIGH FINANCIAL HOLDINGS LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44720000000000004,0.44720000000000004
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4488,0.4488
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4528,0.4528
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536,0.4536
2024-03-07,16.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.4544,16.520000000000003
2024-03-08,16.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.45519999999999994,16.520799999999998
2024-03-19,16.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.45599999999999996,16.5216
2024-03-22,16.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.4568,16.5216
2024-04-09,16.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.4576,16.5224
2024-04-10,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.4608,16.524
2024-04-16,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.45999999999999996,16.5232
2024-04-17,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.46480000000000005,16.528000000000002
2024-04-18,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.5928,16.656000000000002
2024-04-22,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.58,16.6432
2024-04-29,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.5832,16.6464
2024-05-06,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.5856,16.6488
2024-05-07,16.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.5848,16.648
2024-05-13,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.5896,16.652
2024-05-16,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.436,16.4984
2024-05-17,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.43439999999999995,16.4968
2024-05-20,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.42719999999999997,16.4896
2024-05-21,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.424,16.4864
2024-05-24,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.42319999999999997,16.4856
2024-05-29,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.42240000000000005,16.4848
2024-06-03,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.6008,16.6632
2024-06-04,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.4352,16.497600000000002
2024-06-05,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.4496,16.512
2024-06-06,16.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.45120000000000005,16.5136
2024-06-07,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.45120000000000005,16.5128
2024-06-12,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.4528,16.514400000000002
2024-06-19,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.4544,16.516000000000002
2024-06-21,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.46880000000000005,16.5304
2024-06-24,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.46480000000000005,16.5264
2024-06-25,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.464,16.525599999999997
2024-06-28,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.544,16.605600000000003
2024-07-02,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.43439999999999995,16.496
2024-07-04,16.061600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.47280000000000005,16.534399999999998
2024-07-05,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,16.528000000000002
2024-07-08,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.47280000000000005,16.5288
2024-07-09,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,16.528000000000002
2024-07-10,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.46959999999999996,16.525599999999997
2024-07-12,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.47359999999999997,16.5296
2024-07-15,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.5528,16.608800000000002
2024-07-16,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.5536,16.6096
2024-07-19,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.504,16.56
2024-07-22,16.056,0.0,0.0,0.0,0.0,0.0,0.0,0.5048,16.5608
2024-07-24,16.054399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.5048,16.5592
2024-07-26,16.054399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.5024,16.5568
2024-07-30,16.054399999999998,0.0,0.0,0.0,0.9568,2.6032,0.0,0.5064,20.1208
2024-07-31,16.054399999999998,0.0,0.0,0.0,1.1568,2.4032,0.0,0.5087999999999999,20.1232
2024-08-01,16.054399999999998,0.0,0.0,0.0,1.3552,2.2048,0.0,0.5048,20.1192
2024-08-02,16.054399999999998,0.0,0.0,0.0,1.3552,2.2048,0.0,0.5008,20.1152
2024-08-05,16.054399999999998,0.0,0.0,0.0,1.3552,2.2048,0.0,0.5,20.1144
2024-08-08,16.054399999999998,0.0,0.0,0.0,1.3552,2.2048,0.0,0.5015999999999999,20.116
2024-08-12,16.054399999999998,0.0,0.0,0.0,1.3552,2.2048,0.0,0.5024,20.1168
2024-08-14,16.054399999999998,0.0,0.0,0.0,1.5552,2.0048,0.0,0.5048,20.1192
2024-08-15,16.054399999999998,0.0,0.0,0.0,1.8552,1.7048,0.0,0.5048,20.1192
2024-08-19,16.054399999999998,0.0,0.0,0.0,1.8552,1.7048,0.0,0.5055999999999999,20.119999999999997
2024-08-21,16.054399999999998,0.0,0.0,0.0,1.8552,1.7048,0.0,0.508,20.1224
2024-08-28,16.054399999999998,0.0,0.0,0.0,1.8552,1.7048,0.0,0.504,20.1184
2024-09-02,16.054399999999998,0.0,0.0,0.0,1.8552,1.7048,0.0,0.5104,20.1248
2024-09-04,16.053600000000003,0.0,0.0,0.0,1.8552,1.7048,0.0,0.5104,20.124
2024-09-10,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5104,20.8032
2024-09-12,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5095999999999999,20.8024
2024-09-19,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5136,20.8064
2024-09-20,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5112,20.804000000000002
2024-10-02,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5168,20.8096
2024-10-04,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5176000000000001,20.8104
2024-10-08,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5112,20.804000000000002
2024-10-15,16.053600000000003,0.0,0.0,0.0,1.8984,1.7048,0.636,0.5127999999999999,20.8056
2024-10-16,16.0528,0.0,0.0,2.5976,1.8984,1.7048,0.636,0.5127999999999999,23.4024
2024-10-18,16.0528,0.0,0.0,2.5976,1.8984,1.7048,0.636,0.5176000000000001,23.4072
2024-10-21,16.0528,0.0,0.0,2.5976,1.8984,1.7048,0.636,0.5216000000000001,23.411199999999997
2024-10-22,16.0528,0.0,0.0,2.5976,1.8984,1.7048,0.636,0.5264,23.416
2024-10-25,16.052,0.0,0.0,2.5976,1.8984,1.7048,0.636,0.5264,23.4152
