date,KINGSTON SECURITIES LTD,GET NICE SECURITIES LTD,OSHIDORI SECURITIES LTD,CEPA ALLIANCE SECURITIES LTD,KGI ASIA LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,PLANETREE SECURITIES LTD,HOPE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,41.05360055407554,0.0,0.0,58.94639944592447
2024-03-05,0.0,0.0,0.0,0.0,0.0,44.018253509158654,22.9825225875452,0.0,0.0,32.99922390329614
2024-03-06,0.0,0.0,0.0,0.0,0.0,43.999695818071544,23.014226659685878,0.0,0.0,32.986077522242574
2024-03-07,0.0,0.0,0.0,0.0,0.0,44.00171846479399,23.015284613593455,0.0,0.0,32.98299692161256
2024-03-08,0.0,0.0,0.0,0.0,0.0,43.9873327705488,23.023604336818106,0.0,0.0,32.9890628926331
2024-03-11,0.0,0.0,0.0,0.0,0.0,43.91408984494834,23.03200446777384,0.0,0.0,33.053905687277826
2024-03-14,0.0,40.849804354642814,0.0,0.0,0.0,25.975270059164874,13.623475703735636,0.0,0.0,19.551449882456676
2024-03-15,0.0,40.84881492218079,0.0,0.0,0.0,25.974640906202882,13.625567849302683,0.0,0.0,19.550976322313637
2024-03-19,0.0,40.97286656969363,0.0,0.0,0.0,25.75469608933586,13.662087672627429,0.0,0.0,19.610349668343083
2024-03-21,80.4040410518598,6.083320266900333,0.0,4.750660429615534,0.0,3.8237590625410487,2.028075711760663,0.0,0.0,2.910143477322608
2024-03-22,80.3642105160201,6.079570309022621,0.0,4.815143034382338,0.0,3.821401972203874,2.0113245988125286,0.0,0.0,2.9083495695585473
2024-03-25,80.37954095341868,6.078283013121848,0.0,4.83466687763545,0.0,3.8205928237206797,2.0108987184000044,0.0,0.0,2.876017613703339
2024-03-26,74.15227862559318,5.599219331855368,0.0,4.482171982319219,7.780301185265677,3.519470408262129,1.8172159818875784,0.0,0.0,2.6493424848168483
2024-03-27,74.1480936483231,5.598903325306838,0.0,4.4892227097627915,7.77986208367341,3.5192717777691183,1.8171134225634415,0.0,0.0,2.6475330326013036
2024-04-03,74.14861059053106,5.598942359478923,0.0,4.489254007515511,7.779916322951662,3.51929631326334,1.8171260910297309,0.0,0.0,2.646854315229773
2024-04-05,74.14909676894673,5.5989790706850275,0.0,4.489283442704971,7.779967334391549,3.518663707536977,1.8171380055818305,0.0,0.0,2.64687167015291
2024-04-11,74.14934293766447,5.598997658821074,0.0,4.489298346745571,7.7799931632238115,3.518343397676496,1.8171440383260213,0.0,0.0,2.646880457542554
