date,THE HONGKONG AND SHANGHAI BANKING,ABCI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,HANG SENG SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD
2024-03-01,63.21410099452975,0.0,5.243235459004237,9.928558991804866,9.346781169904919,0.0,2.229076527833165,2.380601394598111,2.131779005237291,5.525866457087653
2024-03-04,63.21225866560852,0.0,5.271406018109425,9.930303234322041,9.370485845876008,0.0,2.2311142532460644,2.3718798651360395,2.0822820439093532,5.530270073792549
2024-03-05,63.31195631281983,0.0,5.245427841263411,9.959294414211103,9.312849446597191,0.0,2.2290042347756533,2.369588730048362,2.046839056059387,5.52503996422506
2024-03-06,63.37502407361914,0.0,5.254796257569432,9.98466701171584,9.207371471332227,0.0,2.2306332395147024,2.5126133490633693,1.9043915591690588,5.530503038016233
2024-03-07,63.5022732304639,0.0,5.271298967110482,9.84589245748441,9.23282748511138,0.0,2.231193668266847,2.400173229746266,1.9864763016045717,5.529864660212138
2024-03-08,58.24382283685432,8.20020918994949,4.855422918575543,9.029466435637966,8.515245941718904,0.0,2.0434586013005878,2.201056253044512,1.8395364038258109,5.0717814190928685
2024-03-11,58.266987408924166,8.208240088804269,4.883690238845371,9.051073207288276,8.50755872516772,0.0,2.0454598684586363,2.20321186392375,1.7570301155278178,5.076748483059994
2024-03-12,58.2395505536346,8.206230161456608,4.88273424526101,9.05130348137908,8.530277144915592,0.0,2.0449590027817464,2.2026723699847226,1.7667676858346453,5.075505354751988
2024-03-13,58.25494845852658,8.207047832882592,4.882549084409067,9.078064961898244,8.485740857723693,0.0,2.0431957059513484,2.2028918449716905,1.769550173890568,5.0760110797462135
2024-03-14,58.47444381199276,8.21701906825353,4.881978538407312,8.902685693429856,8.467336084604007,0.0,2.040294889796696,2.18221230392257,1.750662719182015,5.083366890411261
2024-03-15,58.423840676799365,8.222010124174464,4.910285137140442,8.93225342032683,8.500778654780987,0.0,2.038413250064513,2.2472413409487637,1.639912226372247,5.085265169392386
2024-03-18,58.338954959206234,8.226604324471767,4.912157383812476,8.961679997374848,8.475697436639756,0.0,2.039563253108642,2.315112455690113,1.6426614015510315,5.087568788145127
