date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,MERRILL LYNCH FAR EAST LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA INTERNATIONAL CAPITAL CORPORATION,UBS SECURITIES HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,57.83568347086211,0.0,0.0,0.0,42.16431652913789
2024-03-04,0.0,42.333883996457985,0.0,0.0,33.35234238334792,0.0,0.0,0.0,24.313773620194098
2024-03-05,0.0,30.24832065102351,28.583532498047624,0.0,23.815341246973457,0.0,0.0,0.0,17.35280560395541
2024-03-06,0.0,26.461542518281473,25.00429670660469,0.0,20.83355707017818,12.521760170297993,0.0,0.0,15.178843534637664
2024-03-07,0.0,26.315737319704187,25.058832931845345,0.0,20.879783263070532,12.548283375156977,0.0,0.0,15.197363110222964
2024-03-08,0.0,23.251223747033485,22.140224826684705,11.655983674921263,18.449376936445542,11.087168274464606,0.0,0.0,13.4160225404504
2024-03-11,0.0,23.251223747033485,22.14007041211658,11.655983674921263,18.449994594718042,11.087168274464606,0.0,0.0,13.415559296746027
2024-03-12,0.0,23.25118784381219,22.140036224675256,11.655965676412203,18.449502862293503,11.08776881160678,0.0,0.0,13.415538581200066
2024-03-13,0.0,23.254588362739938,22.138170403701853,11.657747798491046,18.438424257974738,11.097958146669988,0.0,0.0,13.413111030422437
2024-03-14,0.0,23.220386911453055,22.148110480627807,11.65972857338166,18.457003559580674,11.099843807366549,0.0,0.0,13.41492666759026
2024-03-15,0.0,23.221176016230043,22.14592822679955,11.660124809135644,18.45809419728023,11.100375485831455,0.0,0.0,13.41430126472308
2024-03-18,0.0,23.541242824856685,22.45056983428243,11.820605103798568,17.35116533377084,11.253151854694988,0.0,0.0,13.583265048596491
2024-03-19,0.0,23.541242824856685,22.45010004802938,11.820605103798568,17.35163512002389,11.253151854694988,0.0,0.0,13.583265048596491
2024-03-20,0.0,23.54273504534496,22.44955995181198,11.820568082862644,17.350954396754137,11.253116610965067,0.0,0.0,13.583065912261208
2024-03-21,0.0,23.54133419300921,22.442587064221662,11.819864729136881,17.34976538543258,11.26747924054539,0.0,0.0,13.57896938765428
2024-03-22,0.0,23.534737682783803,22.432071806819863,11.816552688370228,17.346625771913153,11.30470975057282,0.0,0.0,13.565302299540132
2024-03-25,0.0,23.533006250924604,22.42619518137696,11.81568335402428,17.345349594506125,11.318435382190202,0.0,0.0,13.561330236977826
2024-03-26,0.0,23.526708935103336,22.419411601065114,11.812521535728266,17.341646994910015,11.348895127452623,0.0,0.0,13.550815805740646
2024-03-27,0.0,23.526156699759884,22.418885356978038,11.812244263972776,17.341552908972297,11.352227885349764,0.0,0.0,13.548932884967238
2024-03-28,0.0,23.526598485960616,22.419306350271285,11.812466080335819,17.34250450789902,11.352441063290016,0.0,0.0,13.546683512243252
2024-04-02,0.0,23.525751743651124,22.422724473336093,11.812040939624737,17.341880336396787,11.352032479270951,0.0,0.0,13.545570027720311
2024-04-03,0.0,18.82350007381834,22.41266403265222,11.8092136083755,17.38544495688538,16.042650464689466,0.0,0.0,13.526526863579091
2024-04-05,0.0,18.823032568384505,22.41322506080329,11.809509213630932,17.38760107761048,16.043052040268137,0.0,0.0,13.52358003930266
2024-04-08,0.0,18.822336857298897,22.415428792391833,11.809269033233646,17.387247450642658,16.042725758579117,0.0,0.0,13.52299210785385
2024-04-09,0.0,18.820364138505916,22.42074450462731,11.808031335325579,17.3955930146324,16.041044363392405,0.0,0.0,13.514222643516385
2024-04-10,0.0,18.81980478604541,22.424145175794123,11.807680393583297,17.399612308888543,16.043383249493353,0.0,0.0,13.505374086195268
2024-04-11,0.0,18.81948096560684,22.409212137889497,11.807477226319502,17.44170315237352,16.0432636226823,0.0,0.0,13.478862895128344
2024-04-12,0.0,18.81930434097353,22.409001822903456,11.807366410758794,17.44263439871489,16.04311305340998,0.0,0.0,13.478579973239347
2024-04-15,0.0,18.807112231810173,22.41520441707206,11.805113612078728,17.45948074796862,16.039895700878986,0.0,0.0,13.473193290191432
2024-04-16,0.0,18.807112231810173,22.414891636688882,11.805113612078728,17.459949918543387,16.039895700878986,0.0,0.0,13.47303689999984
2024-04-17,0.0,18.805965215094,22.41336820642759,11.804393636439595,17.480309212717394,16.03031651647582,0.0,0.0,13.465647212845594
2024-04-18,0.0,18.801496125909917,22.408041846398493,11.801588415472633,17.503827953118652,16.026507038294728,0.0,0.0,13.458538620805577
2024-04-19,0.0,18.801496125909917,22.407885502907526,11.801588415472633,17.504296983591548,16.026507038294728,0.0,0.0,13.458225933823648
2024-04-22,0.0,18.79485522150275,22.399970780345292,11.797419958877743,17.539999520820167,16.020846291910008,0.0,0.0,13.446908226544032
2024-04-23,0.0,18.78510806001275,22.388353977236452,11.791301723001524,17.586200492055855,16.01253775352685,0.0,0.0,13.436497994166565
2024-04-24,0.0,18.77800956935438,22.37989389699332,11.786846042211009,17.621402757567648,16.006486957902087,0.0,0.0,13.427360775971556
2024-04-25,0.0,18.774051998159276,22.373772170887097,11.784518013353757,17.647194735655383,16.003113500694845,0.0,0.0,13.417349581249644
2024-04-26,0.0,18.771414543988346,22.371409480320136,11.782862476968232,17.66048101507629,16.001177505780955,0.0,0.0,13.412654977866042
2024-04-29,0.0,18.76804554186188,22.358030448627435,11.780903811488434,17.689304791210414,15.998461757649295,0.0,0.0,13.40525364916254
2024-04-30,0.0,18.756804759836946,22.344639509958874,11.774003823712555,17.746557860904574,15.989035739688518,0.0,0.0,13.388958305898532
2024-05-02,0.0,18.75218355535681,22.339134353321988,11.771103005587298,17.773684109333722,15.991957514875777,0.0,0.0,13.3719374615244
2024-05-03,0.0,18.749201455457005,22.33573774072079,11.76923108464593,17.790190287892933,15.989414364913424,0.0,0.0,13.366225066369916
2024-05-06,0.0,18.745343674994636,22.332856647236497,11.766809482326318,17.82471958703811,15.985968553557056,0.0,0.0,13.344302054847379
2024-05-07,0.0,18.743356953038546,22.330645563384078,11.765562379090603,17.850417663592914,15.984274283488425,0.0,0.0,13.325743157405434
2024-05-08,0.0,18.723104757626356,22.30822991088725,11.752849690054553,17.95801896663449,15.967003276639316,0.0,0.0,13.290793398158035
2024-05-09,0.0,18.721851378344578,22.305024039591352,11.752062919991895,17.973319012322932,15.96593439883523,0.0,0.0,13.281808250914015
