date,KINGSTON SECURITIES LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,IFAST SECURITIES (HK) LTD,REALINK FINANCIAL TRADE LTD,CINDA INTERNATIONAL SECURITIES LTD
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,41.57150776584868,0.0,0.0,58.42849223415132,0.0,0.0,0.0
2024-03-18,0.0,0.0,24.781016139595753,0.0,40.64467577221819,34.57430808818605,0.0,0.0,0.0
2024-03-19,0.0,0.0,18.1564833534452,26.742268435623867,29.769443989351664,25.33180422157927,0.0,0.0,0.0
2024-03-22,0.0,0.0,18.16737222071161,26.738710511632704,29.76548331491492,25.32843395274077,0.0,0.0,0.0
2024-04-03,0.0,0.0,18.19641283297311,26.661983869316664,29.79124655344173,25.3503567442685,0.0,0.0,0.0
2024-04-15,0.0,0.0,18.50946513928849,27.02180655402801,30.193300892994962,24.27542741368854,0.0,0.0,0.0
2024-04-23,0.0,0.0,18.493865886372465,26.99903334089019,30.167854834264734,24.33924593847261,0.0,0.0,0.0
2024-04-24,0.0,0.0,18.810932304440144,27.46191583637718,28.970623910794206,24.756527948388467,0.0,0.0,0.0
2024-04-25,0.0,0.0,18.80577368214925,27.45438480873371,28.962679142089037,24.777162367027998,0.0,0.0,0.0
2024-04-29,0.0,0.0,18.86695993443864,27.433695764801186,28.940853479436292,24.758490821323882,0.0,0.0,0.0
2024-04-30,0.0,42.77935597948071,10.740414566363858,15.780602821377537,16.546233259789076,14.153393372988813,0.0,0.0,0.0
2024-05-02,0.0,42.7776806907635,10.741952016823628,15.779984834845198,16.54754334772016,14.152839109847513,0.0,0.0,0.0
2024-05-08,0.0,42.726647340878834,10.977513603265272,15.729867925238636,16.52780229220337,14.038168838413888,0.0,0.0,0.0
2024-05-09,0.0,42.727482971444445,10.975772537319562,15.73017556366218,16.52812553630599,14.038443391267826,0.0,0.0,0.0
2024-05-17,0.0,42.72497617779942,10.980995530862279,15.729252684489436,16.527155841927172,14.037619764921693,0.0,0.0,0.0
2024-05-20,0.0,42.16995668058531,12.069839949311893,15.621433579712404,16.28350595310192,13.855263837288476,0.0,0.0,0.0
2024-05-21,0.0,42.1927604855441,12.051260138637218,15.60091175915344,16.292311413743306,13.862756202921936,0.0,0.0,0.0
2024-05-22,0.0,42.01424930563602,12.423357937961336,15.534906664115336,16.22338111147276,13.804104980814543,0.0,0.0,0.0
2024-05-24,0.0,41.74690354520009,12.846865757631202,15.569815996992281,16.120148226635603,13.71626647354082,0.0,0.0,0.0
