date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA MERCHANTS BANK CO LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,50.22603624114015,49.77396375885986,0.0,0.0,0.0,0.0
2024-03-06,0.0,42.82690411067029,0.0,0.0,28.65250731009351,28.520588579236193,0.0,0.0,0.0,0.0
2024-03-07,0.0,42.881706930093856,0.0,0.0,28.561208537992105,28.55708453191404,0.0,0.0,0.0,0.0
2024-03-08,0.0,42.86834825091227,0.0,0.0,28.580149348563626,28.551502400524104,0.0,0.0,0.0,0.0
2024-03-11,0.0,42.868632391468644,0.0,0.0,28.57967596255908,28.551691645972284,0.0,0.0,0.0,0.0
2024-03-12,0.0,42.86664348667082,0.0,0.0,28.582989532813503,28.55036698051568,0.0,0.0,0.0,0.0
2024-03-13,0.0,37.710528731106685,0.0,0.0,25.118322461960886,25.118194177005947,0.0,12.052954629926479,0.0,0.0
2024-03-14,0.0,37.71712674006705,0.0,0.0,25.10522081645265,25.122588972725463,0.0,12.055063470754837,0.0,0.0
2024-03-15,0.0,37.747948001444286,0.0,0.0,25.044019135292928,25.143118370060986,0.0,12.064914493201798,0.0,0.0
2024-03-18,0.0,37.79714602354105,0.0,0.0,24.9463267785395,25.17588814321805,0.0,12.08063905470139,0.0,0.0
2024-03-19,0.0,37.73605434281963,0.0,0.0,24.97538215425249,25.197536495656532,0.0,12.091027007271347,0.0,0.0
2024-03-20,0.0,37.75858316961389,0.0,0.0,24.930591657466657,25.212579693607108,0.0,12.098245479312352,0.0,0.0
2024-03-21,0.0,37.74978020945153,0.0,0.0,24.942888401883053,25.21021878860088,0.0,12.097112600064541,0.0,0.0
2024-03-22,0.0,37.75386507183429,0.0,0.0,24.94055018627043,25.2090385018963,0.0,12.096546239998988,0.0,0.0
2024-03-25,0.0,37.75015799452285,0.0,0.0,24.94792032394729,25.20656320951244,0.0,12.095358472017415,0.0,0.0
2024-03-26,0.0,37.766025978893616,0.0,0.0,24.90190566546025,25.22693465453225,0.0,12.105133701113884,0.0,0.0
2024-03-27,0.0,37.771334856205705,0.0,0.0,24.891348913489132,25.230480876237333,0.0,12.106835354067828,0.0,0.0
2024-03-28,0.0,37.773989854614044,0.0,0.0,24.88899823100083,25.22932555442308,0.0,12.107686359962043,0.0,0.0
2024-04-02,0.0,37.776866524120564,0.0,0.0,24.8832781699423,25.23124688790604,0.0,12.108608418031107,0.0,0.0
2024-04-03,0.0,37.73597050734391,0.0,0.0,24.85458482064486,25.313944642752652,0.0,12.095500029258588,0.0,0.0
2024-04-05,0.0,37.7487824295214,0.0,0.0,24.829071836658237,25.32253910274422,0.0,12.099606631076144,0.0,0.0
2024-04-08,0.0,33.67238777524241,0.0,0.0,22.1525431693932,22.588022745192234,0.0,10.79300099732133,0.0,10.794045312850825
2024-04-09,0.0,33.67695979361523,0.0,0.0,22.14197308433471,22.59108973455117,0.0,10.794466465086403,0.0,10.795510922412488
2024-04-10,0.0,33.675904602257,0.0,0.0,22.142323740293378,22.590381893855128,0.0,10.794128244896681,0.0,10.79726151869781
