date,CITIBANK N.A.,CHINA CITIC BANK INTERNATIONAL LTD,DBS BANK LTD,LIVERMORE HOLDINGS LTD,CMB INTERNATIONAL SECURITIES LTD,MIB SECURITIES (HONG KONG) LTD,CHINA SECURITIES (INTERNATIONAL),FUTU SECURITIES INTERNATIONAL,SPDB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.61538461538461,0.0,16.384615384615383
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.6489252814739,0.0,16.3510747185261
2024-03-06,0.0,0.0,0.0,70.00666518551432,0.0,1.3922831963267424,0.0,23.86876990298452,0.0,4.732281715174405
2024-03-07,0.0,0.0,0.0,70.03259742184026,0.0,1.3927989331752852,0.0,23.840568973181213,0.0,4.73403467180323
2024-03-08,0.0,0.0,0.0,70.10530999703352,0.0,1.3942450311480272,0.0,23.761495105309997,0.0,4.738949866508454
2024-03-11,0.0,0.0,0.0,69.8566361217854,0.0,1.3892994383683122,0.0,24.046704108779192,0.0,4.7073603310671
2024-03-12,0.0,0.0,0.0,69.77928692699491,0.0,1.387761127925002,0.0,24.130803868015057,0.0,4.702148077065033
2024-03-13,0.0,0.0,0.0,69.73810402065659,0.0,1.3869420877904832,0.0,24.17558096643305,0.0,4.6993729251198815
2024-03-14,0.0,0.0,0.0,69.7329595750959,0.0,1.3868397757450575,0.0,24.25494246090292,0.0,4.625258188256122
2024-03-15,0.0,0.0,0.0,69.68669369701438,0.0,1.3859196461481755,0.0,24.312569111684482,0.0,4.614817545152968
2024-03-18,0.0,0.0,0.0,69.79989662556302,0.0,1.388171010854316,0.0,24.189618252972014,0.0,4.622314110610647
2024-03-19,0.0,0.0,0.0,69.69830757910228,0.0,1.3833701250919794,0.0,24.311994113318615,0.0,4.606328182487123
2024-03-20,0.0,0.0,0.0,69.5879323031641,0.0,0.5371596762325239,0.0,25.268579838116263,0.0,4.606328182487123
