date,KOALA SECURITIES LTD,RAFFAELLO SECURITIES (HK) LTD,FUTU SECURITIES INTERNATIONAL,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,SOOCHOW SECURITIES INTERNATIONAL,ASTRUM CAPITAL MANAGEMENT LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,47.09331752890924,0.0,0.0,52.90668247109076,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,47.00944375502604,0.0,0.0,52.99055624497395,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,47.53345268655727,0.0,0.0,52.466547313442724,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,47.55814711303456,0.0,0.0,52.44185288696544,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,47.6074662940293,0.0,0.0,52.3925337059707,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,47.787512363139314,0.0,0.0,52.212487636860686,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,47.80381884557916,0.0,0.0,52.19618115442084,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,29.314818202207928,0.0,38.67682768838262,32.008354109409446,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,37.51290257536057,0.0,35.143271467157625,27.343825957481815,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,23.657301401617286,0.0,31.10076823140453,33.739007995249295,0.0,0.0,0.0,11.502922371728888
2024-03-28,0.0,0.0,23.93259571793515,0.0,30.98861782430055,33.61734400760121,0.0,0.0,0.0,11.461442450163085
2024-04-02,0.0,0.0,21.60334648277332,0.0,27.972638478947626,30.345522858706914,0.0,0.0,9.732539096945032,10.345953082627107
2024-04-03,0.0,0.0,26.647923612923453,0.0,26.172687511527187,28.392884273415213,0.0,0.0,9.106280934841816,9.680223667292323
2024-04-10,0.0,0.0,26.65742887553283,0.0,26.16929594744007,28.389205007134706,0.0,0.0,9.10510090564641,9.678969264245985
2024-04-11,0.0,0.0,26.073664686978415,0.0,26.455825131798434,28.323061211117455,0.0,0.0,9.415513333863105,9.731935636242586
2024-04-12,0.0,0.0,25.909555479936703,0.0,26.514554466420936,28.385935626529356,0.0,0.0,9.436414849142718,9.753539577970285
2024-04-15,0.0,0.0,23.545196050459875,0.0,24.09498625269362,25.79559575693655,0.0,9.125434171603944,8.575301023924741,8.86348674438127
2024-04-19,0.0,0.0,23.57253462054591,0.0,24.15949186627639,25.632635473942678,0.0,9.149864222083124,8.598258291814584,8.887215525337313
2024-04-23,0.0,0.0,23.717756398752886,0.0,24.113585798974817,25.583930248861936,0.0,9.13247833147317,8.581920521715567,8.870328700221625
2024-04-24,0.0,0.0,23.907768951813445,0.0,24.113585798974817,25.393917695801377,0.0,9.13247833147317,8.581920521715567,8.870328700221625
2024-04-26,0.0,0.0,24.590237264056807,0.0,24.13651700506543,24.66323699898685,0.0,9.14116301008061,8.590081638431151,8.878764083379151
