date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,DBS BANK LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,TOTAL_CCASS_PCT
2024-03-01,7.975463100088715,0.0,2.494744884826893,0.0,0.0,0.0,0.0,0.0,0.0,10.470207984915607
2024-03-04,7.973039832242719,0.0,2.49694785559598,0.0,0.0,0.0,0.0,0.0,0.0,10.469987687838698
2024-03-05,7.970616564396722,0.0,2.5037770649801496,0.0,0.0,0.0,0.0,0.0,0.0,10.474393629376873
2024-03-06,7.9781066650116195,2.798646795244686,2.5070815211337805,0.0,0.0,0.0,0.0,0.0,0.0,13.283834981390086
2024-03-07,7.982292309472884,2.798646795244686,2.5070815211337805,0.0,0.0,0.0,0.0,0.0,0.0,13.288020625851352
2024-03-08,7.984715577318879,2.798646795244686,2.5070815211337805,0.0,0.0,0.0,0.0,0.0,0.0,13.290443893697345
2024-03-11,7.984715577318879,2.798646795244686,2.5015740942110627,0.0,0.0,0.0,0.0,0.0,0.0,13.284936466774628
2024-03-12,7.984715577318879,2.798646795244686,2.501353797134154,0.0,0.0,0.0,0.0,0.0,0.0,13.284716169697719
2024-03-13,7.984715577318879,2.798646795244686,2.499811717595793,0.0,0.0,0.0,0.0,0.0,0.0,13.283174090159358
2024-03-14,7.985817062703424,2.799307686475412,2.496066667288345,0.0,0.0,0.0,0.0,0.0,0.0,13.28119141646718
2024-03-18,7.985817062703424,2.799307686475412,2.496066667288345,0.0,0.0,0.0,0.6776351303536465,0.0,0.0,13.958826546820827
2024-03-19,7.988020033472511,2.799307686475412,2.495626073134528,0.0,0.0,1.1301472458832849,0.6776351303536465,0.0,0.0,15.090736169319383
2024-03-20,7.9906635983954155,2.799307686475412,2.495626073134528,0.0,0.0,1.132350216652372,0.6776351303536465,0.0,0.0,15.095582705011374
2024-03-21,7.9911041925492325,2.799307686475412,2.495626073134528,0.0,0.0,1.132350216652372,0.6776351303536465,0.0,0.0,15.09602329916519
2024-03-25,7.994408648702864,2.799307686475412,2.4887968637503577,0.0,0.0,1.132350216652372,0.6776351303536465,0.0,0.0,15.092498545934651
2024-03-27,7.994408648702864,2.799307686475412,2.490999834519445,0.0,0.0,1.132350216652372,0.6776351303536465,0.0,0.0,15.094701516703738
2024-03-28,7.981650253642234,2.799307686475412,2.5037770649801496,0.0,0.0,1.132350216652372,0.6793975069689163,0.0,0.5309159553499858,15.62739868406907
2024-04-02,7.981650253642234,2.799307686475412,2.5092844919028674,0.0,0.0,1.1325705137292805,0.6793975069689163,0.0,0.5309159553499858,15.633126408068696
2024-04-05,7.979447282873147,2.799307686475412,2.5114874626719548,0.0,0.0,1.1347734844983677,0.6793975069689163,0.0,0.5309159553499858,15.635329378837785
2024-04-08,7.979447282873147,2.799307686475412,2.5084033035952324,0.0,0.0,1.1347734844983677,0.6793975069689163,0.0,0.5309159553499858,15.632245219761062
2024-04-09,7.980548768257691,2.800188874783047,2.50201468836488,0.0,0.0,1.1347734844983677,0.6793975069689163,0.0,0.5309159553499858,15.627839278222888
2024-04-10,7.984514115642047,2.803933925090495,2.4987102322112493,0.0,0.0,1.12926605757565,0.6793975069689163,0.0,0.5309159553499858,15.626737792838345
