date,THE HONGKONG AND SHANGHAI BANKING,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,TELECOM KING SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,HAFOO SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,55.892625486478394,44.107374513521606,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,56.387798248263366,43.612201751736634,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,56.41051465404371,43.58948534595629,0.0
2024-03-14,0.0,0.0,0.0,0.0,41.473622163277334,33.01503094606543,25.511346890657233,0.0
2024-03-15,0.0,0.0,0.0,0.0,40.17363382291729,33.42451091157757,26.40185526550514,0.0
2024-03-18,0.0,0.0,0.0,0.0,40.21189214927683,33.45634188441164,26.331765966311526,0.0
2024-03-19,0.0,0.0,0.0,0.0,41.41644717588528,32.90020485806263,25.683347966052096,0.0
2024-03-20,0.0,0.0,0.0,0.0,41.40675288197086,32.91591081982562,25.677336298203524,0.0
2024-03-28,53.41814129223409,0.0,0.0,0.0,19.234010166082253,15.289896436434805,12.057952105248852,0.0
2024-04-12,36.45943488989072,0.0,31.6728817647168,0.0,13.127771284391757,10.435798964768743,8.304113096231982,0.0
2024-04-16,36.46214074994898,0.0,31.081507319516856,0.0,13.128745570254374,10.436573464200235,8.89103289607956,0.0
2024-04-17,32.42208767096167,0.0,27.63763549073631,11.61467012027123,10.882153993367758,9.280187418540576,8.16326530612245,0.0
2024-04-18,32.729963008631316,0.0,27.541307028360052,11.574188244965065,10.844225236333745,9.247842170160297,8.062474311549527,0.0
2024-04-19,32.51400480164628,0.0,27.35958451060772,11.497819660618335,10.772673079749792,9.186823237354847,8.669094710023028,0.0
2024-04-25,32.51400480164628,0.0,27.366117362687614,11.497819660618335,10.772673079749792,9.186823237354847,8.662561857943132,0.0
2024-04-26,32.51400480164628,0.0,27.35958451060772,11.497819660618335,10.772673079749792,9.186823237354847,8.669094710023028,0.0
2024-04-29,32.56080208043702,0.0,27.398963052616082,11.514368427078391,10.78817814559788,9.200045795783517,8.537642498487104,0.0
2024-05-16,31.394206018626853,0.0,26.133757663686996,10.982667977098641,10.290011076270261,8.775214115224411,8.143398698928255,4.280744450164584
2024-05-17,31.500352195351024,0.0,25.426939031071456,11.019801205290756,10.32480237927526,8.804883775534163,8.628003443687875,4.295217969789465
2024-05-20,31.678272435646665,0.0,25.418981300367733,11.016352398090916,10.321571082074955,8.802128158985994,8.468820906032391,4.293873718801346
2024-05-21,30.628433902813622,0.0,25.720031033772976,11.146824580014883,10.443814620707128,8.90637617366246,8.809791472045854,4.344728216983073
2024-05-29,30.349718373942924,0.0,25.485981455041813,11.045389648085099,10.348777005507005,8.825329086715723,8.729623295730894,5.215181134976545
2024-06-06,30.35162317794549,0.0,25.487581001992687,11.046082877002494,10.349426513736997,8.81960679710668,8.730171182903677,5.215508449311974
2024-06-19,30.328781298505824,0.0,25.468399680155535,11.037769868769697,10.341637791818881,8.812969379595804,8.798858594252208,5.211583386902055
2024-07-10,30.330683475234014,0.0,25.46372516738009,11.038462141524374,10.342286404189597,8.813522116123368,8.799410445771986,5.211910249776565
2024-07-16,30.422323483816417,0.0,25.430231283569,11.023942625389518,10.328682607538248,8.801929189959443,8.787836081489484,5.205054728237892
2024-07-29,30.42041806936507,0.0,25.428638534408517,11.023252172551476,10.328035700305332,8.80137790652157,8.793548892194472,5.204728724653567
2024-08-01,30.407086848324543,0.0,25.417494874242873,11.018421423317108,10.323509617641994,8.84134412220431,8.789695271782511,5.202447842486658
2024-08-02,30.389963866164027,0.0,25.403181654648126,11.012216677877019,10.317696194215458,8.836365342802171,8.841058048772856,5.199518215520342
2024-08-07,30.43757539676323,0.0,25.286311864512996,11.029469363455483,10.333860784283006,8.850209152579549,8.85490921054693,5.20766422785881
2024-08-08,30.43948296122209,0.0,25.28789659224442,11.030160595377987,10.334508421464943,8.850763807285546,8.849197023110067,5.207990599294947
2024-08-09,30.39186546734454,0.0,25.40477121626907,11.01290574892452,10.318341806804849,8.836918263590144,8.835353930387173,5.199843566679703
2024-08-16,30.39376730651898,0.0,25.406360976830776,11.013594906212356,10.318987500195554,8.837471253578636,8.829649098105474,5.20016895855822
