date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,KGI ASIA LTD,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-01,62.316728327746894,0.0,31.9937022261014,0.0,0.0,0.0,0.0,5.6895694461517055,0.0,0.0
2024-03-04,40.67952165292965,28.40302951520271,20.885058272299894,0.0,0.0,0.0,6.3134433445396185,3.718947215028124,0.0,0.0
2024-03-05,35.21749135549472,24.606448829486105,18.082838930783325,13.405379879047668,0.0,0.0,5.467758016628191,3.2200829885599855,0.0,0.0
2024-03-06,35.209303575563276,24.60918916027316,18.080867702984133,13.403411940902185,0.0,0.0,5.4728925914190425,3.2243350288582038,0.0,0.0
2024-03-07,35.20616438473244,24.611265601636735,18.082247829328406,13.403815491068748,0.0,0.0,5.473354375855791,3.2231523173778873,0.0,0.0
2024-03-08,35.19886160432059,24.607394837328176,18.079617660565898,13.401138548408053,0.0,0.0,5.464849084280867,3.2481382650964177,0.0,0.0
2024-03-11,35.19348655082417,24.60363715717519,18.076856806728834,13.399092123230433,0.0,0.0,5.464014572741598,3.262912789299778,0.0,0.0
2024-03-12,35.19421371902431,24.627633707780113,18.076856806728834,13.377277077225955,0.0,0.0,5.46183306814115,3.2621856210996287,0.0,0.0
2024-03-13,35.189568974148166,24.640818336223127,18.080468327260448,13.379760590046613,0.0,0.0,5.443505780356386,3.265877991965263,0.0,0.0
2024-03-14,35.21085658623349,24.638918716733226,18.07907446080876,13.378729112372445,0.0,0.0,5.3972670676270775,3.295154056225005,0.0,0.0
2024-03-15,35.20183235999148,24.638929220811733,18.078548529318237,13.378339916843734,0.0,0.0,5.40438271285525,3.297967260179563,0.0,0.0
2024-03-18,35.20260040910305,24.639466803841632,18.07821569369207,13.378631811367356,0.0,0.0,5.403046065311394,3.2980392166845034,0.0,0.0
2024-03-19,35.20004037572551,24.64494723648267,18.076900994350417,13.377658879152552,0.0,0.0,5.402653140410767,3.2977993738780906,0.0,0.0
2024-03-20,35.19671288893911,24.64261753073786,18.075919330789077,13.37639427880897,0.0,0.0,5.4094140208686845,3.2989419498563004,0.0,0.0
2024-03-21,35.19821300596704,24.63901390007512,18.08341456347614,13.381940839722354,0.0,0.0,5.426206275349979,3.2712114154093683,0.0,0.0
2024-03-22,35.19770090669088,24.645929933478637,18.077331862234082,13.381746145684437,0.0,0.0,5.426127329401632,3.2711638225103283,0.0,0.0
2024-03-25,35.19453508110816,24.645750647799204,18.07865525028431,13.38164880078992,0.0,0.0,5.426087857288891,3.2733223627295103,0.0,0.0
2024-03-26,35.19530316093192,24.6462885126629,18.08050471844103,13.378303533428463,0.0,0.0,5.426206275349979,3.2733937991857016,0.0,0.0
2024-03-27,35.208383811573405,24.638627802067333,18.07471074082038,13.375092679048795,0.0,0.0,5.430722254204653,3.2724627122854315,0.0,0.0
2024-03-28,35.20663231234104,24.63791104910122,18.074912201780688,13.373976323798676,0.0,0.0,5.4305642711256,3.2760038418527695,0.0,0.0
2024-04-02,35.20077344453756,24.636646262102296,18.07597235185952,13.373684537214508,0.0,0.0,5.430445789848198,3.2824776144379126,0.0,0.0
