date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,CITIBANK N.A.,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,CHONG HING SECURITIES LTD,CMB WING LUNG BANK LTD
2024-03-01,85.72181133191627,0.0,0.0,14.278188668083736,0.0,0.0,0.0,0.0,0.0
2024-03-04,58.117692836123524,0.0,32.201977614436004,9.680329549440472,0.0,0.0,0.0,0.0,0.0
2024-03-05,55.61948811986445,0.0,30.819416223149382,9.264217970415043,0.0,4.296877686571126,0.0,0.0,0.0
2024-03-07,55.62186936259727,0.0,30.818907923864693,9.262415894625088,0.0,4.296806818912938,0.0,0.0,0.0
2024-03-08,55.60990588613647,0.0,30.789455225561873,9.30793839772507,0.0,4.2927004905765935,0.0,0.0,0.0
2024-03-11,53.364408665441886,0.0,29.496377791927163,8.917029074790122,0.0,4.112418179861694,4.109766287979136,0.0,0.0
2024-03-12,39.06844121293803,26.789329836164267,21.594495855526688,6.52821674435793,0.0,3.010728909416162,3.008787441596921,0.0,0.0
2024-03-13,39.06911845790421,26.78517160220803,21.598337159458765,6.528329909915372,0.0,3.0015358547882633,3.0175070157253647,0.0,0.0
2024-03-14,39.083690308345815,26.784862061439096,21.598087559941863,6.52825446577448,0.0,2.9876334603603776,3.0174721441383623,0.0,0.0
2024-03-15,39.09524673118779,26.784862061439096,21.598087559941863,6.52825446577448,0.0,2.9760770375184005,3.0174721441383623,0.0,0.0
2024-03-18,39.09665438081672,26.784243001363844,21.59758837821453,6.528103582723764,0.0,2.976008253498883,3.0174024033822464,0.0,0.0
2024-03-21,39.14447578309625,26.763211971848165,21.58062991802484,6.522977705575671,0.0,2.9736714871614867,3.0150331342935894,0.0,0.0
2024-03-27,39.13950436543757,26.759812996592068,21.590589316724365,6.522149275869975,0.0,2.973293825623131,3.0146502197528924,0.0,0.0
2024-04-03,39.14181348850455,26.757503873525078,21.590589316724365,6.522149275869975,0.0,2.973293825623131,3.0146502197528924,0.0,0.0
2024-04-11,39.14226541004432,26.75781280893898,21.590838596241557,6.521070004102319,0.0,2.9733281545262678,3.01468502614656,0.0,0.0
2024-04-18,39.143970766338825,26.75503264700335,21.58859528778985,6.52501027840061,0.0,2.9730192229324803,3.0143717975348854,0.0,0.0
2024-04-24,37.72236391442082,25.61648047525955,20.80455385347531,6.2880389354578945,3.7986182156074815,2.865046924377648,2.904897681401297,0.0,0.0
2024-04-25,37.313878563413375,25.339086485788187,20.579266925469682,6.219947450058776,3.757483998815927,2.8351225812957943,2.873441324325692,0.0,1.0817726708325661
2024-04-30,4.88464,3.2487432804232803,2.638483245149912,0.6968644797178131,0.4817498412698413,0.3634931922398589,0.3684060670194003,0.0,0.13869488536155203
2024-05-03,38.0981021437252,25.338807637063738,20.579040457071326,5.435244793602632,3.7574426488793065,2.836191850392948,2.8734097030023062,0.0,1.0817607662625426
2024-05-06,38.10229518218223,25.34159640051649,20.581305365378828,5.435842991128508,3.757856189203898,2.836503998789615,2.862720049045806,0.0,1.0818798237546228
2024-05-13,38.09642518673225,25.35419860797053,20.577034213024355,5.435005551455328,3.7572772582332865,2.836067010269969,2.8622790217118315,0.0,1.0817131506024542
2024-05-14,38.1039726560061,25.359221652364294,20.581110829995858,5.436082307009209,3.7580216308226007,2.8366288773877812,2.8430345923245075,0.0,1.0819274540896522
2024-05-16,38.04534882045678,25.320205908435756,20.549446319116317,5.427718769745637,3.906092121104305,2.8333636037719265,2.837561573473333,0.0,1.0802628838959498
2024-05-17,38.075555238172676,25.342508729168728,20.565761721092912,5.433127969184082,3.8506941041502283,2.835613176116773,2.815618494614067,0.0,1.0811205675005324
2024-05-20,38.07597400438452,25.34278745357111,20.564888079859152,5.433187724331548,3.850736455222271,2.8356443630287056,2.8156494616185825,0.0,1.0811324579841186
2024-05-21,38.0742989948033,25.346071717456446,20.563983404785933,5.432948711627796,3.8505670565233303,2.835519619496828,2.815525597687354,0.0,1.0810848976190057
2024-05-29,38.07262413258713,25.344956761200688,20.563078809304784,5.432709719952053,3.8503976727278553,2.839793818135801,2.815401744653503,0.0,1.0810373414381882
2024-05-30,38.0734615452758,25.345514227066758,20.563531097097005,5.432829213161597,3.847183091799388,2.840956036785508,2.8154636698083464,0.0,1.0810611190055945
2024-05-31,4.88464,3.251706243386243,2.6379188712522046,0.6970055731922399,0.49357488536155203,0.36448084656084656,0.3612102998236332,0.0,0.13869488536155203
