date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,HANG SENG SECURITIES LTD
2024-03-01,91.46410401356698,0.0,0.0,0.0,0.0,3.3729037120783874,0.0,5.162992274354626
2024-03-04,91.46892655367232,0.0,0.0,0.0,0.0,3.3709981167608287,0.0,5.1600753295668556
2024-03-05,91.48496240601503,0.0,0.0,0.0,0.0,3.3646616541353382,0.0,5.150375939849624
2024-03-06,81.70812603648424,0.0,6.666666666666667,0.0,0.0,2.96849087893864,4.444444444444445,4.212271973466003
2024-03-07,81.73985086992543,0.0,6.661143330571666,0.0,0.0,2.9494614747307373,4.44076222038111,4.208782104391052
2024-03-08,82.07125103562551,0.0,6.661143330571666,0.0,0.0,2.9494614747307373,4.44076222038111,3.877381938690969
2024-03-11,82.64325935740311,0.0,6.65783371977476,0.0,0.0,2.9148724743292482,4.438555813183173,3.3454786353097052
2024-03-12,82.4528936742934,0.0,6.763122476446837,0.0,0.0,2.9609690444145356,4.508748317631225,3.3142664872139975
2024-03-13,81.67147953117038,0.0,6.828605401732631,0.0,0.0,3.0745710888398166,4.569390181756412,3.855953796500764
2024-03-14,66.31419939577039,12.441636912936007,5.520461411700082,3.474320241691843,2.9524855808843724,2.485580884372425,3.694040098873936,3.1172754737709423
2024-03-15,66.1991199119912,12.458745874587459,5.528052805280528,3.479097909790979,2.9565456545654567,2.557755775577558,3.699119911991199,3.1215621562156217
2024-03-18,64.8025407346037,12.607014636840653,5.661419497376415,3.493510080088373,3.189726594863297,3.2173432753383047,3.6868268434134217,3.3416183374758353
2024-03-19,60.13522837036015,13.21926314336967,6.48544225196633,4.208638057127087,3.187525872774941,4.677797709396992,4.0568511108044705,4.029253484200359
2024-03-20,59.6106048053024,13.366473349903341,6.489919911626623,4.487710577188622,3.189726594863297,4.76387738193869,4.059652029826015,4.032035349351008
2024-03-21,59.93060374739764,13.782095766828592,6.384455239417071,4.510756419153366,3.2061068702290076,4.0804996530187365,4.011103400416378,4.094378903539209
2024-03-22,59.280936454849495,13.893534002229654,6.828316610925307,4.528985507246377,3.2190635451505014,4.110925306577481,4.027313266443701,4.110925306577481
2024-03-25,58.73148924280526,13.830678960603521,6.845487566359318,4.5403744062587315,3.2271584241408213,3.967588711930707,4.037440625873149,4.8197820620285
2024-03-26,59.34585942936673,13.695198329853861,6.819763395963814,4.356297842727906,3.2150313152400836,3.7439109255393177,4.161447459986082,4.662491301322199
2024-03-27,59.658143413007224,13.674263479710952,6.809338521400778,4.071706503613118,3.2101167315175094,3.8354641467481936,4.016120066703724,4.724847137298499
2024-03-28,59.36111111111111,13.666666666666666,7.000000000000001,4.069444444444445,3.194444444444444,3.833333333333333,4.013888888888889,4.861111111111112
2024-04-02,59.468070369857315,13.63069677240615,6.981576395622663,4.058733896661588,3.186036847208755,3.823244216650506,4.003324560188392,4.848316941404627
2024-04-03,58.86593650353529,13.683626784971578,6.987383890198254,4.062110079023984,3.1886870927492024,3.8541522251490363,4.0066546513239985,5.351448773048662
2024-04-05,58.274796291093,13.62742343354875,7.0806406293902775,4.397302613093566,3.231244731666198,3.9055914582747966,4.0601292497892665,5.422871593144142
2024-04-08,57.67884642307154,13.77572448551029,7.335853282934342,4.381912361752764,3.2199356012879745,4.157916841663167,4.045919081618368,5.403891922161557
2024-04-09,57.74351786965662,13.79117028731605,7.3440784863349675,4.386825508058865,3.2235459004905396,4.022424667133847,4.078486334968465,5.409950946040644
2024-04-10,57.858039325059266,13.87533119509134,7.307209594198856,4.364802677450844,3.207362989820109,3.9464509831264816,4.0580114349463114,5.382791800306791
2024-04-11,56.88672689367616,15.218902015288393,7.28283530229326,4.072272411396803,3.1966643502432244,3.9332870048644892,4.04447533009034,5.364836692147325
2024-04-12,57.11343037627026,15.050810216973359,7.168360340565778,4.023619884647075,3.1584729469925845,3.9137599560560288,4.270804723976929,5.300741554517989
2024-04-15,57.6970359240541,14.970632427264036,7.184810818194236,3.865592132222374,3.1416473159404457,3.8929108045349,3.9748668214724767,5.272503756317444
2024-04-16,58.306277056277054,14.62391774891775,7.115800865800866,3.8284632034632033,3.1114718614718617,3.855519480519481,3.936688311688312,5.221861471861472
2024-04-18,58.82909680908599,14.616008653326123,7.111952406706328,3.555976203353164,3.1097890751757706,3.6235803136830715,3.9345592212006486,5.219037317468902
2024-04-19,59.0232683982684,14.894480519480519,7.115800865800866,3.557900432900433,3.1114718614718617,3.6255411255411256,3.936688311688312,4.734848484848484
2024-04-22,59.42222816637689,14.725157148589007,7.034907048281397,3.5174535241406986,3.0761000401230443,3.6511970041460478,3.8919352681556774,4.68102180018724
2024-04-23,59.50313877387472,14.70548951515961,7.025510885534928,3.512755442767464,3.071991451849873,3.619607319353546,3.8867370108187527,4.6747696006411115
