date,CHINA MERCHANTS SECURITIES (HK) CO LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA CITIC BANK INTERNATIONAL LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD,CHINA MERCHANTS BANK CO LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,11.968839323963309,0.0,0.0,0.0,0.0,1.7527356624208072,0.0,0.0,13.721574986384116
2024-03-04,0.0,0.0,11.968839323963309,0.0,0.0,0.0,0.0,1.7656519155879802,0.0,0.0,13.73449123955129
2024-03-06,0.0,0.0,11.96776296953271,0.0,0.0,0.0,0.0,1.7656519155879802,0.0,0.0,13.733414885120693
2024-03-08,0.0,0.0,11.97852651383869,5.3996396365366355,0.0,0.0,0.0,1.771033687740969,2.4649592815118906,0.0,21.614159119628184
2024-03-11,0.0,0.0,11.958075779657332,5.398563282106037,0.0,0.0,0.0,1.870058295355961,2.4649592815118906,0.0,21.691656638631223
2024-03-12,0.0,10.005569165459356,11.958075779657332,5.398563282106037,0.0,0.0,0.0,1.8862036118149275,2.4649592815118906,0.0,31.713371120549542
2024-03-14,0.0,10.005569165459356,11.94968021509867,5.398563282106037,0.0,0.0,0.0,1.9036405535906107,2.4649592815118906,0.0,31.722412497766566
2024-03-15,0.0,10.005569165459356,11.960443759404647,5.398563282106037,0.0,0.0,0.0,1.9561666498037806,2.4649592815118906,0.0,31.78570213828571
2024-03-18,0.0,10.005569165459356,11.960443759404647,5.398563282106037,0.0,0.0,0.0,2.0078316624724724,2.4649592815118906,0.0,31.837367150954403
2024-03-19,0.0,10.005569165459356,11.960443759404647,5.506198725165812,0.0,0.0,0.0,2.0293587510844273,2.4649592815118906,0.0,31.96652968262613
2024-03-20,0.0,10.005569165459356,11.960443759404647,5.613834168225586,0.0,0.0,0.0,2.0293587510844273,2.4649592815118906,0.0,32.07416512568591
