date,UOB KAY HIAN (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GET NICE SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,TSE\,QUAM SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-04-05,0.0,8350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8350.0
2024-06-13,0.0,7670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7670.0
2024-08-12,0.0,7670.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7680.0
2024-09-20,0.0,7659.999999999999,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7670.0
2024-10-08,0.0,7650.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7659.999999999999
2024-10-15,0.0,7650.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7659.999999999999
2024-10-21,0.0,7650.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7659.999999999999
2024-10-23,0.0,288.2608695652174,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,328.2608695652174
2024-10-30,0.0,2524.782608695652,0.9130434782608696,0.0,0.0,0.0,0.0,10.0,30.0,0.0,2565.695652173913
2024-11-01,0.0,2524.782608695652,0.8695652173913043,0.0,0.0,0.0,0.0,5.59504347826087,29.652173913043477,7.91304347826087,2568.8124347826088
2024-11-04,0.0,2514.8260869565215,0.8695652173913043,0.0,0.0,0.0,0.0,11.247217391304348,35.56521739130435,23.782608695652176,2586.2906956521742
2024-11-05,0.0,2508.391304347826,0.8695652173913043,0.0,0.0,0.0,0.0,11.70808695652174,35.0,26.565217391304348,2582.534173913043
2024-11-06,0.0,2505.391304347826,0.8695652173913043,0.0,0.0,0.08695652173913043,0.0,12.882,30.391304347826086,27.869565217391308,2577.490695652174
2024-11-07,0.0,2502.173913043478,0.8695652173913043,0.0,0.0,0.08695652173913043,0.0,11.534173913043478,30.478260869565215,25.26086956521739,2570.4037391304346
2024-11-08,0.0,2498.1304347826085,106.95652173913044,0.0,0.0,0.08695652173913043,0.0,14.925478260869566,31.30434782608696,25.91304347826087,2677.3167826086956
2024-11-11,10.173913043478262,2495.913043478261,106.95652173913044,0.0,0.0,0.08695652173913043,0.0,16.664608695652174,33.21739130434783,26.260869565217394,2689.273304347826
2024-11-12,10.173913043478262,2488.695652173913,106.95652173913044,0.0,0.0,0.08695652173913043,0.0,16.36026086956522,36.04347826086956,26.304347826086953,2684.6211304347826
2024-11-13,6902.387304347826,2484.869565217391,107.0,0.0,0.0,0.08695652173913043,0.0,16.273304347826087,40.130434782608695,27.434782608695652,9578.182347826087
2024-11-14,6902.387304347826,2481.9565217391305,107.0,0.0,0.0,0.08695652173913043,0.0,18.403739130434783,40.21739130434783,27.652173913043477,9577.70408695652
2024-11-15,6902.387304347826,2475.0869565217395,105.78260869565217,0.0,0.0,0.08695652173913043,0.0,21.86191304347826,44.608695652173914,31.956521739130434,9581.77095652174
2024-11-18,6902.561217391305,2468.608695652174,105.78260869565217,0.0,0.0,0.08695652173913043,0.0,23.166260869565217,49.869565217391305,35.34782608695652,9585.423130434781
2024-11-19,6902.561217391305,2463.6521739130435,105.78260869565217,0.0,0.0,0.08695652173913043,0.0,25.060173913043478,54.434782608695656,36.826086956521735,9588.404
2024-11-20,6902.952521739131,2460.913043478261,105.3913043478261,0.0,0.0,0.08695652173913043,0.0,26.32104347826087,54.565217391304344,38.173913043478265,9588.404
2024-11-21,6902.90904347826,2440.0434782608695,105.7391304347826,0.0,0.0,0.08695652173913043,0.0,30.14713043478261,57.173913043478265,39.78260869565217,9575.882260869565
