date,CITIBANK N.A.,MIB SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE CORE SECURITIES COMPANY LTD,FIRST SHANGHAI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-04-18,0.0,80.51398669796556,0.0,0.0,0.0,19.48601330203443,0.0
2024-04-24,0.0,76.11947199297224,0.0,0.0,0.0,18.422451857502832,5.458076149524933
2024-06-26,50.899806378859125,28.023574969680205,12.284942232813464,0.0,0.0,6.782271963233261,2.009404455413945
2024-07-03,38.804229877231435,28.023574969680205,24.38051873444116,0.0,0.0,6.782271963233261,2.009404455413945
2024-07-12,34.28670258563968,24.760028424365245,21.541232248871108,11.644214175336224,0.0,5.992427688941192,1.7753948768465497
2024-08-23,34.28719672445492,24.75984223843953,21.54107026705919,11.644126615307684,0.0,5.992382628181268,1.7753815265574064
2024-10-03,32.94306346792285,23.789723897014994,20.697067015392843,11.187896697095915,3.9188344646463187,5.757594367397956,1.7058200905291223
2024-10-10,32.94020755596173,23.787661509675228,20.695272737780893,11.186926791913047,3.9271639677648906,5.757095227946728,1.7056722089574883
2024-11-12,32.94020755596173,23.787661509675228,18.52796370479806,11.186926791913047,6.094473000747722,5.757095227946728,1.7056722089574883
2024-12-03,32.92831325083682,23.779072076723924,18.521273484243935,11.182887329792267,6.1283811353320745,5.755016411437816,1.7050563116331636
2025-01-03,32.92686889987398,23.779072076723924,18.521273484243935,11.182887329792267,6.129825486294915,5.755016411437816,1.7050563116331636
