date,ABCI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,RUIBANG SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,SHANGHAI COMMERCIAL BANK LTD
2024-12-19,38.18462538599057,0.9670079635949944,29.09962619860231,0.4144319843978547,1.9705834552250934,28.786770680968633,0.16658540549325535,0.31691857630424186,0.08532423208191127,0.008126117341134406
2024-12-23,30.71707306977638,12.3763603453021,24.17833495903355,6.948536353439557,6.1124737130920215,11.323053081872134,4.308685024468204,2.465397313465764,1.0039334854566861,0.5661526540936067
2024-12-27,31.44269571650056,16.091499455940244,21.521131260677876,9.136014433893301,7.110275690171839,3.237143972524993,5.767634894914592,2.836707244114937,1.9483434096590133,0.9085539216026487
2024-12-30,30.7302171657648,15.328932171407292,20.671707164446413,10.593111032847649,7.176084530789682,3.1637916217322064,6.051327010381767,3.055262387306881,1.9337936315785211,1.2957732837447915
2025-01-02,31.312353729575726,16.56500937513902,18.90954387532247,11.171827787205093,5.951440680215443,3.9775960325057986,5.841782644231574,2.7780035782580184,1.9638757353474745,1.528566562199388
2025-01-03,31.75159905495214,17.043237543177604,17.95693596051005,11.735467029929938,4.48309772890036,4.062277048821902,6.108687291461505,2.704790984052678,2.3654194678603724,1.7884878903334522
2025-01-06,31.437926434210482,18.10805745553231,17.52416584783066,11.286874186886813,4.395126953393257,3.995264485920935,6.209628906629005,2.667989909017008,2.352132161601896,2.0228336589776306
2025-01-07,31.653843099146716,18.469252830081437,17.336645100315128,11.445591193289156,4.841454625361153,4.015937554370153,5.704187629880436,2.7099966141958656,1.9521448768926524,1.870946476467308
2025-01-08,31.79054664466767,18.436886072463317,17.098572356070772,11.447451009607246,4.855567673709929,4.033281195726863,5.874931076168278,2.6809257484654547,1.9435862206872496,1.8382520024332205
2025-01-09,31.66252004183202,18.558920469154213,17.303832862098407,11.404734132211834,4.903697257440638,4.017038402057996,5.9155712946902925,2.531377190176395,1.9222222513638938,1.78008609897431
2025-01-10,31.880457145174233,18.563994284620485,18.049915098178673,10.508692799884281,4.647813547030532,4.044688182056628,5.571242778148768,2.6135432482202474,2.047900250561107,2.0717526661250463
2025-01-13,32.07940166224172,18.49125835447516,17.00020563938806,10.00166894492936,4.796823741500232,4.069928363946229,5.650582934948092,3.3190317239258214,2.0812523310154685,2.509846303629857
2025-01-14,32.323223947929755,18.38651109992328,17.084504622668423,10.132964497571397,4.90237866418473,4.100862208870524,5.479332319518662,2.8433105289809952,2.0901614459702333,2.6567506643819994
2025-01-15,32.389384375808945,17.22633354574875,16.651686807185104,10.593364278535205,5.223982580493341,4.109256012621336,5.729417608162015,3.022224514758573,2.156753576969749,2.8975966997169826
2025-01-16,32.28655386330478,17.223406405702672,17.275195680724426,10.708120632517607,5.15563397517928,4.09620985845904,5.6836205870952305,2.974669669748688,2.1361026978821784,2.4604866293860956
2025-01-17,32.24871632892002,17.248030836887107,17.32044051070923,10.785189546087082,4.880737742812179,4.091409393162469,5.604575967381781,2.9160339904089714,2.2438984961657686,2.660967187465397
2025-01-20,32.26206062188087,17.513788574020197,18.3103659542157,10.548273134067292,4.868964258026485,3.272412946789755,5.42068825327028,2.9172406248515625,2.237930455707641,2.6482751771702127
2025-01-21,32.16888181589143,17.93769307754442,17.58357234641753,10.63127218626938,4.349469377629613,4.1397321191036,5.566633140223196,2.939759935077723,2.176453846671577,2.506532155171532
2025-01-22,32.154509359768355,18.049966134833625,18.13591139913615,10.94270604975443,4.326905438643475,3.0106188754977636,5.516031158874327,2.989998198268327,2.1686078886290967,2.704745496594452
2025-01-23,32.58226556270271,18.251780014335708,16.60110135788751,10.997733502246168,4.37750190383896,3.5068770224071857,5.582446739740535,3.0297745873825734,2.235764695516796,2.8347546139418562
2025-01-24,32.4275529181115,18.03340720745342,16.68517346669898,10.8588631137712,4.374045722814955,4.089836729731891,5.656452155019022,2.890613417454574,1.9790650615906018,3.0049902073538557
2025-01-27,32.0938446520364,18.34865060322175,16.979988427898146,10.582461602344196,4.4628144391085245,4.184960504006456,5.563939293031535,2.8574361474076873,1.9518381367046507,2.974066194240654
2025-02-03,32.07733943909055,18.22264419824351,17.3278232262943,10.57359072575409,4.282235673303132,4.254807422393264,5.557649340611992,2.8765378141724,1.957691408691824,2.869680751444933
