date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,61.88430593098902,16.19162011624749,10.07033261531868,2.005525459108319,2.3382689740183245,5.282530950266766,0.6497484630875586,0.7960030676325457,0.5303160079688526,0.25134841536244384
2024-03-04,60.51780725316153,16.15502028559677,9.995902391782277,2.0145443972861785,2.3367912582884647,6.469361703855059,0.6571392431583328,0.7987498105409284,0.71261508304393,0.342068573286536
2024-03-05,60.567581719043986,16.21270042840681,9.886012319122516,2.0352659288641757,2.3127666128806146,6.3484017801464345,0.6608587725231816,0.7940096613966179,0.5831953144768054,0.5992074631388585
2024-03-06,60.56317122262471,16.13615456621139,10.04540804567749,2.041507978996275,2.3180962539662846,6.2313032685164575,0.6688670543799463,0.7927755722365019,0.6006958647747499,0.6020201726161939
2024-03-07,60.65406804600843,15.91876698265893,10.211471795120948,2.0172668270645557,2.3226442258161124,6.171514994573254,0.6827202432266987,0.8027814989805888,0.6150987595412304,0.6036666270092417
2024-03-08,60.64649660040695,15.792947843046717,10.215760072869081,2.1094231811536495,2.330164352839761,6.179116857978046,0.6731599844870005,0.8105628440291087,0.6128237092212316,0.6295445539684476
2024-03-11,60.62469473633003,15.827147468900913,10.230975286772665,2.139594482219695,2.346349437086561,6.08034863086855,0.6789729798615803,0.8129169217960805,0.6237230744174355,0.6352769817464875
2024-03-12,60.756285387664896,15.650436474486048,10.188672113179381,2.1491320899792297,2.3663619320054727,6.137980936030067,0.6850532869904298,0.8158585649024488,0.6181749813149383,0.6320442334470907
2024-03-13,60.7449891076669,15.797530374997699,10.441863329309813,2.1928647443808074,2.417188771940536,5.703493109963232,0.6916092091147306,0.8320360231397625,0.5716442121025955,0.606781117383927
2024-03-14,61.2252980211897,14.967524151596463,9.944749324426464,2.2777247329319192,2.416301181636658,6.566111121446405,0.6874663850773504,0.8313802568545862,0.707868952875184,0.37557587196527015
