date,EVERBRIGHT SECURITIES INVESTMENT,GRAND CHINA SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,HANG SENG BANK LTD,SHANGHAI COMMERCIAL BANK LTD
2024-03-01,0.0,0.0,0.0,23.463973347369617,40.41905774400153,36.11696890862886,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,23.582038930201563,40.49043397235416,35.927527097444276,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,23.610948930388766,40.54007253232709,35.84897853728415,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,23.616739438525993,40.550014852755396,35.833245708718614,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,23.647726920968083,40.527813202133984,35.82445987689793,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,23.653526448787424,40.53775251600158,35.80872103521099,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,23.708764170339364,40.64471068740031,35.64652514226033,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,23.755620050355898,40.619747876579844,35.62463207306426,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.0,23.92925788996679,40.79010219805534,35.28063991197787,0.0,0.0,0.0
2024-03-28,0.0,0.0,0.0,23.92925788996679,40.8147720765346,35.25597003349861,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,24.186458204386234,41.06296155305516,34.75058024255861,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,21.963924676343225,37.09926390104695,31.508320320350624,0.0,0.0,9.4284911022592
2024-04-10,71.43658620211598,0.0,0.0,6.275757614346649,10.60038182358283,8.993269272123666,0.0,0.0,2.694005087830877
2024-04-11,71.46634984609402,0.0,0.0,6.278372372767457,10.604798411880259,8.955351839656698,0.0,0.0,2.6951275296015735
2024-04-12,71.46848004202462,0.0,0.0,6.278783865675012,10.60190945745771,8.955618771633596,0.0,0.0,2.6952078632090464
2024-04-16,71.46618951390464,0.0,0.0,6.278582633873311,10.604774620395862,8.95533174864645,0.0,0.0,2.695121483179748
2024-04-17,71.73979713344195,0.0,0.0,6.347661190504475,10.416952362399751,8.79014958378438,0.0,0.0,2.7054397298694397
2024-04-18,50.16016478237345,30.14115567096815,0.0,4.440507504246289,7.283489330980167,6.0830506176499055,0.0,0.0,1.8916320937820321
2024-04-22,50.15903647196309,30.140477671207357,0.0,4.442657034070599,7.283325495058344,6.08291378457991,0.0,0.0,1.8915895431207002
2024-04-23,50.15903647196309,30.140477671207357,0.0,4.4449064493491575,7.281076079779787,6.08291378457991,0.0,0.0,1.8915895431207002
2024-04-24,50.15339568123724,30.137088129882827,0.0,4.455652395113267,7.280257263683749,6.082229711557866,0.0,0.0,1.8913768185250455
2024-04-25,50.15452373788371,30.272718751277484,0.0,4.455752612221807,7.233187541227369,6.014890126793191,0.0,0.0,1.868927230596448
2024-04-26,50.15452373788371,30.272718751277484,0.0,4.45800182512381,7.230938328325368,6.014890126793191,0.0,0.0,1.868927230596448
2024-04-29,50.14888396204228,30.269314644625812,0.0,4.468745331651036,7.230125223778547,6.014213764433474,0.0,0.0,1.8687170734688558
2024-05-02,50.13197224212973,30.25910691654153,0.0,4.50995416535264,7.227687006951832,6.012185589713669,0.0,0.0,1.8590940793105935
2024-05-08,50.13084519968331,30.258426646120064,0.0,4.516597227838696,7.223028215588016,6.012050426701874,0.0,0.0,1.859052284068045
2024-05-10,50.09143061435386,30.311013473302488,0.0,4.5152925080472475,7.217349223725695,6.007323547001278,0.0,0.0,1.8575906335694263
2024-05-16,50.03523145644838,30.389199748081484,0.0,4.510226658788463,7.209251851706002,6.000583741001197,0.0,0.0,1.855506543974473
2024-05-17,50.02737363579822,30.384427253293882,0.0,4.527466433012498,7.205876158541952,5.999641374803209,0.0,0.0,1.85521514455024
2024-05-20,50.02625129146202,30.383745590688832,0.0,4.529608321533199,7.20571449756105,5.999506775222482,0.0,0.0,1.8551735235324138
2024-05-23,50.02400675385896,30.382382357231602,0.0,4.529405090710533,7.209877916921545,5.9992375941783465,0.0,0.0,1.8550902870990156
2024-05-28,50.02400675385896,30.382382357231602,0.0,4.533891810273006,7.205391197359072,5.9992375941783465,0.0,0.0,1.8550902870990156
2024-05-29,50.018395465670515,30.377612003320326,0.0,4.551124001924725,7.199773859978796,5.9982956507130325,0.0,0.0,1.854799018392606
2024-05-31,50.0195174072225,30.37829339073468,0.0,4.551226086269463,7.199935355072415,5.998430195955217,0.0,0.0,1.8525975647457251
2024-06-06,50.018395465670515,30.377612003320326,0.0,4.553367009474856,7.199773859978796,5.9982956507130325,0.0,0.0,1.8525560108424741
2024-06-07,50.01727357444787,30.376930646472427,0.0,4.564479665601991,7.1996123721297085,5.998161111506432,0.0,0.0,1.8435426298415702
2024-06-13,50.012786512782945,30.374205524704266,0.0,4.5730412091280845,7.198966493168929,5.997623015027755,0.0,0.0,1.8433772451880128
2024-06-14,50.017269700927805,30.37011875869617,0.0,4.5746683732491125,7.197997891980866,5.996816051308251,0.0,0.0,1.8431292238378045
2024-06-17,50.01614811168002,30.36943773794359,0.0,4.576808194685962,7.197836483789466,5.996681578466284,0.0,0.0,1.8430878934346842
2024-06-18,49.975804372286326,30.34494131573017,0.0,4.653777904022871,7.192030606082689,5.991844569460945,0.0,0.0,1.8416012324169988
2024-06-19,49.975804372286326,30.34494131573017,0.0,4.656018499250437,7.189790010855123,5.991844569460945,0.0,0.0,1.8416012324169988
