date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,DEUTSCHE BANK AG,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG BANK LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,TOTAL_CCASS_PCT
2024-03-13,0.0,17.24160340547284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24160340547284
2024-03-25,63.98950640520166,17.24160340547284,0.0,0.0,0.0,0.0,0.0,0.0,0.5660474313229855,81.79715724199748
2024-04-08,63.98950640520166,17.24037063429755,0.0,0.0,0.0,0.0,0.0,0.0,0.5660474313229855,81.79592447082219
2024-04-12,63.99073917637694,17.24037063429755,0.0,0.0,0.0,0.0,0.0,0.0,0.5660474313229855,81.79715724199748
2024-04-19,63.94964680386711,17.24037063429755,0.0,0.0,0.0,0.0,0.5777719070474919,0.0,0.5660474313229855,82.33383677653514
2024-04-24,63.84157386416624,17.24037063429755,0.0,0.0,0.0,0.0,0.5777719070474919,0.0,0.5660474313229855,82.22576383683426
2024-05-07,63.84157386416624,17.23954878684735,0.0,0.0,0.0,0.0,0.5777719070474919,0.0,0.5660474313229855,82.22494198938406
2024-05-14,63.841162940441144,17.23954878684735,0.0,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,82.88279882121599
2024-05-16,63.83951924554076,17.23995971057245,0.0,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,82.88156605004069
2024-05-22,63.83869739809056,17.23995971057245,0.0,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,82.88074420259049
2024-05-24,63.83854330169364,17.23995971057245,0.0,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,82.88059010619358
2024-05-28,63.833612216992464,17.23995971057245,0.0,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,82.8756590214924
2024-05-30,63.832790369542266,17.23995971057245,0.0,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,82.8748371740422
2024-06-04,63.8307427366201,17.23995971057245,0.0,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,82.87278954112004
2024-06-05,63.8307427366201,17.23995971057245,3.7275692404935827,0.0,0.0,0.6582677555570089,0.5777719070474919,0.0,0.5660474313229855,86.60035878161362
2024-06-07,63.8307427366201,17.23995971057245,3.7275692404935827,0.0,0.0,0.6586786792821072,0.5777719070474919,0.0,0.5660474313229855,86.60076970533872
2024-06-11,63.8307427366201,17.23995971057245,3.7358904459268247,0.0,0.0,0.6586786792821072,0.5777719070474919,0.0,0.5660474313229855,86.60909091077195
2024-06-26,63.820469643492636,17.23995971057245,3.7358904459268247,0.0,0.0,0.6586786792821072,0.5777719070474919,0.0,0.5660474313229855,86.5988178176445
2024-07-03,63.81636040624166,17.23995971057245,3.7498618525801684,0.0,0.0,0.6586786792821072,0.5753063646969018,0.0,0.5660474313229855,86.60621444469628
2024-07-04,63.81718225369186,17.23995971057245,3.7498618525801684,0.0,0.0,0.6582677555570089,0.5753063646969018,0.0,0.5660474313229855,86.60662536842138
2024-07-08,63.81307301644087,17.23995971057245,3.753971089831152,0.0,0.0,0.6582677555570089,0.5753063646969018,0.0,0.5660474313229855,86.60662536842138
2024-07-09,63.81348394016597,17.239137863122252,3.7568475559068406,0.0,0.0,0.6582677555570089,0.5753063646969018,0.0,0.5660474313229855,86.60909091077195
2024-07-11,63.81348394016597,17.239137863122252,3.7568475559068406,0.0,0.0,0.6582677555570089,0.5753063646969018,0.48271086710186367,0.5660474313229855,87.09180177787383
2024-07-15,63.80937470291499,17.238316015672055,3.7568475559068406,0.0,0.0,0.6582677555570089,0.5753063646969018,0.48271086710186367,0.5660474313229855,87.08687069317264
2024-07-18,63.80937470291499,17.238316015672055,3.7568475559068406,0.0,0.0,0.6582677555570089,0.5753063646969018,0.48271086710186367,0.5672802024982807,87.08810346434794
2024-07-19,63.80937470291499,17.283106701707776,3.7568475559068406,0.0,0.0,0.6582677555570089,0.5753063646969018,0.48271086710186367,0.5672802024982807,87.13289415038365
2024-07-23,63.81060747409029,17.283106701707776,3.7568475559068406,0.0,0.0,0.6582677555570089,0.5753063646969018,0.48271086710186367,0.5672802024982807,87.13412692155896
2024-07-29,63.81168573794495,17.283106701707776,3.7568475559068406,0.0,0.0,0.6582677555570089,0.5753063646969018,0.48271086710186367,0.5672802024982807,87.13520518541361
2024-07-31,63.81168573794495,17.283106701707776,3.7568475559068406,0.0,0.0,0.6574459081068121,0.5753063646969018,0.48271086710186367,0.5672802024982807,87.13438333796341
2024-08-05,63.81209666167004,17.283106701707776,3.7568475559068406,0.0,0.0,0.6574459081068121,0.5753063646969018,0.48271086710186367,0.5672802024982807,87.13479426168853
2024-08-06,63.81004204304455,17.283106701707776,3.7568475559068406,0.0,0.0,0.6574459081068121,0.5753063646969018,0.48271086710186367,0.5672802024982807,87.13273964306302
2024-08-14,63.81004204304455,17.285161320333266,3.7568475559068406,0.0,0.0,0.6574459081068121,0.5724298986212133,0.48271086710186367,0.5672802024982807,87.13191779561282
2024-09-03,63.80798742441905,17.285161320333266,3.7568475559068406,0.0,0.0,0.6574459081068121,0.5720189748961149,0.48271086710186367,0.5672802024982807,87.12945225326224
2024-09-04,63.80716557696886,17.285161320333266,3.7568475559068406,0.0,0.0,0.6574459081068121,0.5720189748961149,0.48271086710186367,0.5672802024982807,87.12863040581203
2024-09-10,63.80716557696886,17.286394091508566,3.7568475559068406,0.0,0.0,0.6574459081068121,0.5720189748961149,0.48271086710186367,0.5672802024982807,87.12986317698733
2024-09-16,63.80716557696886,17.286394091508566,3.7568475559068406,2.7841746616500274,0.0,0.6574459081068121,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.91403783863736
2024-09-26,63.80716557696886,17.286394091508566,3.7568475559068406,2.7841746616500274,0.0,0.6595005267323039,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.91609245726285
2024-09-27,63.80593280579356,17.286394091508566,3.760545869432726,2.7841746616500274,0.0,0.6595005267323039,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.91855799961344
2024-09-30,63.803878187168074,17.285983167783463,3.766709725309201,2.7841746616500274,0.0,0.6595005267323039,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.92225631313933
2024-10-02,63.80223449226769,17.285983167783463,3.766709725309201,2.7841746616500274,0.0,0.6595005267323039,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.92061261823893
2024-10-03,63.80182356854258,17.285983167783463,3.766709725309201,2.7841746616500274,0.0,0.6595005267323039,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.92020169451384
2024-10-09,63.80182356854258,17.285983167783463,3.7695861913848896,2.7841746616500274,0.0,0.6595005267323039,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.92307816058953
2024-10-15,63.80182356854258,17.28680501523366,3.7695861913848896,2.7841746616500274,0.0,0.6595005267323039,0.5720189748961149,0.48271086710186367,0.5672802024982807,89.92390000803972
2024-10-29,63.69763837820487,17.28680501523366,3.7695861913848896,2.7841746616500274,0.0,0.6595005267323039,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92390000803972
2024-11-11,63.69763837820487,17.28680501523366,3.7695861913848896,2.7841746616500274,0.0,0.6597039339762276,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92410341528365
2024-11-14,63.69640560702957,17.28680501523366,3.7699971151099883,2.7841746616500274,0.0,0.6597039339762276,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92328156783344
2024-11-18,63.69640560702957,17.28680501523366,3.7699971151099883,2.7841746616500274,0.0,0.6502526882989654,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91383032215619
2024-11-20,63.69558375957938,17.28680501523366,3.7699971151099883,2.7841746616500274,0.0,0.6502526882989654,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91300847470599
2024-12-05,63.69558375957938,17.28680501523366,3.7699971151099883,2.7841746616500274,0.0,0.649841764573867,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91259755098089
2025-01-02,63.69969299683036,17.28680501523366,3.7699971151099883,2.7841746616500274,0.0,0.649841764573867,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91670678823186
2025-01-07,63.69599468330448,17.28680501523366,3.773284504910775,2.7841746616500274,0.0,0.649841764573867,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91629586450678
2025-01-10,63.69599468330448,17.28680501523366,3.77451727608607,2.7829418904747327,0.0,0.649841764573867,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91629586450678
2025-02-10,63.69599468330448,17.28680501523366,3.77451727608607,2.7829418904747327,0.0,0.6592930102511292,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92574711018403
2025-02-24,63.69394006467899,17.283517625432875,3.77451727608607,2.7829418904747327,0.0,0.6597039339762276,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92081602548286
2025-02-25,63.69394006467899,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6597039339762276,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91999417803265
2025-02-26,63.69394006467899,17.28228485425758,3.77451727608607,2.7829418904747327,0.0,0.6605257814264244,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92040510175777
2025-02-27,63.69394006467899,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6605257814264244,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92081602548286
2025-02-28,63.69394006467899,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6603223741825006,0.676204165233827,0.48271086710186367,0.5672802024982807,89.92061261823893
2025-03-03,63.69394006467899,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6590896030072055,0.676204165233827,0.48271086710186367,0.5672802024982807,89.91937984706364
2025-03-05,63.693118217228786,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6599114504574023,0.676204165233827,0.5948930440537149,0.5672802024982807,90.03156202401549
2025-03-06,63.69515228966802,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6599114504574023,0.676204165233827,0.5948930440537149,0.5672802024982807,90.03359609645473
2025-03-11,63.69515228966802,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6590896030072055,0.676204165233827,0.5948930440537149,0.5672802024982807,90.03277424900453
2025-03-12,63.803225229368884,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6590896030072055,0.676204165233827,0.5948930440537149,0.5672802024982807,90.1408471887054
2025-03-26,63.803225229368884,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6582677555570089,0.676204165233827,0.5948930440537149,0.5672802024982807,90.14002534125521
2025-04-01,63.803225229368884,17.282695777982678,3.77451727608607,2.7829418904747327,0.0,0.6562131369315171,0.676204165233827,0.5948930440537149,0.5672802024982807,90.13797072262972
